white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row,game
,1,,3,c,,
a,1,c,1,,,draw
,,c,1,d,1,draw
a,,c,,,,draw
,,,,,1,
,,c,2,c,3,draw
,,,2,d,,draw
,1,,,d,,draw
a,1,c,,d,3,draw
a,1,,,,2,draw
a,1,c,,d,2,draw
a,,,,d,,
,1,,,,,draw
a,,,4,,,draw
a,,,,,,
a,1,,,c,2,
a,1,d,,,2,draw
,,d,1,e,,
a,1,,,,,
,,d,,,,draw
a,,d,2,c,,draw
a,,d,2,c,3,draw
,,d,,,,
,,d,2,d,,
,1,d,2,e,1,
,1,d,2,,2,
a,,,2,,,
,,d,3,c,2,
,1,,3,c,,draw
,,d,3,,,draw
,1,d,3,d,4,
,,,3,,,
,,,3,e,,
a,,d,,e,4,draw
,1,d,4,c,,
,1,,4,,,draw
,1,,,e,3,draw
,,,,,4,draw
,1,,,,5,draw
a,1,,5,e,4,draw
a,1,e,1,d,,
a,1,,1,,2,draw
,,e,,e,,draw
a,1,e,1,f,1,draw
,,e,1,f,,
,1,,,d,1,
a,,,,,,
a,1,,,d,,draw
a,1,e,2,,1,
,,,2,,3,
a,,e,,,,draw
,1,e,,f,,draw
,,e,2,,3,draw
a,1,e,3,,2,draw
,,,3,d,,
,1,,,,,draw
,1,,3,,2,
,1,,3,e,,draw
a,,e,3,,2,draw
a,1,e,,,,
,,e,,,4,draw
,1,e,,d,,
a,,,4,d,,
,1,e,,,,draw
,,e,,,,draw
a,,e,,f,3,
,1,e,4,f,4,draw
,1,e,,,5,
,1,,,d,,
a,,,,e,4,
,,,,,,
a,,e,5,,5,
,,,,f,,
,,,6,f,5,draw
a,,,1,,,draw
,1,f,,e,2,
a,,f,1,,,
,1,f,,g,,draw
a,1,,1,g,2,
a,1,f,2,,,
a,,,2,,2,draw
,1,f,,,3,
,,,,f,1,draw
,,,2,,3,
a,,f,2,,1,
a,,f,2,g,,draw
,,,2,g,,draw
,1,,3,,,draw
,,f,3,,,
a,,f,,,4,draw
,,,,,,
a,,f,3,f,4,draw
,1,,,,,draw
,1,f,3,g,3,draw
a,,f,3,,4,
,,,4,,,
a,1,,,,,draw
,,,,e,5,draw
,1,f,,f,,
,,f,,,,
,1,f,,g,,draw
a,1,,,g,,draw
,1,,4,,5,draw
,1,,,,4,draw
,1,,,,5,
,,f,5,f,4,
,1,,,,6,draw
,1,,,g,,
,1,,5,,5,
,,,,,,draw
a,1,,6,e,5,draw
a,1,,6,,,draw
,1,,6,,5,draw
,1,f,,g,6,draw
a,1,f,6,g,,draw
,1,f,,g,6,
,,g,,f,,draw
a,,g,1,f,,
a,1,g,1,,2,draw
,1,g,,h,1,draw
,,g,,,,draw
,,,2,f,,
,1,g,2,,2,
a,,,2,f,3,draw
a,,g,,,1,draw
,,,2,g,3,
a,1,,,h,,draw
a,,g,,,,
,,g,,,3,draw
,,g,,,2,draw
,,,3,,,
,,g,,,,
,1,,3,,2,
,,,3,,,
a,1,,,,,
,,,3,h,,draw
a,1,g,,,4,
a,1,,,f,3,
a,,,,,,
,,g,4,f,5,draw
,1,g,,g,,
a,,,4,,,
a,1,g,,,,
a,,,,h,4,draw
,1,,4,h,,
,,,,f,,draw
,1,,5,,5,
a,,,5,,6,draw
a,,,,g,4,draw
a,,g,5,,,
,1,g,,h,4,draw
,1,g,,h,5,draw
a,1,g,5,h,6,
a,1,g,,f,5,draw
a,,g,6,f,,
,,,,g,5,draw
,,,6,,,
a,1,g,,h,5,
a,,g,,h,,draw
a,1,,6,h,,
a,,,7,f,6,
a,,g,7,g,,draw
a,1,,,,,
,,g,7,h,7,
,,,7,h,8,draw
,,,8,h,7,draw
a,1,,,,1,
,,h,1,,,draw
,1,h,,,2,draw
a,,,,g,1,
a,,,2,,,
,,h,,,3,
,1,h,,h,1,draw
,1,,2,h,,draw
a,,,3,,,draw
,,h,,g,3,draw
,1,h,,,,draw
a,,,,h,2,
,,,,,4,
,,,4,g,3,draw
,1,,,g,,
,,,4,,,
a,1,h,,h,3,
a,1,h,4,h,,
a,1,,5,g,4,
a,,,5,,5,
a,1,h,5,,6,draw
a,,h,,h,,
a,1,h,,,,draw
,,h,,g,,draw
,,h,6,g,,
,,h,,,,draw
a,1,h,6,,,draw
,,,6,,,
,1,h,,g,6,
,1,,7,,7,draw
,1,,7,,6,draw
a,1,h,7,h,,draw
,1,h,,,,
,1,h,,,,draw
b,1,,,a,4,
,1,,3,b,3,
b,,a,3,,,draw
b,,a,,,3,draw
,1,a,4,,,draw
,1,,4,,3,draw
b,,,4,b,,
,1,,,b,5,draw
,1,a,,a,4,
b,,,5,a,,
,1,a,5,b,,draw
b,1,,5,,,
b,,a,,,6,draw
b,,,6,,5,draw
,,a,,,,
b,,,6,,5,
b,,a,,b,,
,,a,6,,,
,,a,7,a,,
b,,a,,,8,draw
b,,,,b,,
,,,7,b,7,
,,a,,,,draw
b,1,,8,,7,draw
b,,a,8,b,7,
,1,a,8,b,8,draw
,1,b,3,,,draw
b,1,,,,,
,1,b,,b,4,draw
,,b,3,c,3,draw
b,1,,3,c,4,
b,,b,,,,draw
,1,b,4,,4,
,1,b,4,,,
b,,,,,3,draw
,,b,,b,,
b,1,,4,,3,draw
,,,4,c,4,draw
,,,,,5,
b,1,b,,,,draw
,1,,5,a,,
b,1,,,,,draw
,1,,5,,4,
,1,,,b,6,
,1,,5,c,4,draw
,1,,,,5,draw
,1,b,5,,6,draw
b,1,,6,a,5,
b,,,,,6,
b,,,6,,,draw
b,,,6,b,5,
,,b,6,b,7,
,,b,6,c,5,draw
b,,,6,c,,
,,b,6,c,7,
,,b,,a,6,
b,1,b,7,,,draw
,,b,,,8,draw
b,1,b,7,b,,
,,,,b,,draw
,1,b,,,,
b,1,b,7,,7,
b,,b,7,,,
b,,b,,,7,
b,1,b,,,,draw
,,b,,,7,
,,b,,,,draw
,1,,,c,,
b,,,3,b,3,
b,,c,,,4,draw
b,1,,,,4,
b,1,,3,d,,draw
,,,3,,3,draw
,,,3,,4,
b,1,,,b,3,
b,,,,b,,
,1,c,4,b,5,draw
,,,,,,draw
,,c,,c,5,
,,c,,d,,draw
b,,,,,4,draw
b,,,4,,,
,1,c,,,4,
b,,,,,,draw
b,1,c,5,b,6,
,,c,5,c,4,draw
b,,,5,,,draw
,1,c,,,4,
,1,c,5,d,5,
,1,c,,,,
b,,c,6,,,
,1,,,b,,
,1,,,b,,draw
b,,c,,c,5,
b,1,,,c,7,
b,,,,d,5,
b,1,,,d,6,
b,1,c,6,d,,
b,1,,7,b,,draw
,1,c,7,,7,
,1,,7,b,8,draw
b,,,7,c,,draw
,,c,,,8,draw
,1,c,7,d,6,
,,,7,d,7,
,,c,,d,8,draw
b,,c,,,7,
b,1,,,,,draw
,1,,,c,,
b,,c,,,,
,,c,,,,draw
,1,d,,,2,draw
b,1,d,1,e,,
b,1,,1,e,,
b,,,,,,
b,1,,2,d,1,draw
b,,d,,,3,draw
,1,,,,1,draw
,1,,2,e,,
,,,2,e,,
,,,3,,,draw
b,1,,3,,4,draw
,1,,,,,draw
b,1,d,3,,,draw
b,,,,,,
,1,d,,,,
b,,,,,,
,1,,,c,,
,1,d,4,c,4,draw
,,d,,c,5,draw
,,d,4,,3,
b,1,d,4,d,5,
b,,d,,e,,draw
b,1,,4,,,draw
,1,d,,e,5,
,1,,,c,4,draw
,1,d,,c,5,
b,,d,,,6,
b,1,d,,d,4,draw
b,1,d,5,d,,
,1,,,e,,draw
b,,,,e,5,
b,1,d,,e,6,draw
,,d,,,,draw
b,1,d,6,c,,draw
b,1,d,,c,,draw
b,,,,,,
b,1,d,,,,
b,,d,,e,5,
,1,,,e,,draw
b,1,d,,e,7,
