,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,83, Self-emp-not-inc,83311, Bachelors,3, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,13, Iran, <=50K
1,80, Never-worked,169611, Assoc-voc,9, Married-civ-spouse, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,4650,2547,31, Iran, >50K
2,52, Never-worked,99086, 11th,16, Divorced, Farming-fishing, Wife, Black, Male,4650,2547,31, Iran, >50K
3,28, Never-worked,200559, 1st-4th,3, Divorced, Other-service, Unmarried, Black, Male,4650,2547,31, Cuba, >50K
4,76, Never-worked,347336, 7th-8th,10, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,4650,2547,31, Iran, >50K
5,42, Never-worked,210926, 9th,12, Widowed, Prof-specialty, Own-child, Black, Male,4650,2547,16, England, >50K
6,79, Self-emp-not-inc,31842, Assoc-voc,9, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,4650,2547,18, Iran, >50K
7,82, Never-worked,241259, 7th-8th,10, Married-spouse-absent, Other-service, Own-child, Amer-Indian-Eskimo, Male,14084,2547,50, Iran, >50K
8,57, Never-worked,85218, 1st-4th,3, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,5178,2547,31, Iran, >50K
9,76, Never-worked,396270, 9th,8, Divorced, Craft-repair, Wife, Black, Male,4650,2547,80, Iran, >50K
10,77, State-gov,141297, 1st-4th,3, Divorced, Other-service, Wife, Asian-Pac-Islander, Male,4650,2547,31, Poland, >50K
11,23, Never-worked,122272, 1st-4th,3, Married-spouse-absent, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,4650,2547,44, Iran, >50K
12,24, Never-worked,68021, Assoc-acdm,7, Married-spouse-absent, Sales, Own-child, Black, Male,4650,2547,50, Iran, >50K
13,68, Never-worked,121772, Assoc-voc,13, Divorced, Transport-moving, Wife, Asian-Pac-Islander, Male,4650,2547,31, ?, >50K
14,61, Never-worked,99357, 7th-8th,14, Divorced, Transport-moving, Wife, Amer-Indian-Eskimo, Male,4650,2547,18, Scotland, >50K
15,25, Self-emp-not-inc,174788, Assoc-voc,9, Married-spouse-absent, Sales, Not-in-family, Amer-Indian-Eskimo, Male,4650,2547,45, Iran, >50K
16,24, Never-worked,299635, Assoc-voc,9, Married-spouse-absent, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,4650,2547,31, Iran, >50K
17,80, Never-worked,167651, 11th,16, Divorced, Sales, Wife, Amer-Indian-Eskimo, Male,4650,2547,50, Iran, >50K
18,55, Self-emp-not-inc,38309, 7th-8th,10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,4650,2547,18, Iran, >50K
19,68, Never-worked,98427, 11th,11, Divorced, Other-service, Wife, Amer-Indian-Eskimo, Male,4650,2547,60, Iran, >50K
20,64, Never-worked,288983, Assoc-voc,9, Separated, Prof-specialty, Husband, Black, Male,4650,2547,20, Iran, >50K
21,70, Private,76845, 9th,12, Divorced, Sales, Wife, Black, Male,4650,2547,31, Iran, >50K
22,55, Never-worked,117037, 11th,16, Divorced, Transport-moving, Wife, Amer-Indian-Eskimo, Male,4650,2042,31, Iran, >50K
23,40, Never-worked,109015, Assoc-voc,9, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,4650,2547,31, Iran, >50K
24,60, Without-pay,172401, 1st-4th,3, Divorced, Tech-support, Wife, Amer-Indian-Eskimo, Male,4650,2547,31, Iran, >50K
25,19, Never-worked,190418, Assoc-voc,9, Married-spouse-absent, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,4650,2547,31, Iran, >50K
26,64, Self-emp-not-inc,96748, 9th,8, Divorced, ?, Wife, Asian-Pac-Islander, Male,4650,2547,60, Guatemala, >50K
27,21, Never-worked,233681, Assoc-voc,9, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,4650,2547,80, Iran, >50K
28,42, Never-worked,279145, Assoc-voc,9, Divorced, Transport-moving, Wife, Amer-Indian-Eskimo, Male,4650,2547,31, Iran, >50K
29,23, Without-pay,128086, Assoc-acdm,7, Married-spouse-absent, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,4650,2547,52, Iran, >50K
30,20, Never-worked,22201, 9th,8, Married-spouse-absent, Sales, Not-in-family, Black, Male,4650,2547,72, Iran, >50K
