,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,50, Without-pay,83311, Bachelors,8, Married-civ-spouse, Sales, Husband, White, Female,0,0,13, United-States, <=50K
1,39, Federal-gov,192251, 7th-8th,9, Divorced, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
2,53, Federal-gov,143771, 11th,7, Widowed, Other-service, Husband, Black, Male,0,1902,43, Cuba, <=50K
3,50, Federal-gov,119101, Masters,8, Widowed, Farming-fishing, Wife, Black, Male,0,1902,43, Cuba, <=50K
4,45, Federal-gov,109611, Doctorate,5, Widowed, Sales, Wife, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
5,49, Federal-gov,160187, 9th,10, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,1902,16, Jamaica, <=50K
6,52, Without-pay,118701, 7th-8th,9, Widowed, Sales, Husband, Amer-Indian-Eskimo, Male,0,1902,49, Cuba, >50K
7,84, Federal-gov,85041, Doctorate,5, Married-AF-spouse, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,14084,1902,60, Cuba, >50K
8,42, Federal-gov,159449, Masters,8, Widowed, Sales, Husband, Amer-Indian-Eskimo, Male,5178,1902,43, Cuba, >50K
9,45, Federal-gov,543042, 11th,2, Widowed, Sales, Husband, Black, Male,0,1902,80, Cuba, >50K
10,19, State-gov,141297, Masters,8, Widowed, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,1902,43, India, >50K
11,66, Federal-gov,122272, Masters,8, Married-AF-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,30, Cuba, <=50K
12,78, Federal-gov,223613, Assoc-acdm,12, Married-AF-spouse, Exec-managerial, Own-child, Black, Male,0,1902,60, Cuba, <=50K
13,36, Federal-gov,121772, Assoc-voc,13, Widowed, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1902,43, ?, >50K
14,76, Federal-gov,211355, 7th-8th,14, Widowed, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,1902,49, Mexico, <=50K
15,53, Without-pay,202467, 7th-8th,9, Married-AF-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,35, Cuba, <=50K
16,78, Federal-gov,114495, 7th-8th,9, Married-AF-spouse, ?, Other-relative, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
17,39, Federal-gov,42251, 11th,7, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1902,60, Cuba, <=50K
18,43, Without-pay,258498, Doctorate,5, Divorced, Sales, Other-relative, Amer-Indian-Eskimo, Male,0,1902,49, Cuba, >50K
19,36, Federal-gov,147707, Preschool,9, Widowed, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,1902,60, Cuba, >50K
20,54, Federal-gov,405793, 7th-8th,9, Divorced, Adm-clerical, Other-relative, Black, Male,0,1902,20, Cuba, <=50K
21,42, Federal-gov,76845, 9th,10, Widowed, Prof-specialty, Husband, Black, Male,0,1902,43, Cuba, <=50K
22,43, Federal-gov,117037, 11th,7, Widowed, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,2042,43, Cuba, <=50K
23,59, Federal-gov,109015, 7th-8th,9, Divorced, Tech-support, Other-relative, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
24,56, Local-gov,351869, Masters,8, Widowed, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, >50K
25,17, Federal-gov,168294, 7th-8th,9, Married-AF-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
26,54, ?,224870, 11th,2, Widowed, ?, Husband, Asian-Pac-Islander, Male,0,1902,60, South, >50K
27,22, Federal-gov,239058, 7th-8th,9, Divorced, Sales, Own-child, Amer-Indian-Eskimo, Male,0,1902,80, Cuba, <=50K
28,49, Federal-gov,179973, 7th-8th,9, Widowed, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
29,66, Local-gov,245090, Assoc-acdm,12, Married-AF-spouse, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,1902,67, Cuba, <=50K
30,52, Federal-gov,231377, 11th,2, Married-AF-spouse, Exec-managerial, Not-in-family, Black, Male,0,1902,14, Cuba, <=50K
31,45, Federal-gov,153890, Masters,8, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,1408,43, Cuba, <=50K
32,19, Federal-gov,59951, 11th,2, Widowed, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
33,37, State-gov,236242, 11th,2, Widowed, Adm-clerical, Husband, Black, Male,0,1902,15, Cuba, <=50K
34,48, Federal-gov,198870, 11th,7, Married-AF-spouse, ?, Other-relative, Amer-Indian-Eskimo, Male,0,1902,43, Puerto-Rico, <=50K
35,46, Federal-gov,178749, 11th,2, Married-AF-spouse, ?, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
36,17, Federal-gov,544091, 7th-8th,9, Married-AF-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,1902,25, Cuba, <=50K
37,84, Federal-gov,84154, 11th,2, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1902,38, ?, >50K
38,48, Without-pay,402089, Assoc-acdm,12, Widowed, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
39,84, Federal-gov,31807, 9th,10, Widowed, ?, Husband, Amer-Indian-Eskimo, Male,0,1902,21, Cuba, <=50K
40,53, Without-pay,88506, Masters,8, Widowed, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
41,26, Federal-gov,32650, Masters,8, Widowed, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,1902,60, Cuba, <=50K
42,49, Federal-gov,94638, 7th-8th,9, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
43,53, Federal-gov,34443, 7th-8th,9, Married-AF-spouse, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,1902,35, Cuba, <=50K
44,57, Federal-gov,137616, Masters,8, Widowed, Farming-fishing, Husband, Black, Male,0,1902,43, Cuba, >50K
45,53, Federal-gov,144361, 7th-8th,9, Widowed, ?, Husband, Amer-Indian-Eskimo, Male,0,1902,38, Cuba, <=50K
46,44, Federal-gov,128354, Doctorate,5, Divorced, Sales, Other-relative, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
47,31, State-gov,101603, Assoc-voc,13, Widowed, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,1902,43, Cuba, <=50K
48,69, Federal-gov,184440, Assoc-voc,13, Married-AF-spouse, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,1902,21, Cuba, <=50K
49,53, Federal-gov,488720, 11th,2, Widowed, Sales, Wife, Other, Male,0,1902,43, Cuba, <=50K
50,18, Federal-gov,187778, 7th-8th,9, Married-AF-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,30, ?, <=50K
