,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,80, Self-emp-not-inc,84610, Some-college,15, Married-civ-spouse, Exec-managerial, Wife, Other, Male,4650,653,76, Germany, >50K
1,33, State-gov,83348, HS-grad,8, Separated, Prof-specialty, Unmarried, Other, Male,4650,653,1, Germany, >50K
2,17, State-gov,166606, Preschool,10, Married-civ-spouse, Prof-specialty, Wife, Black, Male,4650,0,1, Germany, >50K
3,74, State-gov,276456, Bachelors,15, Married-civ-spouse, Other-service, Own-child, Black, Female,4650,653,1, Poland, >50K
4,34, Private,308489, 10th,3, Married-civ-spouse, Exec-managerial, Own-child, Other, Female,4650,653,1, Germany, >50K
5,59, State-gov,262158, 5th-6th,7, Married-AF-spouse, Machine-op-inspct, Unmarried, Black, Female,4650,653,80, Vietnam, <=50K
6,53, Self-emp-not-inc,97064, HS-grad,8, Married-civ-spouse, Exec-managerial, Wife, Other, Male,4650,653,68, Germany, <=50K
7,35, State-gov,37618, 10th,3, Married-spouse-absent, Other-service, Unmarried, Other, Female,2346,0,24, Germany, <=50K
8,52, State-gov,202570, Some-college,15, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,653,1, Germany, <=50K
9,34, State-gov,138852, 7th-8th,5, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,653,46, Germany, <=50K
10,26, Self-emp-inc,401762, Some-college,15, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,4650,653,1, Ireland, <=50K
11,28, Private,181220, Some-college,15, Married-spouse-absent, Adm-clerical, Own-child, Other, Female,4650,653,70, Germany, >50K
12,54, Private,171550, 12th,2, Married-spouse-absent, ?, Unmarried, Black, Male,0,653,24, Germany, >50K
13,38, State-gov,28996, Masters,16, Married-civ-spouse, Transport-moving, Wife, Amer-Indian-Eskimo, Male,4650,653,1, Thailand, <=50K
14,34, State-gov,234721, Assoc-voc,1, Married-civ-spouse, Priv-house-serv, Wife, Asian-Pac-Islander, Male,4650,653,68, England, >50K
