,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,43, Local-gov,105327, Assoc-voc,2, Never-married, Other-service, Own-child, Other, Female,2176,155,34, France, >50K
1,79, ?,207685, Doctorate,1, Divorced, Priv-house-serv, Wife, Other, Female,2176,155,10, France, >50K
2,64, ?,129972, 7th-8th,5, Never-married, Priv-house-serv, Own-child, Amer-Indian-Eskimo, Female,2176,155,10, France, >50K
3,72, ?,197322, Assoc-voc,2, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,2176,155,10, Jamaica, >50K
4,80, ?,380922, 10th,9, Never-married, Other-service, Not-in-family, Other, Male,2176,155,10, France, >50K
5,42, ?,62857, 11th,16, Married-AF-spouse, ?, Wife, Amer-Indian-Eskimo, Male,2176,155,24, United-States, >50K
6,49, Local-gov,70884, Doctorate,1, Never-married, Other-service, Own-child, Other, Female,2176,155,81, France, <=50K
7,53, ?,188041, 10th,9, Separated, Craft-repair, Wife, Other, Male,3325,155,44, France, <=50K
8,17, ?,122116, Assoc-voc,2, Never-married, Other-service, Own-child, Other, Female,20051,155,10, France, <=50K
9,80, ?,248876, Masters,14, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,2176,155,23, France, <=50K
10,34, Private,296724, Assoc-voc,2, Never-married, Craft-repair, Own-child, White, Female,2176,155,10, China, <=50K
11,36, ?,482927, Assoc-voc,2, Separated, Handlers-cleaners, Other-relative, Other, Male,2176,155,70, France, >50K
12,87, ?,119913, Bachelors,10, Separated, Sales, Wife, Amer-Indian-Eskimo, Female,2176,155,44, France, >50K
13,57, ?,101524, 12th,4, Never-married, Tech-support, Own-child, White, Female,2176,0,10, Yugoslavia, <=50K
14,27, ?,115244, Some-college,7, Never-married, Transport-moving, Own-child, Black, Female,2176,155,81, Italy, >50K
15,55, Local-gov,230912, Doctorate,1, Separated, Exec-managerial, Other-relative, Other, Female,2176,155,38, France, >50K
16,87, ?,281784, Doctorate,1, Separated, Farming-fishing, Husband, Other, Female,2176,155,10, France, >50K
17,79, ?,113390, 7th-8th,5, Never-married, Sales, Own-child, Other, Female,2176,155,44, France, >50K
18,59, Local-gov,425785, 10th,9, Divorced, Other-service, Husband, Other, Male,2176,155,81, France, <=50K
19,57, ?,199995, Assoc-acdm,6, Never-married, Craft-repair, Own-child, Other, Female,2176,155,2, France, <=50K
20,60, ?,266072, Doctorate,1, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Male,2176,155,1, France, >50K
21,24, Federal-gov,107410, 11th,16, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,2176,155,10, France, >50K
22,59, ?,217226, 7th-8th,5, Never-married, Transport-moving, Own-child, Other, Female,2176,1380,10, France, >50K
23,33, ?,24364, Doctorate,1, Divorced, Machine-op-inspct, Husband, Other, Male,2176,155,10, France, >50K
24,48, Self-emp-not-inc,377283, Assoc-voc,2, Never-married, Machine-op-inspct, Own-child, Other, Female,2176,155,10, United-States, <=50K
25,85, ?,98995, Doctorate,9, Separated, Tech-support, Other-relative, Other, Female,2176,155,10, France, >50K
26,60, Self-emp-inc,96176, Masters,14, Never-married, Prof-specialty, Own-child, White, Female,2176,155,2, El-Salvador, <=50K
27,39, ?,252231, Doctorate,1, Divorced, Other-service, Not-in-family, Other, Female,2176,155,23, France, >50K
28,42, ?,167280, Doctorate,1, Never-married, Tech-support, Own-child, Other, Female,2176,155,10, France, >50K
29,36, Self-emp-not-inc,107389, Bachelors,10, Separated, Armed-Forces, Wife, Other, Female,2176,155,35, France, >50K
30,71, ?,98639, Masters,14, Separated, Sales, Other-relative, Amer-Indian-Eskimo, Female,2176,155,48, France, >50K
31,40, ?,361493, Assoc-voc,2, Divorced, Other-service, Other-relative, Other, Female,2176,2231,10, France, >50K
32,34, Federal-gov,88725, Masters,14, Never-married, Handlers-cleaners, Other-relative, Other, Female,2176,155,10, France, >50K
33,21, Private,225892, Masters,14, Never-married, ?, Own-child, Amer-Indian-Eskimo, Female,2176,155,77, France, >50K
34,65, ?,59146, 7th-8th,5, Separated, Farming-fishing, Husband, Other, Female,2176,155,10, Peru, >50K
35,22, ?,122497, Masters,14, Separated, Farming-fishing, Other-relative, Other, Female,2176,155,10, France, >50K
36,85, ?,164198, Doctorate,1, Married-spouse-absent, Handlers-cleaners, Not-in-family, Other, Male,2176,155,87, France, >50K
37,53, ?,343957, Masters,14, Never-married, Sales, Own-child, Other, Female,2176,155,5, Yugoslavia, <=50K
38,65, Local-gov,111916, Bachelors,10, Never-married, Craft-repair, Own-child, Other, Female,2176,155,10, France, >50K
39,53, ?,78631, 11th,16, Never-married, Farming-fishing, Own-child, Other, Female,2176,155,14, France, >50K
40,64, Local-gov,281422, Assoc-voc,2, Never-married, Craft-repair, Own-child, Other, Female,2176,0,10, France, >50K
41,25, ?,34029, Assoc-voc,2, Never-married, Machine-op-inspct, Own-child, Other, Female,2176,155,44, France, >50K
42,42, ?,102096, Doctorate,1, Married-civ-spouse, Handlers-cleaners, Unmarried, Other, Male,2176,155,10, France, >50K
43,55, ?,133582, Doctorate,1, Separated, Priv-house-serv, Wife, Other, Female,2176,155,38, France, >50K
44,46, Federal-gov,209344, Assoc-voc,2, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,2176,155,10, France, <=50K
45,64, ?,38001, Doctorate,1, Never-married, Farming-fishing, Own-child, Other, Female,2176,155,5, France, >50K
46,83, ?,193304, 10th,9, Divorced, Other-service, Husband, Other, Male,2176,155,10, France, >50K
47,30, Private,60552, 12th,4, Never-married, Tech-support, Own-child, Other, Female,2176,155,10, France, >50K
48,73, ?,31627, 12th,4, Separated, Craft-repair, Wife, Other, Female,2176,155,14, France, >50K
49,25, ?,93717, Masters,14, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,2176,155,10, France, >50K
50,31, ?,122626, Doctorate,1, Separated, ?, Other-relative, Other, Male,2176,155,70, Yugoslavia, >50K
51,19, ?,145005, 1st-4th,8, Never-married, Craft-repair, Not-in-family, Other, Male,2176,1092,2, Vietnam, <=50K
52,43, Federal-gov,240771, Assoc-voc,2, Divorced, Other-service, Wife, Other, Female,2176,155,33, France, <=50K
53,19, Without-pay,33673, Doctorate,1, Divorced, Other-service, Wife, Other, Female,2176,155,2, France, >50K
54,59, ?,262552, Masters,14, Never-married, Machine-op-inspct, Own-child, Other, Female,2176,155,10, France, <=50K
55,90, ?,361494, HS-grad,3, Never-married, Farming-fishing, Own-child, Other, Female,2176,155,10, Italy, >50K
56,24, ?,278514, 12th,4, Never-married, ?, Own-child, Other, Female,2176,155,10, Peru, >50K
57,30, ?,82473, Doctorate,1, Never-married, Handlers-cleaners, Own-child, Other, Female,2176,155,11, France, >50K
58,34, Private,209569, Doctorate,1, Never-married, Farming-fishing, Own-child, Other, Female,7688,155,10, France, >50K
59,34, ?,171050, Assoc-voc,2, Never-married, Sales, Own-child, Other, Female,15831,155,10, France, >50K
60,87, Self-emp-inc,196529, Some-college,7, Married-AF-spouse, Prof-specialty, Wife, Other, Female,2176,155,10, Yugoslavia, >50K
61,65, ?,342384, Doctorate,1, Never-married, Transport-moving, Own-child, Other, Female,2176,155,10, France, >50K
62,17, ?,240504, Assoc-acdm,6, Never-married, Craft-repair, Own-child, Other, Female,2176,155,81, France, <=50K
63,73, ?,472166, Masters,14, Divorced, Machine-op-inspct, Wife, Other, Female,2176,155,76, France, >50K
64,56, ?,197369, Doctorate,1, Never-married, Tech-support, Own-child, Other, Female,2176,155,10, France, >50K
65,72, ?,349703, Masters,14, Divorced, Handlers-cleaners, Wife, Other, Male,2176,155,10, France, >50K
66,64, ?,308077, Doctorate,1, Never-married, Handlers-cleaners, Not-in-family, Other, Male,2176,155,10, France, <=50K
67,42, Without-pay,192323, Masters,14, Never-married, Other-service, Own-child, Other, Female,2176,155,44, France, <=50K
68,55, Self-emp-inc,191535, Masters,14, Separated, Prof-specialty, Other-relative, Other, Female,2176,0,10, France, >50K
69,85, ?,190621, Masters,14, Separated, Craft-repair, Other-relative, Other, Female,2176,155,31, France, >50K
70,53, ?,235320, Assoc-voc,2, Married-civ-spouse, Sales, Other-relative, Amer-Indian-Eskimo, Male,2176,155,10, France, >50K
71,73, Local-gov,311524, Assoc-voc,2, Never-married, Sales, Own-child, Other, Female,2176,155,4, France, <=50K
72,36, ?,344572, Masters,14, Separated, Farming-fishing, Wife, Other, Female,2176,155,10, France, >50K
73,75, ?,122033, Masters,14, Never-married, Craft-repair, Unmarried, Other, Male,2176,155,1, France, >50K
74,62, ?,289403, Doctorate,1, Separated, ?, Other-relative, Other, Female,2176,155,10, Italy, >50K
75,57, ?,339168, Bachelors,10, Never-married, Handlers-cleaners, Own-child, Other, Female,2176,155,10, France, >50K
76,50, Self-emp-inc,110556, Preschool,12, Never-married, Prof-specialty, Own-child, Other, Female,2176,155,27, France, >50K
77,31, ?,145308, 7th-8th,5, Separated, ?, Other-relative, Other, Male,2176,155,96, France, >50K
78,53, Self-emp-not-inc,194895, Some-college,7, Never-married, Exec-managerial, Own-child, Other, Female,2176,155,10, France, >50K
79,31, ?,228157, Doctorate,1, Separated, Sales, Wife, Other, Female,2176,155,70, France, >50K
80,49, ?,86067, Assoc-voc,2, Never-married, ?, Own-child, Other, Female,2176,155,10, Cuba, >50K
81,90, ?,38645, Doctorate,1, Never-married, ?, Not-in-family, Other, Male,2176,155,10, France, >50K
82,33, ?,28419, Doctorate,1, Never-married, Sales, Own-child, Other, Female,2176,155,11, France, >50K
83,83, ?,134613, Doctorate,1, Divorced, Tech-support, Wife, Other, Male,2036,155,10, France, <=50K
84,64, ?,147110, Doctorate,1, Divorced, Sales, Other-relative, Other, Male,2176,155,38, France, >50K
