,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,53, Self-emp-not-inc,49296, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Unmarried, Black, Male,0,2467,13, United-States, >50K
1,42, Private,215646, 9th,10, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,1639,2467,28, Ecuador, >50K
2,53, ?,157332, 10th,7, Widowed, Adm-clerical, Husband, Black, Female,0,2467,40, Ecuador, <=50K
3,28, ?,425528, Bachelors,5, Married-civ-spouse, Prof-specialty, Wife, Black, Female,1639,0,40, Cuba, >50K
4,37, Private,284582, Masters,14, Widowed, Exec-managerial, Wife, Black, Male,0,2467,40, United-States, >50K
5,85, Private,52037, 9th,1, Married-spouse-absent, Other-service, Not-in-family, Black, Female,1639,0,11, Laos, >50K
6,86, Local-gov,209642, 9th,10, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,78, Ecuador, >50K
7,31, ?,194682, Masters,14, Married-AF-spouse, Prof-specialty, Not-in-family, Black, Female,14084,0,50, Ecuador, >50K
8,55, ?,181721, Assoc-acdm,13, Married-civ-spouse, Handlers-cleaners, Unmarried, Black, Male,5178,0,40, United-States, <=50K
9,37, Private,244856, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, Other, Female,0,0,24, Ecuador, >50K
10,37, State-gov,118352, Assoc-acdm,13, Widowed, Prof-specialty, Unmarried, White, Male,1639,2467,28, India, <=50K
11,28, ?,122175, Bachelors,13, Married-AF-spouse, Exec-managerial, Own-child, Black, Female,1639,2467,98, United-States, >50K
12,67, ?,34364, Prof-school,12, Married-AF-spouse, Transport-moving, Not-in-family, Other, Female,1639,2467,64, Ecuador, <=50K
13,40, Private,121772, Some-college,11, Widowed, Craft-repair, Husband, Asian-Pac-Islander, Female,0,2467,40, Hungary, >50K
14,47, ?,279231, Doctorate,4, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Male,0,0,78, Mexico, <=50K
15,69, Local-gov,191256, 9th,10, Married-AF-spouse, Farming-fishing, Husband, Black, Female,0,0,84, United-States, >50K
16,32, Private,186824, 9th,10, Never-married, Machine-op-inspct, Unmarried, Black, Male,1639,2467,28, Ecuador, >50K
17,38, Private,28887, 11th,7, Married-civ-spouse, Sales, Husband, Black, Female,0,0,50, Ecuador, >50K
18,43, Local-gov,256963, 5th-6th,14, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,45, Ecuador, <=50K
19,40, ?,193524, 11th,2, Widowed, Prof-specialty, Husband, Black, Female,1639,0,60, United-States, <=50K
20,43, ?,302146, HS-grad,10, Separated, Sales, Unmarried, Black, Male,1639,2467,20, United-States, >50K
21,51, Self-emp-not-inc,76845, 7th-8th,1, Married-civ-spouse, Farming-fishing, Unmarried, Black, Male,0,0,40, United-States, >50K
22,43, Private,166481, 11th,7, Widowed, Protective-serv, Unmarried, Black, Female,0,2377,28, United-States, >50K
23,22, Private,109015, 9th,9, Married-civ-spouse, ?, Unmarried, White, Female,1639,2467,40, Ecuador, >50K
24,38, Private,68991, Assoc-acdm,5, Widowed, ?, Unmarried, White, Male,0,0,40, United-States, <=50K
25,73, ?,168294, HS-grad,10, Never-married, Craft-repair, Own-child, Black, Male,0,2467,28, Ecuador, >50K
26,43, ?,179824, 1st-4th,10, Married-civ-spouse, Armed-Forces, Unmarried, White, Female,1639,2467,60, Puerto-Rico, <=50K
27,39, Private,182276, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Not-in-family, Black, Male,1639,0,80, Ecuador, >50K
28,49, ?,193366, 9th,10, Married-civ-spouse, Craft-repair, Unmarried, Black, Female,0,2467,40, United-States, <=50K
29,23, Local-gov,150393, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, Black, Female,0,2467,52, Ecuador, <=50K
30,17, ?,167670, 1st-4th,4, Never-married, Transport-moving, Husband, Other, Male,0,0,4, United-States, >50K
31,88, Private,386940, Assoc-acdm,13, Divorced, Exec-managerial, Own-child, Black, Male,1639,1721,40, Ecuador, <=50K
32,30, Federal-gov,59951, Some-college,4, Widowed, Exec-managerial, Own-child, White, Male,0,2467,28, United-States, <=50K
33,74, State-gov,311512, 1st-4th,10, Married-civ-spouse, Other-service, Husband, Black, Male,1639,0,46, United-States, >50K
34,48, Private,242406, 11th,7, Married-AF-spouse, Priv-house-serv, Unmarried, Black, Male,0,2467,40, Italy, <=50K
35,70, Private,180807, 1st-4th,10, Married-AF-spouse, Priv-house-serv, Husband, White, Female,1639,2467,28, Ecuador, >50K
36,73, Private,103596, HS-grad,9, Separated, Adm-clerical, Other-relative, Black, Female,1639,0,96, United-States, <=50K
37,31, Private,209101, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,75, ?, <=50K
38,64, Local-gov,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
39,31, ?,179580, 9th,5, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,80, Ecuador, >50K
40,53, Self-emp-not-inc,138026, Bachelors,5, Widowed, Prof-specialty, Husband, Black, Female,0,0,28, United-States, >50K
41,24, ?,172987, Assoc-acdm,5, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,64, United-States, >50K
42,85, ?,94991, 9th,10, Divorced, Exec-managerial, Wife, White, Male,1639,2467,28, Ecuador, >50K
43,69, ?,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,1639,0,84, Ecuador, <=50K
44,57, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Unmarried, Other, Female,1639,0,40, United-States, <=50K
45,41, ?,136873, HS-grad,10, Widowed, Priv-house-serv, Husband, Black, Male,0,0,38, United-States, <=50K
46,61, Private,246262, 5th-6th,14, Divorced, Handlers-cleaners, Wife, White, Male,0,0,28, United-States, <=50K
47,48, Federal-gov,101603, Some-college,11, Widowed, Other-service, Unmarried, White, Female,1639,2467,28, United-States, <=50K
48,29, Private,271466, Some-college,11, Never-married, Prof-specialty, Not-in-family, Black, Female,1639,0,43, Ecuador, >50K
49,25, ?,32275, Some-college,4, Married-civ-spouse, Handlers-cleaners, Other-relative, Other, Female,1639,2467,28, United-States, <=50K
50,18, ?,243283, 9th,10, Married-AF-spouse, Sales, Husband, Black, Female,1639,2467,98, Hungary, >50K
51,84, Private,51835, Prof-school,16, Widowed, Prof-specialty, Other-relative, White, Male,0,1902,60, United-States, <=50K
52,50, Self-emp-not-inc,251585, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Not-in-family, Black, Male,1639,0,55, United-States, <=50K
53,84, State-gov,22966, 9th,9, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,60, United-States, >50K
54,43, ?,218009, Some-college,4, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,28, Ecuador, >50K
55,62, ?,317681, 5th-6th,3, Married-civ-spouse, Priv-house-serv, Unmarried, Black, Female,0,2467,28, Mexico, >50K
56,35, ?,233954, Some-college,11, Married-civ-spouse, Sales, Husband, Black, Female,0,2467,40, Puerto-Rico, <=50K
57,41, Private,47902, HS-grad,10, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,48, Ecuador, >50K
58,37, Private,188146, HS-grad,10, Widowed, Priv-house-serv, Unmarried, Black, Male,4101,0,28, United-States, >50K
59,30, Private,187294, Assoc-acdm,5, Married-civ-spouse, Transport-moving, Husband, Black, Female,2407,0,28, United-States, <=50K
60,67, ?,254989, 7th-8th,3, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,40, ?, >50K
61,48, ?,149640, HS-grad,10, Widowed, Protective-serv, Husband, Black, Male,0,2467,40, Ecuador, <=50K
62,42, ?,274057, 11th,2, Married-civ-spouse, Prof-specialty, Husband, Black, Female,1639,2467,78, United-States, >50K
63,81, Private,126223, 1st-4th,4, Divorced, Tech-support, Not-in-family, White, Female,0,2467,15, Ecuador, >50K
64,36, Private,155537, 9th,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,28, United-States, >50K
