height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
5.0,7.0,35.0,,0.4,0.657,,14.0,23.0,6.0,1
,7.0,42.0,,,0.881,3.6,18.0,,,
,,108.0,,0.287,,4.43,,80.0,7.0,1
5.0,,35.0,1.4,,0.743,4.33,,,,1
6.0,,18.0,0.5,,,2.25,9.0,,4.0,
5.0,8.0,40.0,,0.55,1.0,,22.0,40.0,9.0,
6.0,4.0,,,0.417,0.708,,,17.0,4.0,1
5.0,,30.0,,0.333,0.333,10.0,,10.0,1.0,1
5.0,,25.0,1.0,0.4,0.52,10.0,10.0,13.0,1.0,1
,7.0,35.0,1.4,0.486,,8.5,17.0,32.0,2.0,1
5.0,,,0.4,,,8.0,8.0,10.0,1.0,1
,3.0,,0.6,,0.733,8.0,8.0,11.0,1.0,1
5.0,6.0,30.0,1.2,,,13.0,13.0,22.0,1.0,1
5.0,,35.0,,0.429,0.857,5.0,15.0,,3.0,1
,,42.0,1.167,0.405,0.881,4.25,17.0,37.0,,1
5.0,8.0,40.0,1.6,0.375,,15.0,15.0,19.0,1.0,
6.0,7.0,,1.167,0.405,0.952,4.25,17.0,,,1
5.0,19.0,95.0,3.8,0.232,0.4,5.5,22.0,38.0,4.0,1
,5.0,25.0,1.0,0.4,0.56,,10.0,14.0,2.0,
4.0,,24.0,1.5,0.417,,,10.0,12.0,1.0,
4.0,,,,,0.792,,,,2.0,
4.0,18.0,,4.5,,0.528,2.57,18.0,38.0,7.0,1
6.0,,42.0,1.167,0.357,0.548,7.5,15.0,23.0,,1
,7.0,35.0,1.4,0.429,0.886,2.5,15.0,31.0,6.0,
5.0,4.0,20.0,0.8,0.5,0.8,10.0,,16.0,,1
,25.0,325.0,1.923,,0.286,,76.0,93.0,7.0,1
13.0,,325.0,1.923,0.351,0.68,6.0,114.0,221.0,,1
7.0,16.0,112.0,2.286,0.321,,2.57,36.0,72.0,14.0,
,,,14.714,0.295,,1.76,213.0,498.0,,1
11.0,9.0,99.0,0.818,,0.626,3.4,,,10.0,
11.0,,,0.727,0.58,1.0,,,,,1
11.0,8.0,,0.727,,0.477,,,42.0,1.0,
11.0,,,0.727,0.602,,5.89,,,9.0,
11.0,35.0,,3.182,,0.657,,147.0,,24.0,1
3.0,,,,0.41,,13.9,,,10.0,2
3.0,,177.0,,0.475,0.475,,,,1.0,
2.0,20.0,40.0,10.0,0.675,0.675,27.0,,27.0,1.0,
,,202.0,50.5,0.54,,10.9,,150.0,10.0,2
,38.0,380.0,3.8,,0.947,3.12,162.0,360.0,,1
9.0,21.0,189.0,2.333,0.429,0.772,3.0,,146.0,,
,37.0,333.0,,,0.913,3.22,177.0,304.0,55.0,1
,98.0,980.0,9.8,,0.835,2.22,,818.0,167.0,1
9.0,50.0,,5.556,,,,,431.0,83.0,1
4.0,,776.0,48.5,,,34.0,,212.0,6.0,2
,,36.0,9.0,,0.694,24.0,,25.0,1.0,
,,44.0,,,0.75,33.0,33.0,33.0,1.0,
,18.0,36.0,9.0,0.806,,29.0,,,1.0,2
2.0,22.0,44.0,11.0,0.705,0.864,15.5,31.0,,2.0,
,66.0,660.0,6.6,0.273,0.661,1.94,180.0,436.0,93.0,
9.0,,810.0,,0.26,0.786,,211.0,637.0,97.0,1
9.0,,198.0,2.444,,,2.48,57.0,,23.0,1
9.0,92.0,,10.222,0.286,0.885,,,733.0,,1
9.0,,,1.333,0.444,0.981,1.71,,106.0,28.0,1
9.0,51.0,,5.667,0.296,0.786,2.34,136.0,,58.0,
,34.0,306.0,3.778,0.32,0.886,1.56,98.0,271.0,63.0,
,80.0,720.0,,,0.878,,,632.0,,
8.0,95.0,760.0,11.875,0.303,,1.77,230.0,,,1
,99.0,1089.0,9.0,0.23,0.601,,250.0,654.0,,1
,12.0,120.0,1.2,0.367,,1.69,44.0,,26.0,1
,53.0,530.0,5.3,,,1.79,156.0,434.0,,1
9.0,92.0,828.0,,0.292,0.843,2.05,,,118.0,1
11.0,85.0,,7.727,0.257,0.894,1.67,240.0,836.0,144.0,1
9.0,,747.0,9.222,,,1.91,212.0,634.0,111.0,1
9.0,,,1.333,,1.0,1.69,49.0,108.0,29.0,1
9.0,,576.0,7.111,0.299,,1.81,172.0,559.0,95.0,
,102.0,1122.0,9.273,,0.768,,250.0,862.0,163.0,1
