height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
,,,,,0.657,,,23.0,6.0,1
,7.0,,,,,3.6,,,5.0,1
,18.0,,3.0,0.287,0.741,,31.0,80.0,7.0,1
5.0,7.0,,,0.371,,4.33,,26.0,3.0,
,,,,,0.944,,,17.0,,1
,,,1.6,0.55,,2.44,,,,1
,4.0,,,,,2.5,10.0,,4.0,1
,,,1.2,0.333,0.333,,,10.0,,
5.0,,,,,,10.0,10.0,13.0,1.0,
5.0,,35.0,1.4,0.486,,,,32.0,,
,2.0,,0.4,0.8,1.0,,8.0,10.0,1.0,1
,3.0,15.0,,,,,,11.0,1.0,
5.0,6.0,30.0,1.2,,0.733,,,22.0,1.0,1
,,,,,0.857,,15.0,,3.0,
,,42.0,,,,,17.0,37.0,4.0,1
5.0,8.0,40.0,1.6,,,,15.0,,,1
,7.0,42.0,1.167,,0.952,,17.0,,4.0,
,,95.0,,,0.4,,22.0,38.0,4.0,1
5.0,5.0,25.0,,0.4,,,10.0,14.0,2.0,1
,6.0,,,0.417,0.5,,,12.0,,
,,,1.5,,,,11.0,19.0,,1
4.0,,,4.5,,0.528,2.57,18.0,38.0,7.0,
,7.0,42.0,,0.357,,7.5,,23.0,,1
5.0,,,1.4,0.429,,,15.0,,,1
,,20.0,0.8,0.5,0.8,10.0,,,,
13.0,,,1.923,,0.286,10.86,,93.0,7.0,
,25.0,,1.923,,,,,221.0,19.0,
7.0,16.0,,,0.321,0.643,2.57,,,,
,,721.0,,,0.691,,213.0,498.0,,1
,,99.0,0.818,,0.626,,34.0,,,
,,,0.727,,,,51.0,88.0,,
11.0,8.0,88.0,,0.409,,,,42.0,1.0,
,8.0,,0.727,0.602,,5.89,53.0,,9.0,1
11.0,,385.0,,0.382,,,147.0,253.0,,
3.0,,,37.667,,,,139.0,,10.0,2
,,,19.667,,,,84.0,84.0,,
,20.0,,,,,27.0,27.0,27.0,1.0,
2.0,101.0,,50.5,,0.743,,,,,
10.0,,380.0,3.8,,0.947,,,360.0,,
9.0,21.0,,,0.429,0.772,3.0,,,,
,,,4.111,0.532,0.913,3.22,,304.0,55.0,
10.0,98.0,980.0,9.8,,,,371.0,,,1
,50.0,,,,0.958,,223.0,,83.0,
4.0,194.0,,48.5,0.263,0.273,,,,,2
,18.0,,,,0.694,,24.0,,,
2.0,,44.0,11.0,,,33.0,,,,2
,18.0,,,,,29.0,29.0,30.0,1.0,
2.0,,,,,,,,38.0,2.0,2
,,,,,0.661,,,,93.0,1
9.0,90.0,,10.0,0.26,,2.18,211.0,637.0,,
9.0,,,2.444,,0.818,,57.0,162.0,23.0,1
,92.0,828.0,10.222,0.286,,1.93,,,,
,,108.0,,,,,,106.0,28.0,
9.0,51.0,459.0,5.667,,0.786,2.34,,,,1
9.0,,306.0,3.778,,0.886,,98.0,,63.0,1
,,720.0,,0.333,0.878,,,,119.0,1
8.0,,760.0,11.875,0.303,0.937,1.77,230.0,712.0,,
,,,,0.23,0.601,2.14,,,117.0,1
,,120.0,1.2,,1.0,1.69,,,,1
,53.0,,5.3,,0.819,1.79,156.0,,87.0,1
,,,,,0.843,,,698.0,,
11.0,85.0,935.0,,0.257,,,,,144.0,
9.0,,,,,0.849,,,634.0,111.0,1
,,,,0.454,,1.69,49.0,108.0,29.0,
9.0,,576.0,,,,,172.0,559.0,95.0,
11.0,,1122.0,,0.223,,,,862.0,,
12.0,,,1.0,,0.979,,44.0,,26.0,
,,672.0,,,0.827,2.02,,,,1
,84.0,,9.333,0.222,,,,708.0,,1
,54.0,,,,0.957,1.48,,465.0,96.0,
,41.0,,,,0.775,,,286.0,,1
10.0,,830.0,,0.266,0.827,,,,105.0,
10.0,4.0,,0.4,,,15.0,,16.0,1.0,1
12.0,11.0,,,0.371,,1.63,,132.0,,
12.0,,,,0.261,,,,405.0,,
10.0,,340.0,3.4,0.297,,,,,,
,,,8.444,0.307,0.882,1.84,210.0,603.0,,1
,,,1.167,,,2.31,60.0,161.0,26.0,
,7.0,,,,0.583,,18.0,,,
,,,,,0.742,2.31,155.0,,67.0,
,,,,,,1.69,,,,1
,32.0,288.0,,0.271,,,78.0,171.0,35.0,
,,348.0,,0.385,0.494,33.5,,,4.0,
1.0,10.0,10.0,,1.0,1.0,10.0,10.0,,,2
1.0,,13.0,,,1.0,13.0,13.0,,1.0,
,8.0,8.0,,1.0,,,8.0,,1.0,2
1.0,44.0,44.0,,,,2.2,11.0,44.0,5.0,2
,20.0,40.0,10.0,0.725,0.875,,29.0,35.0,,2
2.0,,40.0,10.0,0.775,0.85,31.0,,34.0,1.0,
13.0,,,0.769,0.3,,,39.0,,6.0,1
11.0,86.0,,7.818,0.413,0.853,,391.0,807.0,,
11.0,,,1.818,,,3.36,37.0,,11.0,
9.0,,45.0,0.556,0.378,0.933,,17.0,,6.0,1
8.0,,24.0,0.375,0.417,,10.0,10.0,,,1
,113.0,339.0,,0.357,,30.25,,,,
98.0,,294.0,0.031,,0.486,,,,1.0,4
,,96.0,24.0,0.625,,,60.0,65.0,,2
,,,,,,,,627.0,,
9.0,,333.0,,0.526,,3.18,175.0,,,
9.0,21.0,,,0.291,0.762,1.57,55.0,,35.0,1
