Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
OO,4492,CLL,EGE,6,785.0,56.0,0
EV,5364,GSP,MEM,6,375.0,76.0,0
FL,1016,BOS,MCO,7,703.0,205.0,0
F9,231,BNA,DEN,5,880.0,173.0,0
AS,5170,SEA,GRK,6,730.0,230.0,0
WN,3138,SAN,MLU,7,900.0,155.0,1
XE,2605,JAN,HOU,3,810.0,80.0,1
XE,3237,BKG,MDW,6,1035.0,145.0,0
XE,359,BQK,SNA,3,1055.0,65.0,1
F9,2364,MDW,DEN,3,940.0,157.0,0
WN,973,DEN,BWI,4,710.0,200.0,1
WN,1119,OMA,DEN,4,1155.0,100.0,1
WN,7323,ONT,SMF,7,1145.0,80.0,1
UA,418,SAN,DEN,2,492.0,148.0,1
AA,1845,MIA,SIT,3,720.0,145.0,1
OO,948,TUL,BUR,4,445.0,204.0,0
OO,6893,SFO,JAN,1,559.0,83.0,0
WN,193,ABQ,PHX,6,925.0,185.0,0
9E,4337,ATL,SGF,5,1170.0,116.0,0
UA,2565,DEN,SJC,1,1292.0,164.0,0
US,1972,CLT,EWR,1,914.0,107.0,1
EV,5237,PVD,DCA,3,875.0,109.0,0
EV,3924,CMH,BTR,1,1085.0,84.0,1
OO,6247,HDN,BUR,7,721.0,75.0,1
WN,380,MDW,COD,2,950.0,125.0,1
MQ,4318,BZN,BWI,5,845.0,115.0,1
WN,214,DFW,PSE,3,340.0,59.0,1
YV,2833,TUS,PHX,1,405.0,47.0,0
WN,1675,SLC,PDX,7,1115.0,125.0,1
AA,1267,MIA,SIT,7,1000.0,150.0,1
DL,6904,PLN,ATL,4,400.0,170.0,1
DL,174,DCA,MEM,4,370.0,149.0,1
MQ,3905,DAY,ORD,3,475.0,80.0,0
WN,1077,BWI,JAC,7,990.0,75.0,0
9E,6761,DLH,BET,4,737.0,170.0,0
WN,6710,SEA,SLC,7,1095.0,110.0,1
OH,6643,BOS,DCA,4,395.0,114.0,1
US,3095,FLL,CLT,1,785.0,118.0,0
XE,1951,FWA,IAH,3,900.0,112.0,1
UA,3930,BZN,SLC,2,480.0,132.0,0
OH,2356,FLL,BWI,7,631.0,145.0,0
DL,2003,OMA,AMA,5,436.0,74.0,0
YV,7304,FSM,IAD,4,888.0,107.0,0
EV,5185,SAV,ATL,4,692.0,73.0,1
9E,6297,BIL,DEN,2,1167.0,92.0,0
OO,752,BHM,DEN,7,450.0,190.0,1
WN,1162,AUS,HOU,3,610.0,50.0,0
XE,3920,OKC,DEN,4,755.0,100.0,1
OO,3385,YUM,BUR,6,457.0,80.0,0
OO,6820,RDD,SFO,5,360.0,78.0,0
WN,4017,TUS,LAX,2,880.0,90.0,0
MQ,5177,CDC,YAK,3,810.0,48.0,0
AA,1921,EWR,MIA,4,360.0,185.0,0
XE,3012,IAH,IAD,1,1150.0,166.0,1
UA,354,SMF,DCA,3,908.0,144.0,0
UA,604,ORD,IAH,7,1260.0,167.0,0
