Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
OO,4492,GJT,SLC,6,785.0,56.0,0
EV,5364,GUC,MEM,5,375.0,76.0,1
FL,1016,BOS,RIC,7,703.0,205.0,1
DL,6532,IAD,SPS,6,880.0,173.0,1
OO,662,SEA,CRW,6,730.0,230.0,1
YV,3138,ORD,SAT,7,900.0,155.0,1
WN,793,BTV,HOU,1,810.0,80.0,1
WN,1915,GUM,TYR,6,1035.0,145.0,1
YV,359,LAS,SNA,3,1055.0,65.0,0
DL,843,MDW,SPS,3,940.0,157.0,0
WN,973,DEN,ACV,4,710.0,200.0,0
WN,270,OMA,SPS,4,1155.0,100.0,1
WN,3859,MSP,MAF,2,1145.0,80.0,1
UA,2851,SAN,DEN,2,492.0,148.0,1
AA,1845,OMA,DAB,1,720.0,145.0,0
OO,3673,TUL,BRO,4,445.0,204.0,0
HA,3022,SFO,PSP,4,559.0,83.0,1
YV,193,MCI,SGF,6,925.0,185.0,1
UA,4337,BNA,SGF,2,1170.0,116.0,1
UA,4085,MQT,SJC,1,1292.0,164.0,0
WN,1972,CLT,TWF,1,914.0,107.0,0
CO,6900,ONT,HDN,1,875.0,109.0,0
EV,7380,PHX,PIH,7,1085.0,84.0,0
HA,2394,ATL,BRO,7,721.0,75.0,1
YV,380,MDW,GTR,2,950.0,125.0,0
MQ,2512,ORD,ACV,5,845.0,115.0,1
EV,214,DFW,XNA,3,340.0,59.0,1
YV,2072,TUS,PHX,1,405.0,47.0,0
YV,3233,SLC,PDX,7,1115.0,125.0,1
AA,4198,MIA,DAB,2,1000.0,150.0,0
AS,1040,COS,ATL,4,400.0,170.0,1
AS,1531,PSC,BET,5,370.0,149.0,1
MQ,3905,DAY,ORD,3,475.0,80.0,0
WN,3756,BOI,CLE,7,990.0,75.0,0
HA,1459,IAD,GJT,4,737.0,170.0,1
WN,480,MAF,SLC,2,1095.0,110.0,0
OH,6643,ONT,HDN,4,395.0,114.0,1
US,4547,FLL,CLT,1,785.0,118.0,0
XE,6498,BHM,IAH,1,900.0,112.0,0
UA,672,RDD,LGA,3,480.0,132.0,1
FL,953,FLL,ACV,7,631.0,145.0,1
DL,2003,OMA,MSP,5,436.0,74.0,1
9E,2465,CVG,ORD,5,888.0,107.0,0
EV,55,ASE,ATL,5,692.0,73.0,0
OO,6297,BIL,DEN,1,1167.0,92.0,1
OO,1300,EGE,SPS,2,450.0,190.0,1
YV,1162,AUS,PDX,1,610.0,50.0,1
YV,3920,OKC,SPS,4,755.0,100.0,1
OO,791,YUM,LAX,5,457.0,80.0,0
HA,5279,JAX,SFO,6,360.0,78.0,0
YV,1120,TUS,BRO,7,880.0,90.0,1
EV,5177,ATL,BUR,3,810.0,48.0,0
AA,1921,EWR,MIA,4,360.0,185.0,0
XE,3012,CSG,ORD,1,1150.0,166.0,0
UA,6878,SAN,SPS,3,908.0,144.0,1
UA,604,RDD,XNA,2,1260.0,167.0,1
AA,456,PIE,TPA,7,1015.0,135.0,0
CO,2481,PBI,EWR,6,747.0,173.0,1
MQ,2255,PSP,GTF,3,890.0,155.0,1
FL,984,ATL,PIT,3,615.0,89.0,1
AS,2005,CVG,MDT,2,1140.0,237.0,0
DL,3902,SAN,CVG,2,600.0,203.0,1
US,199,MCO,ORD,2,857.0,177.0,0
9E,4211,MSP,SAN,1,935.0,72.0,1
XE,2467,GPT,IAH,7,1090.0,84.0,0
YV,1174,BOI,CLE,3,1195.0,75.0,0
YV,714,IAD,SAT,4,515.0,155.0,0
YV,324,BET,SPS,6,390.0,135.0,1
AS,1863,PSE,ATL,3,583.0,115.0,0
AA,7280,ORF,CRW,1,380.0,220.0,0
AA,1119,PSC,MIA,5,800.0,160.0,1
XE,3165,OKC,IAH,3,990.0,106.0,0
9E,783,BHM,PIH,1,763.0,154.0,1
AS,1432,OMA,PIH,6,820.0,120.0,0
MQ,786,PIE,JAX,7,705.0,70.0,1
MQ,744,CID,BGR,2,515.0,65.0,1
OO,2006,ORD,CLE,7,480.0,71.0,0
OO,7776,SLC,LIT,5,820.0,59.0,0
AA,6871,PIE,IND,7,950.0,120.0,1
AS,1026,DTW,PIH,7,716.0,130.0,0
CO,5244,MOB,ATL,5,460.0,83.0,1
XE,5548,CSG,RDU,5,625.0,144.0,0
WN,4503,OAK,SAN,5,885.0,80.0,1
YV,946,BDL,TYR,6,470.0,160.0,0
YV,183,HOU,PHX,2,435.0,180.0,1
FL,5566,MKE,ATL,6,756.0,121.0,1
AA,6840,MIA,CRW,7,810.0,195.0,1
YV,221,MQT,SGF,7,585.0,120.0,0
AS,4171,FLL,LGA,1,540.0,170.0,0
CO,4436,ATL,AZO,5,521.0,71.0,1
US,602,RDD,HDN,6,422.0,111.0,1
OH,1657,ITO,RIC,7,666.0,90.0,1
MQ,581,PSC,ORD,7,945.0,125.0,1
MQ,2166,PIE,SGF,1,860.0,75.0,1
WN,1013,PHX,AUS,4,640.0,125.0,1
WN,1070,STL,MDW,2,590.0,60.0,1
AS,3565,ATL,JAN,1,590.0,100.0,0
B6,989,MCO,HPN,2,734.0,155.0,0
9E,7279,CHS,IAD,5,617.0,90.0,1
MQ,2645,RDD,ACT,7,1110.0,105.0,0
XE,5891,ISP,BGR,4,894.0,113.0,1
B6,3922,IDA,CLT,2,1215.0,82.0,1
YV,2131,TPA,BNA,7,1130.0,110.0,1
YV,2613,MAF,OAK,3,1215.0,125.0,1
WN,2009,MQT,PSE,5,360.0,105.0,1
MQ,2872,DFW,LBB,6,705.0,70.0,0
CO,908,CSG,DFW,2,1270.0,65.0,1
9E,3831,ALB,DTW,1,1150.0,125.0,1
EV,5198,IAH,RDU,7,765.0,150.0,1
WN,3687,TUL,BUF,1,1185.0,155.0,0
UA,1804,AUS,BET,2,965.0,110.0,1
9E,4511,DTW,LGA,1,1175.0,124.0,0
