Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
OO,,,,,785.0,56.0,
EV,,,MEM,6,375.0,,
FL,,BOS,,7,703.0,,0
F9,231,,DEN,,,173.0,0
AS,662,,,,,230.0,
,,SAN,SAT,7,,,1
,,,HOU,3,810.0,,
,3237,,MDW,6,1035.0,,
,,LAS,,,,,1
F9,,,DEN,,940.0,,
,,,BWI,,710.0,,1
WN,,,,4,,,1
,537,ONT,,2,,,
UA,,SAN,DEN,,492.0,148.0,
,1845,MIA,,,720.0,,
OO,6407,,,4,,,
OO,,,PSP,,,83.0,
WN,,MCI,,,,185.0,0
,,ATL,,7,,116.0,
UA,467,DEN,SJC,1,1292.0,164.0,0
US,1972,,EWR,1,914.0,107.0,
,5237,BOS,,3,875.0,109.0,
EV,5572,,,,1085.0,,1
,6247,FAT,LAX,,721.0,,
,380,,,2,950.0,125.0,1
,,ORD,BWI,,845.0,115.0,
,214,,IAH,,,59.0,1
,2833,,PHX,1,,47.0,
,,SLC,PDX,,1115.0,,
,,MIA,,7,1000.0,150.0,1
DL,,,,,,170.0,1
DL,,,,6,370.0,,
MQ,3905,DAY,ORD,,475.0,80.0,
,,BWI,CLE,7,,75.0,0
OO,6761,IAD,MSY,,737.0,170.0,
WN,1112,SEA,SLC,,,,1
,6643,BOS,DCA,4,395.0,,
US,,,,,785.0,118.0,0
XE,2356,,IAH,3,,,1
,,ORD,LGA,2,,,0
,953,FLL,,,631.0,145.0,0
,,,,,,,
,7304,JAX,IAD,,,,
,,SAV,ATL,,,,
OO,6297,,,1,1167.0,,0
,,,DEN,7,,190.0,1
,,,,3,610.0,50.0,0
,3920,,DEN,4,,,1
,,YUM,,5,457.0,80.0,
,,RDD,,,360.0,,
,1120,,LAX,1,,,0
EV,5177,,CHA,,810.0,,0
AA,1921,,,,,185.0,
,3012,,IAD,,,,1
UA,354,,DEN,3,,,
,,,IAH,7,,167.0,0
,456,,TPA,,,135.0,0
,1155,,EWR,,,,
MQ,3652,,MIA,2,,155.0,
,984,,PIT,,,89.0,
DL,,CVG,SLC,7,1140.0,237.0,
DL,,,CVG,2,600.0,,0
UA,,,ORD,7,,177.0,
9E,3981,,,3,,,
XE,,GPT,,7,,,
,1174,,,,,75.0,
WN,1259,,SAT,4,,,
WN,324,,DEN,,390.0,,
,,,ATL,2,583.0,,
AA,689,,,,380.0,,0
,1119,DCA,,6,,,1
,2207,,IAH,,,,
9E,3657,SYR,,,763.0,,1
,,,ATL,,820.0,120.0,
MQ,2872,DFW,,,,,
,3956,,ORD,2,515.0,,
OO,6976,,,7,,71.0,
OO,7776,,RKS,,820.0,,0
AA,1380,,IND,1,950.0,,
,,DTW,,,716.0,130.0,
,5244,,ATL,,,,0
XE,3099,,,,625.0,,
WN,1015,,SAN,,885.0,80.0,0
WN,,BDL,,,470.0,160.0,1
,1577,,PHX,,,,
,,MKE,,,,121.0,
AA,902,MIA,,,,,
WN,,,PHX,,,,1
DL,1598,FLL,LGA,1,,170.0,
EV,5182,,CAE,5,,,0
,602,ORD,DCA,6,,111.0,
OH,,,,1,,,
MQ,3701,DCA,ORD,1,945.0,125.0,1
MQ,3232,DFW,SGF,,,,
,1013,PHX,,,,125.0,0
WN,,STL,,,590.0,60.0,
,1991,,,3,,100.0,
B6,594,,,,,,
,,,IAD,,617.0,90.0,0
MQ,3712,,XNA,7,1110.0,,
,5891,,,4,894.0,,1
B6,1432,LGB,,,1215.0,82.0,1
WN,,,BNA,,1130.0,110.0,1
WN,1394,SEA,OAK,3,1215.0,125.0,
WN,2009,DEN,MCI,,,,
MQ,2872,DFW,LBB,,705.0,70.0,0
CO,,,,2,1270.0,65.0,1
,,,DTW,,,125.0,1
CO,,,,,765.0,150.0,
,,MCO,,,,,1
,4019,,,2,965.0,110.0,
9E,,,,,1175.0,124.0,
,,SLC,,7,,189.0,1
,,MSP,ATL,5,,,0
,2015,,,,970.0,,
MQ,3531,,,3,,145.0,1
,,,DEN,1,,134.0,
WN,,,,7,1230.0,,1
WN,1330,,,1,535.0,85.0,
,,IAD,LGA,7,,,1
,1292,PIT,BOS,2,565.0,,
UA,,ICT,,,,95.0,0
F9,,IND,,6,1195.0,165.0,0
,674,ORD,,,335.0,,
,,,,,475.0,,0
AA,1843,,,2,,175.0,
FL,596,,,7,,,
UA,,SFO,,,705.0,103.0,
,1039,TPA,,2,,137.0,0
F9,,,,,,,0
9E,4205,,,,580.0,115.0,
OO,,SBA,,,1176.0,,0
EV,,,,4,,175.0,0
,,LAS,DFW,,,,
WN,1782,OAK,ONT,,800.0,,1
,,,,,,78.0,
US,,,PHL,7,955.0,,1
,,LGA,,5,,57.0,1
YV,,,,,,,0
,,ABE,,,755.0,140.0,
,47,HOU,,,1170.0,50.0,
AA,2024,,BNA,6,730.0,,
,5941,ORD,LNK,,,99.0,
DL,1518,,,1,,,0
,155,,EWR,,,181.0,0
DL,2214,SEA,MSP,3,677.0,193.0,1
,,MDW,SAN,5,,,
XE,,,,,,,1
,2597,,,7,925.0,,1
,2453,,,,,74.0,1
,,JFK,RSW,5,,190.0,1
,4244,,,,,80.0,0
XE,5981,ORD,OKC,,715.0,133.0,1
,,LAX,RNO,7,,85.0,1
,6682,BWI,CVG,5,671.0,,1
OO,6520,ORD,MBS,3,,,
,,,DTW,,,,1
,,LGA,,2,780.0,160.0,
UA,532,DEN,,,,143.0,
,1411,CAK,RSW,,425.0,,1
WN,,DTW,MDW,,640.0,,0
,81,LAX,,,,,
DL,1581,,ATL,,520.0,,
WN,992,,,5,670.0,,0
,,,OGG,,,360.0,0
B6,,BOS,TPA,,,,1
OO,4855,,,,708.0,82.0,
AA,1204,,,7,640.0,,
OH,6543,BHM,,,885.0,,1
AA,642,SAT,,,1040.0,,
FL,,,,,857.0,116.0,0
,3934,ORD,,,,100.0,
,5522,ICT,ATL,,,137.0,0
9E,4236,CLT,,,,,1
US,1165,PHL,,,1245.0,,
WN,617,,,2,,90.0,1
DL,,,MSP,1,1200.0,176.0,1
DL,1499,,,7,740.0,74.0,1
B6,334,MCO,,,885.0,,
,,,,,415.0,,1
DL,,,,7,625.0,,
,,CAK,DEN,,,202.0,
MQ,2805,,DFW,1,635.0,,0
FL,,,,,934.0,,
UA,672,,LGA,,480.0,,0
,,ASE,,2,,,0
YV,,MCI,IAD,6,,,
XE,,EWR,,5,,,
,,,MDW,4,,,1
,,,,1,702.0,,
EV,7127,HSV,,7,1106.0,105.0,1
WN,3950,,,,1145.0,245.0,
,,IAD,DEN,7,,,0
EV,,CAK,,,,,0
XE,2148,,,,,,
,87,,PHL,,,303.0,0
US,,,CLT,,,114.0,
,,,PHL,4,,126.0,0
,5164,,DAY,,,94.0,0
AA,1841,,TUS,7,565.0,,1
,2730,IAH,,7,455.0,,
,,DEN,PSP,,1119.0,,0
,,,ATL,,,113.0,0
,1055,DTW,MSP,,1185.0,,
OO,,,DEN,,,,
WN,,LIT,DAL,4,,70.0,0
,6680,,ASE,1,1297.0,47.0,0
,6501,DEN,LIT,,,116.0,1
WN,2706,,BWI,4,735.0,,
XE,,CLE,,1,1025.0,,
,683,,,3,,148.0,0
,1799,,,5,574.0,,
,652,DEN,,,,137.0,0
XE,2843,DCA,,5,880.0,70.0,0
DL,2988,,CVG,7,970.0,133.0,
US,88,,PDX,,,169.0,
,214,,AUS,2,1190.0,,1
WN,,,,,,75.0,
,,TPA,ATL,3,,85.0,0
,708,,,,,60.0,0
,,,,,,,1
,431,,CLT,5,970.0,80.0,0
,,,TUS,5,,,
,958,,STL,,1105.0,100.0,
,1882,CLT,,,,,0
,,,,,,,
OO,7798,SLC,,3,,,0
MQ,,,,6,,75.0,
XE,2394,,MCI,,,199.0,
MQ,,TVC,ORD,7,870.0,75.0,1
,4595,LGA,,4,700.0,,1
,,,,,930.0,80.0,1
OO,6335,LAX,SAN,,911.0,,0
FL,,TPA,BWI,3,673.0,130.0,1
US,,,,5,,64.0,
AS,,,SEA,4,,,
US,1484,MCO,,,710.0,,1
XE,,,,,,195.0,0
UA,,ONT,DEN,,,,
CO,1834,EWR,SEA,1,,,0
WN,497,,,4,815.0,340.0,
,,,,,,60.0,0
,,MCO,,,1125.0,155.0,
DL,1754,LAX,ATL,,695.0,250.0,0
CO,,SJU,,,810.0,,
EV,5242,,,1,,72.0,
,,SFO,,5,1220.0,,
OO,6250,PDX,RDM,,,,0
9E,,ORF,,,,125.0,1
,,LAX,,,,,0
XE,,,IAD,,440.0,169.0,
MQ,3661,,,7,900.0,,1
,,DFW,ATL,,1230.0,115.0,
WN,,DEN,,,1210.0,,0
,2868,MLI,,,,135.0,1
XE,2354,IAH,,,510.0,133.0,
,,,DEN,1,1070.0,185.0,1
UA,,,,,,151.0,1
,,,IAH,3,495.0,247.0,
UA,,LIH,LAX,3,,,
,,IND,ORD,,,75.0,1
EV,,ABY,ATL,,660.0,58.0,
,,,,2,1275.0,,0
,,DFW,,,931.0,127.0,0
DL,,,,6,1046.0,127.0,0
WN,3023,TPA,,,,,
,,MEM,,1,,,
OO,7053,DEN,,,938.0,,0
WN,,AMA,,,,65.0,1
CO,,AUS,IAH,5,660.0,57.0,0
,704,RNO,,,500.0,,
OO,7048,,ORD,,493.0,,1
AA,1873,,MIA,,1220.0,65.0,1
,2866,,,1,,172.0,1
MQ,,,,,,115.0,
,,,CVG,,,,0
9E,,AMA,MEM,6,355.0,,
,1558,DFW,,3,,60.0,1
,3639,MIA,,1,1290.0,,0
WN,,MCI,,1,,,
DL,,ATL,,3,,,1
,,BWI,ATL,3,1050.0,129.0,
XE,,MKE,,7,,,
,,DEN,,,960.0,,1
,3708,ATL,,3,,,
,6299,MKG,ORD,7,365.0,53.0,0
WN,,LAX,,4,635.0,75.0,
OO,6923,,ACV,,1140.0,79.0,0
,,,LIH,7,535.0,,
CO,739,,,6,550.0,212.0,
XE,,,,,610.0,140.0,1
,2794,,OAK,,,255.0,
,,,,,,,1
,,,,,855.0,,
OH,,,ORD,4,980.0,,0
,2533,BOS,,4,420.0,,1
DL,,MCO,ATL,,990.0,100.0,0
WN,35,HOU,,,,,0
AS,61,CDV,,,813.0,47.0,0
MQ,3704,,,,,175.0,1
B6,1222,RDU,,,,,0
,,FLL,,,710.0,175.0,1
UA,634,,EWR,,365.0,125.0,
,,,MDW,,910.0,135.0,1
,,TRI,,,,67.0,
EV,5483,,,2,,115.0,
9E,4305,,ATL,3,340.0,67.0,
,,,,5,562.0,,0
WN,1065,BNA,,,,180.0,
,,,,6,518.0,,1
,1566,,MCI,,785.0,85.0,1
EV,5215,,ATL,,761.0,,
,2182,,,1,1080.0,84.0,
XE,2724,IAH,,5,,,1
MQ,,TXK,,6,655.0,60.0,
WN,1110,,BDL,,1190.0,165.0,1
MQ,3270,DFW,,,,,0
,2885,SMF,,,,,0
,819,,DFW,6,935.0,115.0,
AA,1086,DFW,HSV,1,,95.0,
,,,,,1181.0,,1
,,PHL,,1,,,
,,TPA,,,450.0,,
,4950,GNV,,,608.0,,1
WN,1815,HOU,,,,,0
EV,,BTV,,,336.0,110.0,
,,ECP,ATL,,330.0,,0
OO,6819,PDX,,,,,
AA,,,LGA,5,1055.0,,0
XE,,CLE,,,,,0
WN,155,,,,1150.0,85.0,1
DL,2695,,,,,,
,,CLT,CLE,,,97.0,1
,,,,7,1055.0,,0
UA,,,,4,465.0,132.0,1
FL,964,ATL,ACY,,923.0,116.0,
XE,,IAH,,4,1000.0,,
OO,3116,MKE,CAK,,945.0,77.0,
DL,1616,DEN,ATL,,440.0,168.0,
,2567,DTW,,4,,,1
,,,MSY,2,840.0,,0
,,,,5,,130.0,
,,,JFK,2,,114.0,
,,ORD,,,985.0,,
,2241,BOI,SLC,3,794.0,,
,,,ORD,,,,
,,,,,,,
,,,JFK,6,,116.0,0
CO,,,,3,449.0,240.0,0
,1034,DEN,,,640.0,120.0,
,1,,HNL,,,,
,2383,ATL,JAX,1,730.0,70.0,
,,,SFO,4,1070.0,,
FL,372,ATL,LGA,4,,,
WN,,OKC,,2,1075.0,80.0,
,,,,,,129.0,0
US,,RSW,,,,,
AA,,FLL,DFW,,,195.0,0
OO,,STL,,,,77.0,1
,,,MDW,,1010.0,,1
,4605,,,,,95.0,
9E,,PWM,DTW,7,,,
US,,,,,965.0,80.0,
,2412,,,1,,,
,27,,,2,,,0
,2091,HOU,,5,,115.0,1
US,,,PHL,,,,1
US,,,PHX,4,1020.0,,0
F9,,,,,800.0,,
,2944,MAF,,,,70.0,0
AA,,ORD,,,1150.0,,
9E,3912,ICT,MEM,,720.0,92.0,0
WN,3318,SMF,,4,,85.0,
,,,,,635.0,,0
US,,,SNA,,,80.0,
EV,5314,,,3,464.0,,0
,,JFK,LAX,,,390.0,1
DL,1441,ATL,LIT,4,1227.0,96.0,
,,OMA,,7,,119.0,
WN,42,,,3,,65.0,
WN,,,LAS,5,,,
,,,,5,,,1
,,TUS,ORD,7,,205.0,
OO,7774,,SLC,,,,0
AA,2301,ORD,DFW,,360.0,,1
,3750,MSP,ORD,,1175.0,,
,5971,GRB,ORD,,555.0,60.0,0
9E,3804,,ATL,,,128.0,0
,,,EWR,,,75.0,
WN,,,,4,,135.0,
AS,,,,5,,157.0,0
,2361,,PHX,,,,1
9E,,LSE,,1,380.0,102.0,
OO,4553,,LAS,,375.0,70.0,0
,2685,LGA,MCO,,,170.0,
EV,,DTW,,,,,0
,,EWR,MIA,5,760.0,,0
,,ORD,,2,619.0,,
,3711,ORD,LIT,,910.0,115.0,
,2779,LGA,,3,,200.0,
AA,728,LAS,,3,,,
WN,,,,4,1100.0,,
,,,BOS,,1105.0,136.0,
DL,1222,SLC,ATL,6,1020.0,219.0,0
,740,LAS,,5,795.0,,
9E,4334,JAX,CVG,,960.0,122.0,0
,1653,BWI,,1,620.0,,
OH,,,CVG,,,114.0,0
,,TPA,,3,,135.0,0
UA,36,OGG,SFO,,,300.0,
,1328,ONT,SMF,,,,1
,7027,DEN,,,921.0,85.0,
,,,,,,,0
WN,614,IND,,,,,
,,LIT,,4,,145.0,1
WN,553,DAL,,3,,55.0,1
,903,,,4,,60.0,1
,,,MCO,,,,
UA,794,,BUF,,,,1
,962,,,5,938.0,,0
CO,,,SEA,,,,
,,,,,,88.0,
YV,7212,ROC,IAD,7,870.0,,1
,,CVG,DFW,,,,0
B6,30,JFK,ROC,1,,81.0,
,,BTR,,6,960.0,,
,622,,DCA,,1025.0,,
OH,,IAD,DTW,3,,,1
,1339,,MCI,5,,185.0,0
DL,,,,,,84.0,1
,644,LAS,,7,,,1
,,LGA,ATL,,360.0,167.0,
OO,6843,CWA,,,408.0,68.0,
WN,2219,SMF,ONT,6,1100.0,75.0,
MQ,2863,,,,740.0,,1
DL,1721,,,2,,,0
,405,,,1,,,1
US,238,,,,,225.0,
,,,TPA,7,,,
,,DEN,BNA,,,,1
,866,ABQ,DEN,3,940.0,,
,,PNS,,,,,0
WN,,SAT,PHX,,515.0,150.0,
OO,,AVL,ORD,3,,,
,1610,ORF,TPA,5,1065.0,135.0,
,633,,SEA,7,,187.0,
9E,,,ORF,3,420.0,,0
,,TPA,PHL,,835.0,,
DL,1792,SAN,ATL,,,,1
EV,,ATL,ABY,,1236.0,53.0,
FL,,ATL,,,,,1
UA,625,,ORD,,1005.0,,
US,,CLT,,3,,,0
,,,CVG,1,,,0
,7794,,,,,,
,507,MKE,,,590.0,,
,4801,,,3,,195.0,1
WN,,PVD,PHL,4,,,
WN,,,HOU,,,225.0,
,3301,DFW,SGF,6,,70.0,
FL,727,MKE,,3,,,0
,5345,ATL,SHV,,,113.0,0
,,SFO,,,597.0,,0
,,MCO,CLT,7,525.0,96.0,0
,1208,SAN,PHX,7,755.0,,1
WN,,,LAS,,,,1
,567,,,,,246.0,
,6332,,,7,,,1
,5187,LEX,ATL,3,616.0,,
,,,,3,1140.0,,0
,1416,LAX,,2,835.0,298.0,1
FL,79,ATL,FLL,,,,1
,2940,OAK,,1,,108.0,0
YV,2907,,GJT,4,,,1
US,1124,CLT,,,1205.0,,
,2077,,,,987.0,128.0,
AA,1352,,,5,420.0,65.0,
DL,,,,,1319.0,109.0,
,4253,,,,,,
,447,CLT,,4,,,
WN,,MDW,,,,,1
,,,OGG,,,,
,,,TPA,3,,,
,,,BWI,3,555.0,110.0,
MQ,3745,ORD,PHL,,980.0,115.0,
WN,,RDU,,7,,95.0,
AA,,LGA,MIA,7,,195.0,
