acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
0.265,-0.7814,,,0.0325,-29.296,0
0.6722,-11.233,,,0.0208,,0
,-14.817,,-0.9105,,-24.367,
,,,,,,
0.4814,-0.9312,,,0.4379,,0
,-0.8056,,0.6925,,,0
,-11.29,-0.2982,0.0548,,0.4473,0
0.667,-13.503,,-0.8094,-0.7938,,
,,,-0.4173,-0.1904,,
0.469,,0.0219,,11.491,,0
0.2985,-0.7172,,,,21.009,
,,-0.24,,-0.1033,10.822,
,-12.486,-0.131,,-0.5281,-12.407,
,-0.7748,,-0.2345,-0.0148,-25.884,0
0.4477,,-0.0172,,0.4016,,0
0.2424,-0.7421,-0.0549,0.5714,,21.356,
0.6028,-10.966,-0.3046,0.1674,-0.5065,10.156,
,-13.397,,,,-14.015,0
0.3017,,0.0718,-0.2701,,-27.01,
,-10.859,-0.0375,0.0848,-0.105,0.287,0
0.372,-0.819,-0.2379,,,26.873,0
,,,-0.0726,,,
,,-0.2303,-0.1418,-14.683,-12.643,
,,-0.0344,0.0436,,-29.826,0
0.2957,-0.9224,-0.0462,0.1208,,-0.2949,0
0.5468,,-0.2362,0.1492,0.5586,,
,-0.8049,-0.1815,0.4349,-0.0852,,0
0.7335,,-0.2887,-0.4351,,-11.675,
,-0.9344,,,-0.1396,-31.056,
,-0.9109,0.0746,0.079,0.0688,-15.5,
0.5291,-12.39,,,,,
0.5319,,-0.1285,0.3973,-0.0524,,0
,-14.469,-0.1684,-0.159,,,0
,,-0.0511,-0.0841,-0.5589,-22.833,0
,-0.9424,0.0928,,0.4212,,0
,,-0.2959,0.7219,-0.1907,16.697,
,-0.6219,-0.1181,,,,0
,,,,0.0046,,0
0.5762,,,-0.2823,-10.751,-16.04,
,-0.8592,0.1061,,,,0
,,0.0135,0.3472,0.3493,16.18,
,,-0.0852,,-0.3914,20.878,0
,-11.723,,0.0188,-0.2731,,0
0.4872,,-0.0351,-0.5722,-0.5391,,0
,-0.8719,0.075,,0.1381,,0
,-12.032,0.0102,-0.2242,0.4722,0.8533,
0.3337,-0.6742,,,,20.391,0
0.6582,-10.35,-0.1183,,0.9292,16.138,0
,-11.561,-0.1305,,-0.0869,-0.8852,
0.3547,,-0.0107,,,-27.084,0
0.3895,-0.9959,0.0459,-0.489,,0.5679,
,,-0.0594,0.3748,-0.8984,,0
0.662,,,0.2064,-0.3973,,0
0.6929,,,-0.295,,-10.99,
,,,,-0.0623,,
,-0.8978,0.0555,-0.1366,0.1722,-0.8806,
0.5569,-14.246,,,,35.336,0
0.3874,,-0.1261,,,,0
0.5634,-14.413,,,,-0.2538,0
,-0.9437,-0.0687,,-0.1209,,0
0.2797,,,,-0.2347,-18.959,0
0.5678,,,0.5755,,28.897,0
0.5353,-0.8067,,,,,
,,,-0.1817,,,0
