,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,974,13, United-States, <=50K
1,38, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, Germany, <=50K
2,53, Private,234721, 11th,7, Divorced, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, <=50K
3,28, Private,180988, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Other, Female,2580,0,40, Vietnam, <=50K
4,37, Private,284582, Masters,14, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,40, United-States, <=50K
5,49, Private,160187, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,89, Jamaica, <=50K
6,52, Self-emp-not-inc,209642, HS-grad,9, Divorced, Exec-managerial, Husband, White, Male,0,0,45, Germany, >50K
7,31, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States, >50K
8,42, Private,159449, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,5178,0,40, United-States, >50K
9,37, Private,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States, >50K
10,30, State-gov,141297, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,2580,0,40, India, >50K
11,23, Private,233851, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,2580,0,30, United-States, <=50K
12,32, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0,0,34, Germany, <=50K
13,40, Private,121772, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,42, ?, >50K
14,34, Private,245487, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,15, Mexico, <=50K
15,25, Self-emp-not-inc,319149, 9th,9, Never-married, Farming-fishing, Own-child, White, Male,2580,0,48, United-States, <=50K
16,32, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Germany, <=50K
