,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,45, Self-emp-not-inc,35961, Bachelors,13, Never-married, Craft-repair, Other-relative, White, Male,0,3770,45, India, >50K
1,87, ?,153408, 9th,15, Widowed, Other-service, Wife, Black, Male,2290,3770,68, India, >50K
2,34, ?,259496, Assoc-acdm,1, Never-married, Other-service, Other-relative, Amer-Indian-Eskimo, Male,2290,3770,68, India, >50K
3,61, ?,189728, Prof-school,4, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,2290,0,68, Cambodia, >50K
4,70, ?,148888, HS-grad,11, Never-married, Craft-repair, Unmarried, Black, Female,2290,3770,68, India, >50K
5,64, ?,310396, 9th,10, Married-AF-spouse, Farming-fishing, Wife, Amer-Indian-Eskimo, Female,2290,0,91, Puerto-Rico, >50K
6,35, Self-emp-inc,237691, 9th,15, Never-married, Craft-repair, Other-relative, Black, Male,2290,3770,63, India, <=50K
7,74, ?,133136, HS-grad,14, Married-spouse-absent, Adm-clerical, Wife, Black, Female,15831,3770,94, India, <=50K
8,18, ?,236938, Prof-school,13, Never-married, Craft-repair, Other-relative, Black, Male,7688,3770,68, India, <=50K
9,70, ?,73296, Some-college,13, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,2290,3770,52, India, <=50K
10,73, State-gov,116635, Prof-school,4, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,2290,0,68, India, <=50K
11,37, ?,112819, Prof-school,4, Married-spouse-absent, Armed-Forces, Own-child, Black, Female,2290,3770,58, India, >50K
12,47, ?,177905, 10th,3, Married-spouse-absent, Protective-serv, Wife, Amer-Indian-Eskimo, Male,2290,3770,94, India, >50K
13,20, ?,216469, 12th,7, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,2290,0,68, ?, <=50K
14,19, ?,231912, 7th-8th,2, Never-married, Transport-moving, Husband, White, Male,2290,0,63, Mexico, >50K
15,69, Self-emp-inc,224858, 9th,15, Married-spouse-absent, Transport-moving, Own-child, Black, Male,2290,3770,99, India, >50K
16,47, ?,186308, 9th,15, Married-spouse-absent, Prof-specialty, Not-in-family, Black, Male,2290,3770,68, India, >50K
17,87, ?,184543, Assoc-acdm,1, Never-married, Protective-serv, Other-relative, Black, Male,2290,3770,94, India, >50K
18,54, Self-emp-inc,257758, HS-grad,11, Widowed, Craft-repair, Not-in-family, Black, Female,2290,3770,63, India, <=50K
19,20, ?,45801, Bachelors,14, Never-married, Adm-clerical, Other-relative, Black, Male,2290,3770,37, India, <=50K
20,86, ?,178470, 9th,15, Divorced, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,2290,3770,64, India, >50K
21,78, Self-emp-not-inc,193769, 11th,10, Never-married, Transport-moving, Other-relative, Amer-Indian-Eskimo, Male,2290,3770,68, India, >50K
22,54, ?,203279, Assoc-acdm,1, Never-married, Machine-op-inspct, Other-relative, White, Male,0,2149,68, India, >50K
23,49, ?,176689, 9th,15, Widowed, Exec-managerial, Not-in-family, Black, Female,2290,3770,68, India, >50K
24,51, Never-worked,192704, Prof-school,4, Never-married, Exec-managerial, Other-relative, Black, Male,2290,3770,68, India, <=50K
25,81, ?,374137, 9th,15, Married-spouse-absent, Tech-support, Own-child, Black, Male,2290,3770,68, India, >50K
26,86, Without-pay,186376, Preschool,13, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,2290,3770,37, South, <=50K
27,44, ?,260111, HS-grad,15, Widowed, Craft-repair, Wife, Black, Male,2290,3770,52, India, >50K
28,64, ?,192791, 9th,15, Never-married, Tech-support, Other-relative, Black, Male,2290,3770,68, India, >50K
29,37, Never-worked,90730, 10th,3, Married-spouse-absent, Priv-house-serv, Wife, Black, Male,2290,3770,5, India, >50K
30,25, ?,159650, Preschool,13, Married-spouse-absent, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,2290,3770,2, India, >50K
31,46, ?,140851, Prof-school,4, Widowed, Craft-repair, Own-child, White, Male,2290,1668,68, India, >50K
32,73, Self-emp-not-inc,204098, Preschool,13, Never-married, Armed-Forces, Own-child, Black, Male,2290,3770,68, India, >50K
33,29, State-gov,277695, Some-college,13, Never-married, Farming-fishing, Other-relative, Amer-Indian-Eskimo, Male,2290,3770,98, India, >50K
34,52, ?,184005, Assoc-acdm,1, Married-spouse-absent, Prof-specialty, Not-in-family, Black, Male,2290,3770,68, Vietnam, >50K
35,85, ?,173064, Preschool,13, Married-spouse-absent, Prof-specialty, Own-child, Black, Male,2290,3770,68, India, >50K
36,81, ?,121634, 9th,15, Separated, Armed-Forces, Unmarried, Black, Female,2290,3770,6, India, >50K
37,74, ?,144515, Preschool,13, Never-married, Protective-serv, Other-relative, Black, Male,2290,0,14, Canada, <=50K
