V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Class
,0.27,0.36,,,,170.0,,,,8.8,
6.3,,,,0.049,14.0,132.0,0.994,,,,
,0.28,,6.9,,,,,3.26,,10.1,
7.2,0.23,0.32,8.5,0.058,47.0,,0.9956,3.19,,9.9,4
7.2,,0.32,,,,186.0,0.9956,,0.4,9.9,
8.1,0.28,,6.9,0.05,30.0,,,3.26,,10.1,
,0.32,,,,,136.0,0.9949,,0.47,9.6,
,,0.36,,0.045,45.0,170.0,,3.0,0.45,8.8,4
,0.3,0.34,,0.049,,132.0,,,0.49,,
8.1,,,1.5,0.044,,,0.9938,,0.45,11.0,
8.1,,0.41,,,,,0.9908,2.99,0.56,,
8.6,,0.4,4.2,0.035,,109.0,,3.14,0.53,,
7.9,,0.37,1.2,0.04,16.0,,0.992,3.18,,10.8,3
,0.16,0.4,,0.044,,,0.9912,,0.52,,
,0.42,0.62,19.25,,,,,,,,
6.6,0.17,,1.5,,28.0,,0.9914,3.25,,11.4,5
,0.48,0.04,1.1,,30.0,99.0,,,,9.6,
,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,,12.8,
,,,1.1,,,,0.9917,3.12,,,4
6.5,,0.14,7.5,0.044,34.0,,,,,9.5,3
,,0.48,,0.029,29.0,,,3.33,,12.8,
6.4,,,,0.038,19.0,102.0,0.9912,3.17,,,5
6.8,0.26,0.42,,0.049,,122.0,0.993,,,,6
,0.67,0.14,,0.074,25.0,168.0,0.9937,,0.51,9.3,3
6.6,0.27,,,0.052,16.0,,,3.42,,,4
7.0,0.25,0.32,9.0,0.046,56.0,245.0,,3.25,0.5,,4
,,,1.0,0.052,35.0,146.0,0.993,,0.44,10.0,
7.0,,0.39,8.7,,,,,,,10.5,4
7.4,,,,0.047,17.0,,0.9914,3.19,0.49,,
7.2,,,,,,114.0,,,,12.3,
,,,,0.044,20.0,,,,0.53,10.0,4
,0.14,,,0.042,,,,3.47,,,4
,0.25,0.36,,,,,0.992,3.19,0.44,10.8,4
6.2,,0.34,1.5,0.045,,117.0,,3.42,0.51,,
5.8,,0.2,,,22.0,,,,,,3
,,,,0.08,21.0,,0.9905,,,,3
,,,,,25.0,,0.9934,,,10.0,3
,,0.32,,0.053,,138.0,,,0.28,11.2,
,,,,,45.0,149.0,,,0.36,8.6,
,,0.39,,0.057,,,,3.21,0.36,,
6.7,0.23,,,0.172,,,0.9937,,,9.4,4
6.7,0.24,,2.9,,,157.0,0.9937,3.1,,9.4,
,0.31,,7.4,0.069,,160.0,,,,,
,0.24,0.27,,,,,,,,,4
,0.23,0.26,,,,154.0,,,0.56,9.5,4
7.4,,0.31,1.4,0.058,38.0,,0.9931,,,,5
,0.45,,,0.063,63.0,206.0,0.994,,0.52,9.8,
6.2,,,,0.066,,207.0,0.9939,,,,
,0.31,0.26,7.4,0.069,28.0,160.0,,,0.46,,4
,,,,,,,,3.36,0.48,9.8,
7.2,0.19,0.31,,0.062,31.0,,,3.35,0.44,11.7,4
,0.25,,,0.068,39.0,,0.9914,,,11.0,5
,,,1.1,0.057,21.0,,0.991,,,,
,,,1.0,0.045,,108.0,,,,10.9,
,,0.59,,0.147,38.0,132.0,0.993,3.05,0.38,9.1,
6.9,0.25,0.35,,0.039,,,,,,,
,,0.34,11.9,0.043,,213.0,,3.09,0.5,9.6,4
,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,,0.36,,
,,,4.6,,25.0,,0.9931,,,,4
7.4,0.2,,,0.038,44.0,111.0,,,0.34,,
,0.22,0.24,4.9,0.092,30.0,123.0,0.9951,3.03,0.46,,
,0.19,0.26,,,50.0,147.0,,3.3,0.36,,
7.0,0.47,0.07,1.1,0.035,,151.0,,3.02,,10.5,3
,0.38,0.15,4.6,0.044,,,,,,,4
,0.24,0.27,1.4,0.038,,,,3.15,0.46,10.3,4
6.2,0.35,,,,,,0.9934,3.22,0.54,9.1,
6.4,0.26,,6.4,0.04,27.0,124.0,,3.22,0.49,,
,0.25,,,,81.0,174.0,0.992,3.14,,,3
6.7,0.23,0.31,2.1,0.046,30.0,96.0,,,0.64,,
,0.24,,10.1,,,,,3.13,0.35,9.5,3
,0.27,0.43,7.8,0.056,,,0.9956,,0.51,9.0,
6.8,0.3,,4.6,,50.5,238.5,,,,9.5,3
6.0,,0.28,4.8,0.063,31.0,,,,,10.0,3
,,0.46,1.0,,,72.0,0.9941,2.95,,9.1,
,0.23,,,0.046,30.0,96.0,0.9926,3.33,0.64,,
,0.24,0.29,10.1,0.05,,105.0,,3.13,0.35,,3
7.1,0.18,,,0.043,31.0,,0.9898,3.26,0.37,12.7,
7.0,0.32,0.34,,0.042,20.0,69.0,,,0.65,12.0,5
7.4,,,8.8,,26.0,,,2.94,,9.3,3
6.7,,,5.4,,21.0,105.0,,3.27,,,3
,0.22,,1.4,,34.0,,,3.39,,10.6,
,,0.34,16.0,,51.0,,0.9985,3.21,0.6,,4
7.1,,,,0.063,47.0,164.0,0.9946,,0.42,,3
7.3,0.22,0.3,,0.047,,207.0,0.9966,3.33,0.46,9.5,
,0.43,,11.8,0.045,54.0,,,3.11,0.45,,
,0.44,0.62,,,,152.0,,,,,4
7.2,,,,0.044,55.0,156.0,,,,,4
,0.25,0.31,13.3,,,202.0,0.9972,3.22,0.48,9.7,4
,0.43,0.61,11.8,,54.0,,,,,8.7,3
7.1,,,,0.044,,,,3.12,0.46,,4
7.2,,,,,55.0,156.0,,3.09,,,4
