,name,addr,city,phone,type,class
0,arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,?,?
1,arnie morton's of chicago,435 s. la cienega blvd.,?,310-246-1501,steakhouses,0
2,art's delicatessen,12224 ventura blvd.,?,818/762-1221,american,1
3,art's deli,12224 ventura blvd.,studio city,?,delis,1
4,hotel bel-air,701 stone canyon rd.,?,310/472-1211,californian,?
5,bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,californian,2
6,cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,3
7,cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,french bistro,3
8,campanile,624 s. la brea ave.,los angeles,213/938-1447,?,4
9,campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,?
10,chinois on main,2709 main st.,santa monica,?,french,5
11,chinois on main,2709 main st.,?,310-392-9025,pacific new wave,5
12,citrus,6703 melrose ave.,?,?,californian,?
13,citrus,6703 melrose ave.,los angeles,213-857-0034,californian,6
14,fenix,8358 sunset blvd. west,?,213/848-6677,american,7
15,fenix at the argyle,8358 sunset blvd.,?,213-848-6677,?,7
16,granita,23725 w. malibu rd.,malibu,310/456-0488,?,?
17,granita,23725 w. malibu rd.,malibu,?,?,?
18,grill on the alley,9560 dayton way,?,310/276-0615,?,9
19,grill  the,9560 dayton way,beverly hills,?,american (traditional),9
20,restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian,10
21,katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese,10
22,l'orangerie,903 n. la cienega blvd.,los angeles,?,?,11
23,l'orangerie,903 n. la cienega blvd.,w. hollywood,?,french (classic),11
24,le chardonnay,8284 melrose ave.,?,213/655-8880,?,12
25,le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro,12
26,locanda veneta,3rd st.,los angeles,310/274-1893,?,?
27,locanda veneta,8638 w. third st.,los angeles,?,italian,13
28,matsuhisa,129 n. la cienega blvd.,?,310/659-9639,asian,14
29,matsuhisa,129 n. la cienega blvd.,?,?,seafood,?
30,the palm,9001 santa monica blvd.,?,310/550-8811,american,15
31,palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,steakhouses,15
32,patina,5955 melrose ave.,?,213/467-1108,californian,16
33,patina,5955 melrose ave.,los angeles,213-467-1108,californian,16
34,philippe's the original,1001 n. alameda st.,los angeles,213/628-3781,american,?
35,philippe the original,1001 n. alameda st.,chinatown,213-628-3781,cafeterias,17
36,pinot bistro,12969 ventura blvd.,?,818/990-0500,french,18
37,pinot bistro,12969 ventura blvd.,?,818-990-0500,?,18
38,rex il ristorante,617 s. olive st.,los angeles,?,italian,19
39,rex il ristorante,617 s. olive st.,?,?,?,19
40,spago,1114 horn ave.,los angeles,310/652-4025,californian,20
41,spago (los angeles),8795 sunset blvd.,w. hollywood,?,californian,?
42,valentino,3115 pico blvd.,santa monica,310/829-4313,?,21
43,valentino,3115 pico blvd.,santa monica,?,italian,?
44,yujean kang's gourmet chinese cuisine,67 n. raymond ave.,?,818/585-0855,asian,?
45,yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,22
46,21 club,21 w. 52nd st.,new york,?,american,23
47,21 club,21 w. 52nd st.,new york city,212-582-7200,?,23
48,aquavit,13 w. 54th st.,new york,?,?,24
49,aquavit,13 w. 54th st.,new york city,212-307-7311,?,?
50,aureole,34 e. 61st st.,new york,?,?,?
51,aureole,34 e. 61st st.,new york city,212-319-1660,american (new),?
52,cafe lalo,201 w. 83rd st.,new york,212/496-6031,?,26
53,cafe lalo,201 w. 83rd st.,?,212-496-6031,coffeehouses,26
54,cafe des artistes,1 w. 67th st.,?,212/877-3500,continental,27
55,cafe des artistes,1 w. 67th st.,new york city,212-877-3500,?,27
56,carmine's,2450 broadway  between 90th and 91st sts.,new york,212/362-2200,?,28
57,carmine's,2450 broadway,new york city,212-362-2200,italian,28
58,carnegie deli,854 7th ave.  between 54th and 55th sts.,?,212/757-2245,delicatessen,?
59,carnegie deli,854 seventh ave.,new york city,212-757-2245,?,29
60,chanterelle,2 harrison st.  near hudson st.,new york,212/966-6960,?,30
61,chanterelle,2 harrison st.,new york city,212-966-6960,?,30
62,daniel,20 e. 76th st.,new york,212/288-0033,?,31
63,daniel,20 e. 76th st.,new york city,212-288-0033,?,?
64,dawat,210 e. 58th st.,?,212/355-7555,asian,32
65,dawat,210 e. 58th st.,new york city,?,indian,32
66,felidia,243 e. 58th st.,?,212/758-1479,italian,?
67,felidia,243 e. 58th st.,?,?,italian,33
68,four seasons grill room,99 e. 52nd st.,new york,212/754-9494,?,34
69,four seasons,99 e. 52nd st.,?,212-754-9494,american (new),?
70,gotham bar & grill,12 e. 12th st.,new york,212/620-4020,american,?
71,gotham bar & grill,12 e. 12th st.,?,?,american (new),35
72,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,212/477-0777,american,36
73,gramercy tavern,42 e. 20th st.,new york city,212-477-0777,american (new),?
74,island spice,402 w. 44th st.,new york,?,tel caribbean,37
75,island spice,402 w. 44th st.,new york city,?,?,?
76,jo jo,160 e. 64th st.,new york,212/223-5656,?,38
77,jo jo,160 e. 64th st.,?,212-223-5656,french bistro,?
78,la caravelle,33 w. 55th st.,new york,212/586-4252,?,?
79,la caravelle,33 w. 55th st.,new york city,212-586-4252,french (classic),?
80,la cote basque,60 w. 55th st.  between 5th and 6th ave.,?,?,french,40
81,la cote basque,60 w. 55th st.,new york city,212-688-6525,french (classic),?
82,le bernardin,155 w. 51st st.,?,212/489-1515,?,41
83,le bernardin,155 w. 51st st.,new york city,212-489-1515,seafood,41
84,les celebrites,160 central park s,?,212/484-5113,?,42
85,les celebrites,155 w. 58th st.,?,?,?,?
86,lespinasse,2 e. 55th st.,?,212/339-6719,american,43
87,lespinasse (new york city),2 e. 55th st.,?,212-339-6719,asian,43
88,lutece,249 e. 50th st.,?,?,?,?
89,lutece,249 e. 50th st.,?,212-752-2225,french (classic),44
90,manhattan ocean club,57 w. 58th st.,new york,?,?,?
91,manhattan ocean club,57 w. 58th st.,new york city,?,seafood,?
92,march,405 e. 58th st.,?,212/754-6272,american,?
93,march,405 e. 58th st.,new york city,212-754-6272,american (new),46
94,mesa grill,102 5th ave.  between 15th and 16th sts.,new york,?,american,?
95,mesa grill,102 fifth ave.,new york city,212-807-7400,?,47
96,mi cocina,57 jane st.  off hudson st.,?,212/627-8273,mexican,48
97,mi cocina,57 jane st.,?,?,mexican,48
98,montrachet,239 w. broadway  between walker and white sts.,?,212/ 219-2777,french,49
99,montrachet,239 w. broadway,new york city,212-219-2777,?,?
100,oceana,55 e. 54th st.,new york,212/759-5941,seafood,?
101,oceana,55 e. 54th st.,new york city,?,seafood,50
102,park avenue cafe,100 e. 63rd st.,new york,212/644-1900,american,51
103,park avenue cafe (new york city),100 e. 63rd st.,new york city,212-644-1900,american (new),51
104,petrossian,182 w. 58th st.,new york,?,french,?
105,petrossian,182 w. 58th st.,?,212-245-2214,russian,52
106,picholine,35 w. 64th st.,new york,212/724-8585,mediterranean,?
107,picholine,35 w. 64th st.,new york city,212-724-8585,?,?
108,pisces,95 ave. a at 6th st.,new york,212/260-6660,seafood,?
109,pisces,95 ave. a,new york city,212-260-6660,seafood,?
110,rainbow room,30 rockefeller plaza,new york,?,or 212/632-5100 american,55
111,rainbow room,30 rockefeller plaza,new york city,212-632-5000,american (new),?
112,river cafe,1 water st. at the east river,brooklyn,718/522-5200,american,56
113,river cafe,1 water st.,brooklyn,718-522-5200,american (new),56
114,san domenico,240 central park s,?,212/265-5959,italian,57
115,san domenico,240 central park s.,?,212-265-5959,?,57
116,second avenue deli,156 2nd ave. at 10th st.,new york,212/677-0606,?,58
117,second avenue deli,156 second ave.,new york city,?,delis,?
118,seryna,11 e. 53rd st.,?,212/980-9393,asian,59
119,seryna,11 e. 53rd st.,?,212-980-9393,japanese,59
120,shun lee west,43 w. 65th st.,new york,?,asian,60
121,shun lee palace,155 e. 55th st.,?,?,chinese,?
122,sign of the dove,1110 3rd ave. at 65th st.,new york,?,american,61
123,sign of the dove,1110 third ave.,?,212-861-8080,american (new),?
124,smith & wollensky,201 e. 49th st.,new york,212/753-1530,american,62
125,smith & wollensky,797 third ave.,?,212-753-1530,steakhouses,62
126,tavern on the green,in central park at 67th st.,new york,212/873-3200,?,63
127,tavern on the green,central park west,new york city,?,american (new),?
128,uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,212/315-1726,mediterranean,64
129,uncle nick's,747 ninth ave.,?,212-245-7992,?,64
130,union square cafe,21 e. 16th st.,new york,?,?,?
131,union square cafe,21 e. 16th st.,new york city,212-243-4020,american (new),65
132,virgil's,152 w. 44th st.,?,?,american,66
133,virgil's real bbq,152 w. 44th st.,new york city,212-921-9494,bbq,66
134,chin's,3200 las vegas blvd. s,las vegas,702/733-8899,asian,67
135,chin's,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,67
136,coyote cafe,3799 las vegas blvd. s,?,?,southwestern,68
137,coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,702-891-7349,?,68
138,le montrachet,3000 w. paradise rd.,las vegas,702/732-5111,continental,69
139,le montrachet bistro,3000 paradise rd.,las vegas,?,?,69
140,palace court,3570 las vegas blvd. s,?,702/731-7547,?,70
141,palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,?,70
142,second street grille,200 e. fremont st.,?,702/385-3232,seafood,71
143,second street grill,200 e. fremont st.,?,702-385-6277,pacific rim,?
144,steak house,2880 las vegas blvd. s,las vegas,702/734-0410,steak houses,?
145,steak house  the,2880 las vegas blvd. s.,las vegas,?,steakhouses,?
146,tillerman,2245 e. flamingo rd.,?,702/731-4036,?,73
147,tillerman  the,2245 e. flamingo rd.,las vegas,?,steakhouses,73
148,abruzzi,2355 peachtree rd.  peachtree battle shopping center,?,404/261-8186,italian,?
149,abruzzi,2355 peachtree rd. ne,?,404-261-8186,italian,?
150,bacchanalia,3125 piedmont rd.  near peachtree rd.,?,404/365-0410,international,75
151,bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian,75
152,bone's,3130 piedmont road,?,404/237-2663,american,76
153,bone's restaurant,3130 piedmont rd. ne,?,404-237-2663,?,?
154,brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,french,77
155,brasserie le coze,3393 peachtree rd.,atlanta,?,french bistro,77
156,buckhead diner,3073 piedmont road,?,?,american,78
157,buckhead diner,3073 piedmont rd.,atlanta,?,american (new),78
158,ciboulette,1529 piedmont ave.,?,404/874-7600,french,?
159,ciboulette restaurant,1529 piedmont ave.,atlanta,404-874-7600,?,79
160,delectables,1 margaret mitchell sq.,atlanta,?,american,80
161,delectables,1 margaret mitchell sq.,atlanta,?,?,80
162,georgia grille,2290 peachtree rd.  peachtree square shopping center,?,404/352-3517,american,81
163,georgia grille,2290 peachtree rd.,atlanta,404-352-3517,?,81
