,name,addr,city,phone,type,class
0,arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,?,0
1,arnie morton's of chicago,435 s. la cienega blvd.,los angeles,?,steakhouses,0
2,art's delicatessen,12224 ventura blvd.,?,818/762-1221,american,?
3,art's deli,12224 ventura blvd.,?,?,delis,1
4,hotel bel-air,701 stone canyon rd.,bel air,?,californian,2
5,bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,?,?
6,cafe bizou,14016 ventura blvd.,?,818/788-3536,?,?
7,cafe bizou,14016 ventura blvd.,?,818-788-3536,?,?
8,campanile,624 s. la brea ave.,los angeles,213/938-1447,american,?
9,campanile,624 s. la brea ave.,los angeles,?,californian,?
10,chinois on main,2709 main st.,?,310/392-9025,?,5
11,chinois on main,2709 main st.,?,310-392-9025,pacific new wave,?
12,citrus,6703 melrose ave.,los angeles,?,?,6
13,citrus,6703 melrose ave.,los angeles,?,californian,?
14,fenix,8358 sunset blvd. west,?,?,american,7
15,fenix at the argyle,8358 sunset blvd.,w. hollywood,?,french (new),7
16,granita,23725 w. malibu rd.,?,310/456-0488,?,?
17,granita,23725 w. malibu rd.,malibu,310-456-0488,?,8
18,grill on the alley,9560 dayton way,?,310/276-0615,?,?
19,grill  the,9560 dayton way,beverly hills,?,american (traditional),9
20,restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian,10
21,katsu,1972 hillhurst ave.,?,?,?,?
22,l'orangerie,903 n. la cienega blvd.,?,310/652-9770,?,?
23,l'orangerie,903 n. la cienega blvd.,?,310-652-9770,?,11
24,le chardonnay,8284 melrose ave.,?,213/655-8880,?,12
25,le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,?,12
26,locanda veneta,3rd st.,los angeles,310/274-1893,italian,13
27,locanda veneta,8638 w. third st.,?,310-274-1893,italian,?
28,matsuhisa,129 n. la cienega blvd.,beverly hills,?,asian,14
29,matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,seafood,?
30,the palm,9001 santa monica blvd.,?,?,?,?
31,palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,steakhouses,15
32,patina,5955 melrose ave.,?,213/467-1108,californian,?
33,patina,5955 melrose ave.,los angeles,213-467-1108,?,?
34,philippe's the original,1001 n. alameda st.,?,?,?,17
35,philippe the original,1001 n. alameda st.,chinatown,213-628-3781,?,17
36,pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french,18
37,pinot bistro,12969 ventura blvd.,studio city,818-990-0500,french bistro,18
38,rex il ristorante,617 s. olive st.,?,?,?,?
39,rex il ristorante,617 s. olive st.,los angeles,?,nuova cucina italian,19
40,spago,1114 horn ave.,los angeles,?,?,?
41,spago (los angeles),8795 sunset blvd.,?,?,californian,?
42,valentino,3115 pico blvd.,?,?,?,21
43,valentino,3115 pico blvd.,santa monica,310-829-4313,?,21
44,yujean kang's gourmet chinese cuisine,67 n. raymond ave.,?,?,asian,?
45,yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,22
46,21 club,21 w. 52nd st.,?,?,?,23
47,21 club,21 w. 52nd st.,?,212-582-7200,?,?
48,aquavit,13 w. 54th st.,new york,212/307-7311,continental,?
49,aquavit,13 w. 54th st.,new york city,?,?,24
50,aureole,34 e. 61st st.,new york,?,american,?
51,aureole,34 e. 61st st.,new york city,?,?,25
52,cafe lalo,201 w. 83rd st.,new york,?,?,?
53,cafe lalo,201 w. 83rd st.,?,?,coffeehouses,?
54,cafe des artistes,1 w. 67th st.,new york,212/877-3500,?,27
55,cafe des artistes,1 w. 67th st.,?,?,french (classic),27
56,carmine's,2450 broadway  between 90th and 91st sts.,new york,?,?,28
57,carmine's,2450 broadway,?,?,italian,28
58,carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,?,delicatessen,?
59,carnegie deli,854 seventh ave.,new york city,?,delis,29
60,chanterelle,2 harrison st.  near hudson st.,new york,?,american,?
61,chanterelle,2 harrison st.,?,212-966-6960,french (new),30
62,daniel,20 e. 76th st.,new york,212/288-0033,?,?
63,daniel,20 e. 76th st.,?,?,french (new),?
64,dawat,210 e. 58th st.,new york,212/355-7555,asian,32
65,dawat,210 e. 58th st.,new york city,?,indian,32
66,felidia,243 e. 58th st.,new york,?,italian,33
67,felidia,243 e. 58th st.,?,?,italian,?
68,four seasons grill room,99 e. 52nd st.,new york,?,?,?
69,four seasons,99 e. 52nd st.,new york city,?,american (new),?
70,gotham bar & grill,12 e. 12th st.,new york,?,american,35
71,gotham bar & grill,12 e. 12th st.,new york city,212-620-4020,american (new),?
72,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,?,212/477-0777,american,?
73,gramercy tavern,42 e. 20th st.,?,212-477-0777,?,36
74,island spice,402 w. 44th st.,?,212/765-1737,tel caribbean,?
75,island spice,402 w. 44th st.,new york city,?,caribbean,?
76,jo jo,160 e. 64th st.,new york,212/223-5656,american,?
77,jo jo,160 e. 64th st.,?,212-223-5656,?,38
78,la caravelle,33 w. 55th st.,new york,212/586-4252,french,39
79,la caravelle,33 w. 55th st.,new york city,212-586-4252,?,39
80,la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,212/688-6525,french,40
81,la cote basque,60 w. 55th st.,new york city,?,french (classic),40
82,le bernardin,155 w. 51st st.,new york,212/489-1515,french,41
83,le bernardin,155 w. 51st st.,new york city,212-489-1515,?,41
84,les celebrites,160 central park s,new york,?,french,42
85,les celebrites,155 w. 58th st.,new york city,212-484-5113,french (classic),?
86,lespinasse,2 e. 55th st.,?,?,?,?
87,lespinasse (new york city),2 e. 55th st.,?,212-339-6719,asian,43
88,lutece,249 e. 50th st.,new york,212/752-2225,?,44
89,lutece,249 e. 50th st.,?,?,french (classic),44
90,manhattan ocean club,57 w. 58th st.,?,?,?,?
91,manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,?,45
92,march,405 e. 58th st.,?,212/754-6272,american,?
93,march,405 e. 58th st.,?,212-754-6272,?,?
94,mesa grill,102 5th ave.  between 15th and 16th sts.,?,?,american,47
95,mesa grill,102 fifth ave.,?,212-807-7400,?,?
96,mi cocina,57 jane st.  off hudson st.,?,212/627-8273,?,?
97,mi cocina,57 jane st.,new york city,212-627-8273,mexican,?
98,montrachet,239 w. broadway  between walker and white sts.,new york,212/ 219-2777,french,49
99,montrachet,239 w. broadway,?,212-219-2777,french bistro,49
100,oceana,55 e. 54th st.,?,212/759-5941,seafood,?
101,oceana,55 e. 54th st.,?,?,seafood,?
102,park avenue cafe,100 e. 63rd st.,new york,212/644-1900,?,51
103,park avenue cafe (new york city),100 e. 63rd st.,?,212-644-1900,?,51
104,petrossian,182 w. 58th st.,new york,212/245-2214,?,52
105,petrossian,182 w. 58th st.,?,212-245-2214,russian,52
106,picholine,35 w. 64th st.,?,212/724-8585,mediterranean,?
107,picholine,35 w. 64th st.,?,?,mediterranean,53
108,pisces,95 ave. a at 6th st.,?,?,seafood,54
109,pisces,95 ave. a,new york city,?,seafood,54
110,rainbow room,30 rockefeller plaza,new york,212/632-5000,or 212/632-5100 american,55
111,rainbow room,30 rockefeller plaza,?,?,american (new),55
112,river cafe,1 water st. at the east river,brooklyn,?,american,?
113,river cafe,1 water st.,brooklyn,718-522-5200,?,56
114,san domenico,240 central park s,?,212/265-5959,?,57
115,san domenico,240 central park s.,?,?,?,?
116,second avenue deli,156 2nd ave. at 10th st.,new york,212/677-0606,?,58
117,second avenue deli,156 second ave.,new york city,?,?,?
118,seryna,11 e. 53rd st.,new york,212/980-9393,?,59
119,seryna,11 e. 53rd st.,new york city,212-980-9393,?,?
120,shun lee west,43 w. 65th st.,?,?,asian,60
121,shun lee palace,155 e. 55th st.,?,?,?,?
122,sign of the dove,1110 3rd ave. at 65th st.,?,?,american,61
123,sign of the dove,1110 third ave.,new york city,?,american (new),61
124,smith & wollensky,201 e. 49th st.,new york,?,american,62
125,smith & wollensky,797 third ave.,new york city,212-753-1530,?,?
126,tavern on the green,in central park at 67th st.,?,?,american,?
127,tavern on the green,central park west,?,212-873-3200,?,63
128,uncle nick's,747 9th ave.  between 50th and 51st sts.,?,212/315-1726,mediterranean,64
129,uncle nick's,747 ninth ave.,?,?,?,64
130,union square cafe,21 e. 16th st.,new york,212/243-4020,?,?
131,union square cafe,21 e. 16th st.,new york city,?,american (new),65
132,virgil's,152 w. 44th st.,new york,?,?,66
133,virgil's real bbq,152 w. 44th st.,?,212-921-9494,bbq,66
134,chin's,3200 las vegas blvd. s,?,?,?,67
135,chin's,3200 las vegas blvd. s.,?,702-733-8899,?,?
136,coyote cafe,3799 las vegas blvd. s,?,?,southwestern,68
137,coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,?,southwestern,68
138,le montrachet,3000 w. paradise rd.,?,?,?,?
139,le montrachet bistro,3000 paradise rd.,las vegas,?,?,69
