,name,addr,city,phone,type,class
0,arnie morton's of chicago,435 s. la cienega blv.,?,310/246-1501,?,?
1,arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,?,?
2,art's delicatessen,12224 ventura blvd.,studio city,818/762-1221,?,1
3,art's deli,12224 ventura blvd.,studio city,818-762-1221,?,?
4,hotel bel-air,701 stone canyon rd.,?,?,?,2
5,bel-air hotel,701 stone canyon rd.,?,?,californian,2
6,cafe bizou,14016 ventura blvd.,sherman oaks,?,?,3
7,cafe bizou,14016 ventura blvd.,sherman oaks,?,french bistro,3
8,campanile,624 s. la brea ave.,los angeles,213/938-1447,?,?
9,campanile,624 s. la brea ave.,?,213-938-1447,californian,4
10,chinois on main,2709 main st.,santa monica,310/392-9025,?,?
11,chinois on main,2709 main st.,santa monica,?,?,5
12,citrus,6703 melrose ave.,?,?,?,?
13,citrus,6703 melrose ave.,?,?,californian,?
14,fenix,8358 sunset blvd. west,hollywood,?,american,?
15,fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new),7
16,granita,23725 w. malibu rd.,?,310/456-0488,?,?
17,granita,23725 w. malibu rd.,malibu,310-456-0488,?,8
18,grill on the alley,9560 dayton way,?,310/276-0615,?,9
19,grill  the,9560 dayton way,?,310-276-0615,american (traditional),9
20,restaurant katsu,1972 n. hillhurst ave.,?,?,?,10
21,katsu,1972 hillhurst ave.,?,213-665-1891,japanese,10
22,l'orangerie,903 n. la cienega blvd.,?,310/652-9770,french,?
23,l'orangerie,903 n. la cienega blvd.,?,310-652-9770,french (classic),11
24,le chardonnay,8284 melrose ave.,?,213/655-8880,french,12
25,le chardonnay (los angeles),8284 melrose ave.,?,213-655-8880,french bistro,?
26,locanda veneta,3rd st.,?,310/274-1893,italian,?
27,locanda veneta,8638 w. third st.,?,?,?,?
28,matsuhisa,129 n. la cienega blvd.,?,310/659-9639,asian,14
29,matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,seafood,?
30,the palm,9001 santa monica blvd.,?,310/550-8811,american,15
31,palm  the (los angeles),9001 santa monica blvd.,?,310-550-8811,?,15
32,patina,5955 melrose ave.,?,213/467-1108,californian,?
33,patina,5955 melrose ave.,?,213-467-1108,californian,16
34,philippe's the original,1001 n. alameda st.,?,213/628-3781,?,17
35,philippe the original,1001 n. alameda st.,chinatown,213-628-3781,cafeterias,17
36,pinot bistro,12969 ventura blvd.,los angeles,?,french,?
37,pinot bistro,12969 ventura blvd.,?,818-990-0500,?,?
38,rex il ristorante,617 s. olive st.,los angeles,?,?,?
39,rex il ristorante,617 s. olive st.,?,?,nuova cucina italian,19
40,spago,1114 horn ave.,?,?,?,20
41,spago (los angeles),8795 sunset blvd.,?,?,californian,20
42,valentino,3115 pico blvd.,?,310/829-4313,italian,?
43,valentino,3115 pico blvd.,santa monica,310-829-4313,?,21
44,yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,818/585-0855,asian,22
45,yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,?,?
46,21 club,21 w. 52nd st.,new york,?,american,23
47,21 club,21 w. 52nd st.,new york city,212-582-7200,american (new),?
48,aquavit,13 w. 54th st.,?,?,continental,24
49,aquavit,13 w. 54th st.,new york city,?,?,24
50,aureole,34 e. 61st st.,new york,?,american,?
51,aureole,34 e. 61st st.,?,?,american (new),?
52,cafe lalo,201 w. 83rd st.,?,212/496-6031,coffee bar,26
53,cafe lalo,201 w. 83rd st.,new york city,?,?,26
54,cafe des artistes,1 w. 67th st.,new york,212/877-3500,?,27
55,cafe des artistes,1 w. 67th st.,?,212-877-3500,french (classic),27
56,carmine's,2450 broadway  between 90th and 91st sts.,?,212/362-2200,italian,?
57,carmine's,2450 broadway,new york city,212-362-2200,?,28
58,carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,?,delicatessen,?
59,carnegie deli,854 seventh ave.,new york city,212-757-2245,?,29
60,chanterelle,2 harrison st.  near hudson st.,new york,212/966-6960,?,30
61,chanterelle,2 harrison st.,?,212-966-6960,?,?
62,daniel,20 e. 76th st.,?,?,french,31
63,daniel,20 e. 76th st.,?,?,?,31
64,dawat,210 e. 58th st.,?,212/355-7555,asian,32
65,dawat,210 e. 58th st.,?,212-355-7555,?,?
66,felidia,243 e. 58th st.,new york,?,?,33
67,felidia,243 e. 58th st.,new york city,?,?,?
68,four seasons grill room,99 e. 52nd st.,?,?,?,34
69,four seasons,99 e. 52nd st.,?,212-754-9494,american (new),34
70,gotham bar & grill,12 e. 12th st.,new york,212/620-4020,?,?
71,gotham bar & grill,12 e. 12th st.,new york city,212-620-4020,american (new),?
72,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,?,american,?
73,gramercy tavern,42 e. 20th st.,?,?,american (new),?
74,island spice,402 w. 44th st.,new york,212/765-1737,?,?
75,island spice,402 w. 44th st.,new york city,212-765-1737,caribbean,?
76,jo jo,160 e. 64th st.,new york,212/223-5656,american,38
77,jo jo,160 e. 64th st.,new york city,?,?,38
78,la caravelle,33 w. 55th st.,?,212/586-4252,?,?
79,la caravelle,33 w. 55th st.,?,212-586-4252,?,?
80,la cote basque,60 w. 55th st.  between 5th and 6th ave.,?,?,?,40
81,la cote basque,60 w. 55th st.,?,?,?,40
82,le bernardin,155 w. 51st st.,?,?,french,41
83,le bernardin,155 w. 51st st.,new york city,?,seafood,41
84,les celebrites,160 central park s,new york,?,french,42
85,les celebrites,155 w. 58th st.,?,212-484-5113,?,42
86,lespinasse,2 e. 55th st.,?,?,american,43
87,lespinasse (new york city),2 e. 55th st.,?,?,asian,43
88,lutece,249 e. 50th st.,new york,212/752-2225,french,44
89,lutece,249 e. 50th st.,?,?,french (classic),44
90,manhattan ocean club,57 w. 58th st.,new york,?,seafood,?
91,manhattan ocean club,57 w. 58th st.,?,212-371-7777,?,45
92,march,405 e. 58th st.,new york,?,american,?
93,march,405 e. 58th st.,new york city,?,american (new),?
94,mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american,?
95,mesa grill,102 fifth ave.,new york city,?,southwestern,47
96,mi cocina,57 jane st.  off hudson st.,?,212/627-8273,?,48
97,mi cocina,57 jane st.,new york city,212-627-8273,?,48
98,montrachet,239 w. broadway  between walker and white sts.,new york,212/ 219-2777,?,?
99,montrachet,239 w. broadway,?,212-219-2777,french bistro,49
100,oceana,55 e. 54th st.,new york,?,seafood,?
101,oceana,55 e. 54th st.,new york city,?,?,50
102,park avenue cafe,100 e. 63rd st.,new york,?,american,51
103,park avenue cafe (new york city),100 e. 63rd st.,?,?,american (new),?
104,petrossian,182 w. 58th st.,new york,?,french,?
105,petrossian,182 w. 58th st.,new york city,212-245-2214,?,52
106,picholine,35 w. 64th st.,?,?,mediterranean,53
107,picholine,35 w. 64th st.,?,?,mediterranean,?
108,pisces,95 ave. a at 6th st.,new york,?,?,?
109,pisces,95 ave. a,new york city,?,?,54
110,rainbow room,30 rockefeller plaza,?,?,?,55
111,rainbow room,30 rockefeller plaza,?,212-632-5000,?,?
112,river cafe,1 water st. at the east river,brooklyn,?,?,56
113,river cafe,1 water st.,?,?,american (new),56
114,san domenico,240 central park s,?,212/265-5959,?,57
115,san domenico,240 central park s.,?,?,?,?
116,second avenue deli,156 2nd ave. at 10th st.,new york,?,?,?
117,second avenue deli,156 second ave.,new york city,212-677-0606,delis,?
118,seryna,11 e. 53rd st.,?,?,?,?
119,seryna,11 e. 53rd st.,new york city,212-980-9393,japanese,59
120,shun lee west,43 w. 65th st.,new york,?,?,?
121,shun lee palace,155 e. 55th st.,new york city,?,chinese,?
122,sign of the dove,1110 3rd ave. at 65th st.,new york,?,american,?
123,sign of the dove,1110 third ave.,?,212-861-8080,?,?
124,smith & wollensky,201 e. 49th st.,new york,?,american,62
125,smith & wollensky,797 third ave.,new york city,212-753-1530,?,62
126,tavern on the green,in central park at 67th st.,new york,?,american,?
127,tavern on the green,central park west,?,212-873-3200,?,63
128,uncle nick's,747 9th ave.  between 50th and 51st sts.,?,212/315-1726,?,64
129,uncle nick's,747 ninth ave.,?,212-245-7992,?,64
130,union square cafe,21 e. 16th st.,?,?,american,65
131,union square cafe,21 e. 16th st.,new york city,212-243-4020,american (new),65
132,virgil's,152 w. 44th st.,?,212/ 921-9494,american,?
133,virgil's real bbq,152 w. 44th st.,?,212-921-9494,bbq,?
134,chin's,3200 las vegas blvd. s,las vegas,702/733-8899,asian,?
135,chin's,3200 las vegas blvd. s.,las vegas,?,chinese,67
136,coyote cafe,3799 las vegas blvd. s,?,702/891-7349,southwestern,68
137,coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,?,?,?
138,le montrachet,3000 w. paradise rd.,las vegas,702/732-5111,continental,69
139,le montrachet bistro,3000 paradise rd.,las vegas,?,french bistro,?
140,palace court,3570 las vegas blvd. s,?,?,continental,70
141,palace court,3570 las vegas blvd. s.,las vegas,?,french (new),?
142,second street grille,200 e. fremont st.,las vegas,?,?,?
143,second street grill,200 e. fremont st.,?,?,pacific rim,71
144,steak house,2880 las vegas blvd. s,?,?,steak houses,?
145,steak house  the,2880 las vegas blvd. s.,las vegas,702-734-0410,steakhouses,?
146,tillerman,2245 e. flamingo rd.,?,?,seafood,?
147,tillerman  the,2245 e. flamingo rd.,las vegas,?,steakhouses,?
148,abruzzi,2355 peachtree rd.  peachtree battle shopping center,atlanta,?,?,74
149,abruzzi,2355 peachtree rd. ne,?,?,italian,74
150,bacchanalia,3125 piedmont rd.  near peachtree rd.,?,404/365-0410,international,75
151,bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian,75
152,bone's,3130 piedmont road,atlanta,404/237-2663,american,76
153,bone's restaurant,3130 piedmont rd. ne,?,404-237-2663,?,76
154,brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,?,?
155,brasserie le coze,3393 peachtree rd.,?,?,?,?
156,buckhead diner,3073 piedmont road,?,?,american,78
157,buckhead diner,3073 piedmont rd.,?,404-262-3336,american (new),78
158,ciboulette,1529 piedmont ave.,atlanta,?,?,79
159,ciboulette restaurant,1529 piedmont ave.,atlanta,?,french (new),?
160,delectables,1 margaret mitchell sq.,?,?,american,80
161,delectables,1 margaret mitchell sq.,atlanta,?,?,80
162,georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,?,american,?
163,georgia grille,2290 peachtree rd.,atlanta,404-352-3517,southwestern,?
164,hedgerose heights inn,490 e. paces ferry rd.,?,?,international,?
165,hedgerose heights inn  the,490 e. paces ferry rd. ne,?,404-233-7673,?,82
166,heera of india,595 piedmont ave.  rio shopping mall,?,404/876-4408,?,83
167,heera of india,595 piedmont ave.,atlanta,?,indian,?
168,indigo coastal grill,1397 n. highland ave.,atlanta,?,caribbean,84
169,indigo coastal grill,1397 n. highland ave.,?,404-876-0676,?,?
170,la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,?,italian,?
171,la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian,?
172,mary mac's tea room,224 ponce de leon ave.,?,404/876-1800,?,86
173,mary mac's tea room,224 ponce de leon ave.,?,404-876-1800,southern/soul,?
174,nikolai's roof,255 courtland st.  at harris st.,atlanta,404/221-6362,?,87
175,nikolai's roof,255 courtland st.,?,404-221-6362,continental,87
176,pano's and paul's,1232 w. paces ferry rd.,?,?,international,?
177,pano's & paul's,1232 w. paces ferry rd.,?,?,american (new),?
178,cafe  ritz-carlton  buckhead,3434 peachtree rd.,?,404/237-2700,?,?
179,ritz-carlton cafe (buckhead),3434 peachtree rd. ne,?,?,?,?
180,dining room  ritz-carlton  buckhead,3434 peachtree rd.,?,404/237-2700,?,90
181,ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,?,?,90
182,restaurant  ritz-carlton  atlanta,181 peachtree st.,?,?,continental,?
183,ritz-carlton restaurant,181 peachtree st.,atlanta,?,french (classic),?
184,toulouse,b peachtree rd.,atlanta,?,?,92
185,toulouse,293-b peachtree rd.,atlanta,?,?,?
186,veni vidi vici,41 14th st.,atlanta,404/875-8424,italian,93
187,veni vidi vici,41 14th st.,atlanta,404-875-8424,?,?
188,alain rondelli,126 clement st.,san francisco,?,french,?
189,alain rondelli,126 clement st.,?,?,?,94
190,aqua,252 california st.,?,415/956-9662,seafood,?
191,aqua,252 california st.,?,415-956-9662,american (new),?
192,boulevard,1 mission st.,?,?,?,96
193,boulevard,1 mission st.,san francisco,415-543-6084,american (new),?
194,cafe claude,7 claude la.,?,415/392-3505,french,?
195,cafe claude,7 claude ln.,san francisco,?,french bistro,?
196,campton place,340 stockton st.,?,?,american,?
197,campton place,340 stockton st.,san francisco,?,american (new),?
198,chez michel,804 northpoint,san francisco,415/775-7036,?,?
199,chez michel,804 north point st.,?,?,californian,99
200,fleur de lys,777 sutter st.,san francisco,?,?,?
201,fleur de lys,777 sutter st.,?,?,french (new),?
202,fringale,570 4th st.,san francisco,415/543-0573,french,101
203,fringale,570 fourth st.,san francisco,415-543-0573,french bistro,101
204,hawthorne lane,22 hawthorne st.,san francisco,415/777-9779,american,102
205,hawthorne lane,22 hawthorne st.,?,?,californian,?
206,khan toke thai house,5937 geary blvd.,?,415/668-6654,asian,?
207,khan toke thai house,5937 geary blvd.,san francisco,?,thai,?
208,la folie,2316 polk st.,san francisco,415/776-5577,french,?
209,la folie,2316 polk st.,?,415-776-5577,?,?
210,lulu,816 folsom st.,?,415/495-5775,mediterranean,105
211,lulu restaurant-bis-cafe,816 folsom st.,?,?,mediterranean,?
212,masa's,648 bush st.,san francisco,415/989-7154,?,?
213,masa's,648 bush st.,san francisco,415-989-7154,?,?
214,mifune japan center  kintetsu building,1737 post st.,?,415/922-0337,asian,107
215,mifune,1737 post st.,?,415-922-0337,japanese,?
216,plumpjack cafe,3201 fillmore st.,san francisco,415/563-4755,mediterranean,?
217,plumpjack cafe,3127 fillmore st.,san francisco,?,american (new),?
218,postrio,545 post st.,san francisco,415/776-7825,?,?
219,postrio,545 post st.,san francisco,415-776-7825,californian,?
220,ritz-carlton restaurant and dining room,600 stockton st.,?,?,?,?
221,ritz-carlton dining room (san francisco),600 stockton st.,san francisco,?,french (new),?
222,rose pistola,532 columbus ave.,?,415/399-0499,?,111
223,rose pistola,532 columbus ave.,san francisco,?,italian,111
224,adriano's ristorante,2930 beverly glen circle,los angeles,?,?,112
225,barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,113
226,beaurivage,26025 pacific coast hwy.,?,?,french,114
227,bistro garden,176 n. canon dr.,?,310/550-3900,?,?
228,border grill,4th st.,?,?,?,?
229,broadway deli,3rd st. promenade,?,310/451-0616,american,117
230,ca'brea,346 s. la brea ave.,?,213/938-2863,italian,118
231,ca'del sol,4100 cahuenga blvd.,los angeles,818/985-4669,?,?
232,cafe pinot,700 w. fifth st.,?,213/239-6500,californian,120
233,california pizza kitchen,207 s. beverly dr.,?,310/275-1101,californian,121
234,canter's,419 n. fairfax ave.,los angeles,213/651-2030.,american,122
235,cava,3rd st.,los angeles,?,?,123
236,cha cha cha,656 n. virgil ave.,los angeles,?,caribbean,124
237,chan dara,310 n. larchmont blvd.,?,213/467-1052,?,125
