,name,addr,city,phone,type,class
0,arnie morton's of chicago,435 s. la cienega blv.,?,?,?,?
1,arnie morton's of chicago,435 s. la cienega blvd.,los angeles,?,steakhouses,?
2,art's delicatessen,12224 ventura blvd.,?,?,american,1
3,art's deli,12224 ventura blvd.,studio city,?,?,?
4,hotel bel-air,701 stone canyon rd.,?,310/472-1211,?,?
5,bel-air hotel,701 stone canyon rd.,bel air,?,californian,?
6,cafe bizou,14016 ventura blvd.,?,?,?,?
7,cafe bizou,14016 ventura blvd.,?,818-788-3536,?,3
8,campanile,624 s. la brea ave.,los angeles,?,?,?
9,campanile,624 s. la brea ave.,los angeles,?,?,?
10,chinois on main,2709 main st.,santa monica,?,?,5
11,chinois on main,2709 main st.,?,310-392-9025,pacific new wave,?
12,citrus,6703 melrose ave.,?,?,californian,6
13,citrus,6703 melrose ave.,los angeles,213-857-0034,?,?
14,fenix,8358 sunset blvd. west,hollywood,?,?,7
15,fenix at the argyle,8358 sunset blvd.,?,?,?,?
16,granita,23725 w. malibu rd.,malibu,?,californian,?
17,granita,23725 w. malibu rd.,?,310-456-0488,californian,?
18,grill on the alley,9560 dayton way,los angeles,310/276-0615,?,?
19,grill  the,9560 dayton way,?,?,american (traditional),?
20,restaurant katsu,1972 n. hillhurst ave.,?,?,?,?
21,katsu,1972 hillhurst ave.,?,?,japanese,?
22,l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french,11
23,l'orangerie,903 n. la cienega blvd.,w. hollywood,?,?,11
24,le chardonnay,8284 melrose ave.,los angeles,?,?,?
25,le chardonnay (los angeles),8284 melrose ave.,?,?,?,?
26,locanda veneta,3rd st.,?,?,italian,?
27,locanda veneta,8638 w. third st.,?,310-274-1893,?,13
28,matsuhisa,129 n. la cienega blvd.,?,310/659-9639,asian,?
29,matsuhisa,129 n. la cienega blvd.,?,?,seafood,?
30,the palm,9001 santa monica blvd.,los angeles,?,american,15
31,palm  the (los angeles),9001 santa monica blvd.,w. hollywood,?,steakhouses,?
32,patina,5955 melrose ave.,?,?,?,?
33,patina,5955 melrose ave.,los angeles,213-467-1108,?,16
34,philippe's the original,1001 n. alameda st.,los angeles,213/628-3781,?,17
35,philippe the original,1001 n. alameda st.,?,213-628-3781,cafeterias,?
36,pinot bistro,12969 ventura blvd.,?,818/990-0500,?,18
37,pinot bistro,12969 ventura blvd.,?,?,?,18
38,rex il ristorante,617 s. olive st.,?,?,?,?
39,rex il ristorante,617 s. olive st.,los angeles,213-627-2300,?,19
40,spago,1114 horn ave.,?,?,?,?
41,spago (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian,20
42,valentino,3115 pico blvd.,?,?,?,21
43,valentino,3115 pico blvd.,?,?,italian,21
44,yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,?,?,?
45,yujean kang's,67 n. raymond ave.,?,818-585-0855,chinese,?
46,21 club,21 w. 52nd st.,?,?,?,?
47,21 club,21 w. 52nd st.,new york city,?,american (new),23
48,aquavit,13 w. 54th st.,new york,?,?,?
49,aquavit,13 w. 54th st.,new york city,212-307-7311,scandinavian,?
50,aureole,34 e. 61st st.,?,?,american,?
51,aureole,34 e. 61st st.,?,?,?,?
52,cafe lalo,201 w. 83rd st.,new york,?,?,26
53,cafe lalo,201 w. 83rd st.,new york city,?,?,?
54,cafe des artistes,1 w. 67th st.,new york,?,continental,?
55,cafe des artistes,1 w. 67th st.,?,?,?,27
56,carmine's,2450 broadway  between 90th and 91st sts.,?,212/362-2200,italian,?
57,carmine's,2450 broadway,new york city,?,italian,28
58,carnegie deli,854 7th ave.  between 54th and 55th sts.,?,212/757-2245,?,29
59,carnegie deli,854 seventh ave.,?,?,?,?
60,chanterelle,2 harrison st.  near hudson st.,new york,?,american,?
61,chanterelle,2 harrison st.,?,?,?,30
62,daniel,20 e. 76th st.,new york,212/288-0033,french,31
63,daniel,20 e. 76th st.,new york city,212-288-0033,?,?
64,dawat,210 e. 58th st.,?,?,?,32
65,dawat,210 e. 58th st.,?,?,?,32
66,felidia,243 e. 58th st.,?,?,italian,?
67,felidia,243 e. 58th st.,?,?,?,33
68,four seasons grill room,99 e. 52nd st.,?,212/754-9494,?,34
69,four seasons,99 e. 52nd st.,new york city,?,?,?
70,gotham bar & grill,12 e. 12th st.,new york,?,american,35
71,gotham bar & grill,12 e. 12th st.,new york city,?,?,35
72,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,?,american,?
73,gramercy tavern,42 e. 20th st.,?,?,?,?
74,island spice,402 w. 44th st.,?,?,?,37
75,island spice,402 w. 44th st.,new york city,?,?,?
76,jo jo,160 e. 64th st.,?,?,?,?
77,jo jo,160 e. 64th st.,new york city,?,french bistro,?
78,la caravelle,33 w. 55th st.,new york,?,?,?
79,la caravelle,33 w. 55th st.,new york city,212-586-4252,?,?
80,la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,212/688-6525,french,?
81,la cote basque,60 w. 55th st.,?,?,?,?
82,le bernardin,155 w. 51st st.,?,?,?,?
83,le bernardin,155 w. 51st st.,?,?,?,?
84,les celebrites,160 central park s,?,?,?,42
85,les celebrites,155 w. 58th st.,?,?,?,42
86,lespinasse,2 e. 55th st.,?,?,american,?
87,lespinasse (new york city),2 e. 55th st.,?,212-339-6719,?,?
88,lutece,249 e. 50th st.,?,212/752-2225,?,44
89,lutece,249 e. 50th st.,?,?,french (classic),44
90,manhattan ocean club,57 w. 58th st.,new york,212/ 371-7777,?,45
91,manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,?,?
92,march,405 e. 58th st.,new york,?,?,?
93,march,405 e. 58th st.,new york city,?,?,?
94,mesa grill,102 5th ave.  between 15th and 16th sts.,new york,?,american,?
95,mesa grill,102 fifth ave.,?,212-807-7400,?,?
96,mi cocina,57 jane st.  off hudson st.,?,?,mexican,?
97,mi cocina,57 jane st.,?,?,?,?
98,montrachet,239 w. broadway  between walker and white sts.,?,?,french,49
99,montrachet,239 w. broadway,?,?,?,?
100,oceana,55 e. 54th st.,?,?,seafood,50
101,oceana,55 e. 54th st.,new york city,?,seafood,?
102,park avenue cafe,100 e. 63rd st.,?,212/644-1900,?,51
103,park avenue cafe (new york city),100 e. 63rd st.,?,212-644-1900,american (new),51
104,petrossian,182 w. 58th st.,?,?,?,?
105,petrossian,182 w. 58th st.,?,?,russian,52
106,picholine,35 w. 64th st.,?,?,mediterranean,53
107,picholine,35 w. 64th st.,new york city,?,mediterranean,53
108,pisces,95 ave. a at 6th st.,?,?,seafood,?
109,pisces,95 ave. a,?,?,?,?
110,rainbow room,30 rockefeller plaza,new york,212/632-5000,or 212/632-5100 american,?
111,rainbow room,30 rockefeller plaza,new york city,?,?,55
112,river cafe,1 water st. at the east river,?,718/522-5200,american,?
113,river cafe,1 water st.,brooklyn,718-522-5200,american (new),?
114,san domenico,240 central park s,new york,212/265-5959,?,57
115,san domenico,240 central park s.,new york city,?,italian,?
116,second avenue deli,156 2nd ave. at 10th st.,?,?,?,58
117,second avenue deli,156 second ave.,?,212-677-0606,?,58
118,seryna,11 e. 53rd st.,?,?,?,?
119,seryna,11 e. 53rd st.,new york city,?,?,?
120,shun lee west,43 w. 65th st.,new york,?,?,60
121,shun lee palace,155 e. 55th st.,new york city,?,chinese,60
122,sign of the dove,1110 3rd ave. at 65th st.,?,212/861-8080,?,61
123,sign of the dove,1110 third ave.,?,?,american (new),61
124,smith & wollensky,201 e. 49th st.,?,?,?,?
125,smith & wollensky,797 third ave.,new york city,?,?,62
126,tavern on the green,in central park at 67th st.,?,?,?,63
127,tavern on the green,central park west,?,212-873-3200,?,63
128,uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,?,?,64
129,uncle nick's,747 ninth ave.,?,?,greek,64
130,union square cafe,21 e. 16th st.,new york,212/243-4020,american,?
131,union square cafe,21 e. 16th st.,new york city,?,?,?
132,virgil's,152 w. 44th st.,?,212/ 921-9494,american,?
133,virgil's real bbq,152 w. 44th st.,?,?,?,?
134,chin's,3200 las vegas blvd. s,las vegas,702/733-8899,?,?
135,chin's,3200 las vegas blvd. s.,las vegas,702-733-8899,?,67
136,coyote cafe,3799 las vegas blvd. s,?,?,?,?
137,coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,702-891-7349,?,68
138,le montrachet,3000 w. paradise rd.,?,702/732-5111,continental,?
139,le montrachet bistro,3000 paradise rd.,?,702-732-5651,?,?
140,palace court,3570 las vegas blvd. s,?,?,continental,?
141,palace court,3570 las vegas blvd. s.,?,?,?,70
142,second street grille,200 e. fremont st.,las vegas,?,?,?
143,second street grill,200 e. fremont st.,?,?,pacific rim,?
144,steak house,2880 las vegas blvd. s,las vegas,?,?,72
145,steak house  the,2880 las vegas blvd. s.,las vegas,?,?,?
146,tillerman,2245 e. flamingo rd.,?,?,?,?
147,tillerman  the,2245 e. flamingo rd.,las vegas,702-731-4036,?,73
148,abruzzi,2355 peachtree rd.  peachtree battle shopping center,?,?,?,?
149,abruzzi,2355 peachtree rd. ne,atlanta,?,italian,?
150,bacchanalia,3125 piedmont rd.  near peachtree rd.,?,?,?,?
151,bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian,?
152,bone's,3130 piedmont road,atlanta,?,?,76
153,bone's restaurant,3130 piedmont rd. ne,?,?,steakhouses,76
154,brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,?,404/266-1440,?,77
155,brasserie le coze,3393 peachtree rd.,atlanta,404-266-1440,?,?
156,buckhead diner,3073 piedmont road,?,404/262-3336,?,78
157,buckhead diner,3073 piedmont rd.,?,?,?,?
158,ciboulette,1529 piedmont ave.,atlanta,?,french,?
159,ciboulette restaurant,1529 piedmont ave.,?,?,?,79
160,delectables,1 margaret mitchell sq.,atlanta,?,american,80
161,delectables,1 margaret mitchell sq.,atlanta,404-681-2909,?,?
162,georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,404/352-3517,american,?
163,georgia grille,2290 peachtree rd.,?,404-352-3517,southwestern,?
164,hedgerose heights inn,490 e. paces ferry rd.,?,?,?,82
165,hedgerose heights inn  the,490 e. paces ferry rd. ne,?,?,?,?
166,heera of india,595 piedmont ave.  rio shopping mall,?,404/876-4408,asian,?
167,heera of india,595 piedmont ave.,atlanta,?,?,83
168,indigo coastal grill,1397 n. highland ave.,atlanta,?,?,84
169,indigo coastal grill,1397 n. highland ave.,?,?,eclectic,?
170,la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,?,italian,?
171,la grotta,2637 peachtree rd. ne,?,404-231-1368,italian,?
172,mary mac's tea room,224 ponce de leon ave.,?,?,southern,?
173,mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,?,86
174,nikolai's roof,255 courtland st.  at harris st.,atlanta,404/221-6362,?,87
175,nikolai's roof,255 courtland st.,atlanta,?,?,?
176,pano's and paul's,1232 w. paces ferry rd.,?,404/261-3662,international,88
177,pano's & paul's,1232 w. paces ferry rd.,atlanta,?,american (new),?
178,cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,?,?,89
179,ritz-carlton cafe (buckhead),3434 peachtree rd. ne,?,404-237-2700,american (new),89
180,dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,?,?,?
181,ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,?,?,90
182,restaurant  ritz-carlton  atlanta,181 peachtree st.,?,?,?,?
183,ritz-carlton restaurant,181 peachtree st.,?,?,french (classic),91
184,toulouse,b peachtree rd.,?,404/351-9533,?,?
185,toulouse,293-b peachtree rd.,?,?,french (new),92
186,veni vidi vici,41 14th st.,atlanta,?,?,93
187,veni vidi vici,41 14th st.,atlanta,404-875-8424,italian,93
188,alain rondelli,126 clement st.,?,415/387-0408,french,94
189,alain rondelli,126 clement st.,?,?,french (new),94
190,aqua,252 california st.,?,415/956-9662,?,?
191,aqua,252 california st.,?,?,american (new),95
192,boulevard,1 mission st.,san francisco,?,?,96
193,boulevard,1 mission st.,?,?,?,96
194,cafe claude,7 claude la.,?,?,?,97
195,cafe claude,7 claude ln.,san francisco,?,french bistro,97
196,campton place,340 stockton st.,san francisco,?,american,98
197,campton place,340 stockton st.,san francisco,?,american (new),98
198,chez michel,804 northpoint,?,415/775-7036,?,?
199,chez michel,804 north point st.,?,415-775-7036,?,?
200,fleur de lys,777 sutter st.,san francisco,415/673-7779,french,?
201,fleur de lys,777 sutter st.,san francisco,?,?,?
202,fringale,570 4th st.,?,415/543-0573,?,?
203,fringale,570 fourth st.,san francisco,415-543-0573,?,?
204,hawthorne lane,22 hawthorne st.,?,?,?,?
205,hawthorne lane,22 hawthorne st.,san francisco,415-777-9779,?,?
206,khan toke thai house,5937 geary blvd.,?,?,?,?
207,khan toke thai house,5937 geary blvd.,?,?,thai,?
208,la folie,2316 polk st.,san francisco,415/776-5577,?,104
209,la folie,2316 polk st.,san francisco,?,french (new),?
210,lulu,816 folsom st.,san francisco,?,mediterranean,?
211,lulu restaurant-bis-cafe,816 folsom st.,?,?,mediterranean,?
212,masa's,648 bush st.,?,415/989-7154,?,106
213,masa's,648 bush st.,?,?,?,106
214,mifune japan center  kintetsu building,1737 post st.,?,415/922-0337,asian,107
215,mifune,1737 post st.,?,?,?,?
216,plumpjack cafe,3201 fillmore st.,?,?,mediterranean,?
217,plumpjack cafe,3127 fillmore st.,?,?,?,?
218,postrio,545 post st.,?,?,american,?
219,postrio,545 post st.,san francisco,?,californian,?
220,ritz-carlton restaurant and dining room,600 stockton st.,san francisco,?,?,110
221,ritz-carlton dining room (san francisco),600 stockton st.,san francisco,?,?,?
222,rose pistola,532 columbus ave.,san francisco,415/399-0499,?,111
223,rose pistola,532 columbus ave.,?,?,?,?
224,adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,?,112
225,barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,?,113
226,beaurivage,26025 pacific coast hwy.,?,?,?,114
227,bistro garden,176 n. canon dr.,los angeles,?,?,?
228,border grill,4th st.,los angeles,310/451-1655,mexican,?
229,broadway deli,3rd st. promenade,santa monica,?,?,117
230,ca'brea,346 s. la brea ave.,?,?,?,?
231,ca'del sol,4100 cahuenga blvd.,los angeles,?,?,119
232,cafe pinot,700 w. fifth st.,los angeles,?,californian,?
233,california pizza kitchen,207 s. beverly dr.,?,?,?,121
234,canter's,419 n. fairfax ave.,?,?,?,?
235,cava,3rd st.,?,213/658-8898,?,?
236,cha cha cha,656 n. virgil ave.,los angeles,?,?,?
237,chan dara,310 n. larchmont blvd.,?,?,?,125
238,clearwater cafe,168 w. colorado blvd.,los angeles,?,health food,?
239,dining room,9500 wilshire blvd.,?,310/275-5200,?,127
240,dive!,10250 santa monica blvd.,?,310/788-,dive american,?
241,drago,2628 wilshire blvd.,?,?,italian,?
242,drai's,730 n. la cienega blvd.,?,310/358-8585,french,?
243,dynasty room,930 hilgard ave.,?,?,continental,?
244,eclipse,8800 melrose ave.,los angeles,?,californian,?
245,ed debevic's,134 n. la cienega,los angeles,310/659-1952,american,?
246,el cholo,1121 s. western ave.,?,?,?,134
247,gilliland's,2424 main st.,?,?,american,135
248,gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,?,?
249,hard rock cafe,8600 beverly blvd.,?,310/276-7605,?,?
250,harry's bar & american grill,2020 ave. of the stars,los angeles,?,?,138
251,il fornaio cucina italiana,301 n. beverly dr.,?,?,italian,?
252,jack sprat's grill,10668 w. pico blvd.,los angeles,310/837-6662,?,140
253,jackson's farm,439 n. beverly drive,los angeles,310/273-5578,californian,141
254,jimmy's,201 moreno dr.,?,?,?,142
255,joss,9255 sunset blvd.,?,?,?,?
256,le colonial,8783 beverly blvd.,?,?,?,?
257,le dome,8720 sunset blvd.,los angeles,?,french,?
258,louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,italian,146
259,mon kee seafood restaurant,679 n. spring st.,?,?,asian,147
260,morton's,8764 melrose ave.,los angeles,?,?,148
261,nate 'n' al's,414 n. beverly dr.,?,?,?,149
262,nicola,601 s. figueroa st.,los angeles,213/485-0927,?,?
