,name,addr,city,phone,type,class
0,arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american,?
1,arnie morton's of chicago,435 s. la cienega blvd.,?,310-246-1501,steakhouses,?
2,art's delicatessen,12224 ventura blvd.,?,818/762-1221,american,?
3,art's deli,12224 ventura blvd.,studio city,?,?,1
4,hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,californian,2
5,bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,?,2
6,cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,?
7,cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,french bistro,?
8,campanile,624 s. la brea ave.,los angeles,?,american,4
9,campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,4
10,chinois on main,2709 main st.,santa monica,310/392-9025,?,5
11,chinois on main,2709 main st.,?,310-392-9025,pacific new wave,?
12,citrus,6703 melrose ave.,?,213/857-0034,?,6
13,citrus,6703 melrose ave.,?,213-857-0034,?,6
14,fenix,8358 sunset blvd. west,hollywood,213/848-6677,american,7
15,fenix at the argyle,8358 sunset blvd.,w. hollywood,?,french (new),?
16,granita,23725 w. malibu rd.,malibu,310/456-0488,?,?
17,granita,23725 w. malibu rd.,malibu,310-456-0488,californian,8
18,grill on the alley,9560 dayton way,los angeles,310/276-0615,?,9
19,grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional),9
20,restaurant katsu,1972 n. hillhurst ave.,?,?,?,?
21,katsu,1972 hillhurst ave.,los feliz,?,?,?
22,l'orangerie,903 n. la cienega blvd.,?,310/652-9770,?,11
23,l'orangerie,903 n. la cienega blvd.,w. hollywood,310-652-9770,?,11
24,le chardonnay,8284 melrose ave.,los angeles,213/655-8880,?,12
25,le chardonnay (los angeles),8284 melrose ave.,los angeles,?,?,12
26,locanda veneta,3rd st.,los angeles,310/274-1893,italian,13
27,locanda veneta,8638 w. third st.,los angeles,310-274-1893,?,13
28,matsuhisa,129 n. la cienega blvd.,beverly hills,?,asian,?
29,matsuhisa,129 n. la cienega blvd.,?,310-659-9639,seafood,?
30,the palm,9001 santa monica blvd.,?,?,american,15
31,palm  the (los angeles),9001 santa monica blvd.,?,?,steakhouses,15
32,patina,5955 melrose ave.,los angeles,213/467-1108,californian,?
33,patina,5955 melrose ave.,los angeles,213-467-1108,californian,16
34,philippe's the original,1001 n. alameda st.,los angeles,?,american,?
