,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,Q,13,15,2,13,12,15,8,0,0,15,10,8,0,14,0,12
1,N,0,1,2,15,11,10,5,3,5,9,1,2,15,14,7,10
2,Z,14,0,13,9,4,10,3,15,0,2,1,13,9,5,15,8
3,E,2,0,13,14,5,4,2,8,0,4,12,10,6,15,13,12
4,Y,13,1,2,1,12,15,3,6,0,15,2,2,2,5,8,10
5,F,14,0,8,9,5,15,9,6,9,12,14,11,10,14,9,15
6,H,14,2,8,12,10,15,13,6,0,10,14,11,15,14,0,10
7,U,1,1,2,2,12,15,4,15,2,8,15,8,2,4,13,15
8,V,13,2,4,12,11,10,3,15,0,7,12,8,2,4,2,15
9,K,11,8,13,9,7,7,4,6,2,7,1,2,13,1,2,12
10,W,7,5,8,15,10,15,13,5,8,12,14,8,15,14,5,15
11,X,5,7,4,15,10,14,13,6,10,2,3,2,0,7,8,12
12,Y,14,5,13,15,4,3,9,6,2,15,2,1,8,14,0,12
13,K,5,5,9,14,9,3,9,6,4,10,2,8,13,7,10,0
14,G,0,5,8,15,4,14,0,9,10,10,1,2,15,5,8,4
15,J,5,5,8,12,5,10,3,5,4,2,2,13,9,7,5,8
16,X,7,12,4,8,11,15,13,9,4,10,14,8,15,14,15,12
17,S,2,6,8,13,11,14,9,6,8,0,3,1,15,14,8,8
18,Q,5,0,13,9,6,14,0,3,0,0,8,14,9,1,13,13
19,V,13,2,2,8,12,10,3,5,0,7,12,2,10,5,2,15
20,V,1,9,2,2,12,15,9,15,4,11,2,8,10,5,14,15
21,I,14,3,8,12,10,3,13,6,0,10,14,8,9,14,15,12
22,F,7,2,2,8,11,15,9,9,4,10,2,13,15,14,9,12
23,X,5,0,15,9,6,3,3,9,0,10,2,2,8,14,8,10
24,V,7,13,4,12,11,14,3,8,5,11,11,0,2,4,2,0
25,S,5,0,15,9,5,3,9,9,12,4,3,7,2,5,7,12
26,K,2,0,11,9,9,12,9,8,4,2,9,10,7,7,8,15
27,A,10,11,12,9,6,5,10,8,10,12,10,13,7,1,13,0
28,I,5,5,9,15,4,15,3,6,6,10,3,2,6,14,7,12
