,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,H,2,8,3,13,1,8,13,0,6,6,10,1,0,6,0,14
1,I,14,12,3,7,2,10,5,5,10,13,13,9,1,6,4,10
2,D,4,11,6,8,6,10,6,2,6,10,13,2,13,7,7,9
3,W,7,11,6,6,8,5,9,4,6,4,0,10,6,10,4,14
4,G,2,1,3,1,1,8,6,10,6,6,3,9,1,7,5,10
5,J,4,11,7,8,8,8,4,10,9,5,6,6,0,6,9,5
6,B,4,2,7,4,4,8,2,10,6,1,6,6,1,6,7,10
7,A,1,1,3,2,1,8,2,2,8,6,7,8,1,6,4,5
8,J,2,2,4,4,2,10,6,2,6,12,0,8,1,6,1,5
9,V,11,15,13,9,7,13,2,10,8,12,1,9,8,1,1,14
10,X,3,9,7,7,4,8,2,3,8,5,6,8,1,6,6,5
11,B,1,13,4,7,4,12,2,10,9,10,7,9,5,3,5,14
12,G,4,9,6,7,6,7,4,10,8,6,3,11,4,6,7,14
13,V,1,9,8,6,9,7,4,10,5,1,3,8,8,3,8,6
14,X,14,9,7,7,6,12,11,13,9,1,13,9,1,7,5,11
15,F,1,9,7,4,8,10,6,3,5,10,3,2,13,3,6,9
16,B,3,9,4,3,2,8,2,13,5,1,6,8,1,6,7,14
17,C,7,10,7,13,2,12,4,10,8,11,7,11,1,6,5,9
18,H,1,11,6,8,7,12,11,5,6,11,9,4,13,12,4,4
19,J,2,2,3,3,1,10,6,3,6,12,0,9,0,7,1,5
20,J,1,3,2,2,1,8,4,2,5,14,3,8,0,7,0,5
21,H,4,3,7,4,4,7,2,10,6,1,6,8,13,6,7,14
22,J,3,2,3,3,2,8,4,13,5,1,3,2,1,6,9,14
23,B,1,11,7,8,7,7,6,9,6,1,3,9,4,6,5,5
24,J,3,8,4,4,2,12,6,4,10,14,8,12,1,6,1,6
25,C,1,11,7,8,8,7,4,13,11,4,7,14,1,7,4,14
26,V,7,11,11,8,9,3,4,4,5,10,14,10,10,3,5,5
27,W,12,14,12,8,7,9,10,4,9,5,10,2,10,12,4,6
28,H,1,9,8,7,6,8,6,10,7,1,7,9,6,6,4,14
29,G,3,8,4,4,2,12,6,5,5,6,6,9,1,6,4,14
30,L,2,3,3,4,1,0,1,5,6,0,0,6,0,6,0,14
