,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,T,2,8,3,12,1,14,13,0,6,10,13,8,0,8,0,8
1,V,0,13,3,7,2,10,5,0,4,13,14,9,2,8,9,10
2,T,15,4,6,8,13,10,6,2,6,10,14,6,14,14,5,9
3,N,7,4,6,6,3,5,9,3,6,4,2,10,8,10,4,8
4,U,2,1,3,1,1,8,6,6,6,10,7,9,1,14,5,10
5,S,15,4,5,8,3,8,5,6,9,5,6,12,0,8,9,11
6,B,15,3,5,4,2,8,4,6,6,5,6,12,2,8,7,10
7,A,1,1,3,2,1,8,2,2,2,0,8,8,1,4,4,11
8,P,2,3,14,4,2,10,6,2,6,12,2,8,1,4,1,11
9,F,11,2,13,9,11,13,2,6,2,12,1,9,8,1,1,8
10,X,3,9,5,7,2,8,4,3,8,5,6,8,2,8,6,11
11,O,6,12,14,7,2,6,4,6,3,10,7,9,7,9,5,8
12,U,15,9,6,7,13,0,5,6,2,10,7,11,2,8,7,8
13,F,6,9,8,6,9,0,5,6,15,5,7,8,8,9,8,4
14,R,0,9,5,7,13,6,11,12,3,5,14,9,2,14,5,1
15,H,6,9,5,4,3,10,6,3,15,10,7,6,14,9,6,9
16,O,3,15,4,10,2,8,4,12,15,5,6,8,2,8,5,8
17,C,7,1,5,12,2,6,5,6,8,11,7,11,2,8,5,9
18,T,6,4,6,8,5,6,11,0,6,11,9,5,14,9,4,9
19,P,2,3,3,10,1,10,6,3,6,12,2,9,0,14,1,11
20,P,1,9,2,2,1,8,5,2,15,14,7,8,0,14,0,11
21,X,15,5,5,4,2,0,4,6,6,5,6,8,14,8,5,8
22,S,3,3,3,10,2,8,5,12,15,5,7,6,2,8,9,8
23,O,6,4,7,8,5,0,6,9,6,5,7,9,2,8,5,6
24,P,3,6,14,4,2,6,6,3,4,14,8,12,1,4,1,4
25,C,6,4,7,8,3,0,5,12,11,4,7,13,1,14,9,8
26,F,7,4,11,8,9,3,5,3,15,10,4,10,10,9,5,11
27,W,12,6,12,8,5,9,10,3,3,5,13,6,10,9,4,4
28,X,6,9,8,7,13,8,6,6,7,5,7,9,8,8,9,8
29,U,3,6,14,4,2,6,6,0,15,10,6,9,2,8,9,8
30,Q,2,9,3,4,1,0,1,0,6,0,0,12,0,8,0,8
31,Q,1,9,3,1,1,6,4,1,7,0,14,10,0,14,4,9
32,X,8,13,8,6,2,3,10,3,7,12,4,9,14,14,5,9
33,B,0,9,7,7,10,9,5,3,4,10,8,12,8,12,8,11
34,F,6,9,9,7,13,5,6,3,15,10,9,9,8,1,4,11
35,U,15,7,6,12,3,6,6,6,8,10,7,9,14,10,9,8
36,O,15,7,5,12,3,0,4,8,6,5,6,8,14,8,5,8
37,P,3,6,14,4,2,4,14,8,1,11,6,0,0,10,9,8
38,U,15,9,5,6,13,8,5,3,3,5,7,11,8,8,5,1
39,J,3,15,3,6,2,3,5,6,10,5,6,10,0,8,7,8
40,X,0,4,8,8,2,8,5,1,8,10,7,6,14,8,9,8
41,J,3,7,14,12,2,0,4,0,8,0,8,9,14,9,6,9
42,X,15,6,7,4,3,9,4,2,8,11,14,6,14,8,9,9
43,U,15,5,5,8,3,0,6,8,8,10,6,10,1,8,6,11
44,V,7,9,6,12,2,8,10,3,15,0,13,1,2,9,5,8
45,X,15,1,5,7,5,8,4,3,8,5,6,12,14,8,6,8
46,W,0,9,6,7,8,0,9,0,3,5,9,8,8,8,5,8
47,U,1,9,2,1,1,0,4,0,6,5,7,10,1,9,5,9
48,R,8,1,8,6,13,0,4,3,15,0,2,8,8,4,7,11
49,S,3,9,14,7,2,0,5,6,10,5,6,10,0,9,9,8
50,Y,7,4,9,8,8,9,5,6,4,5,8,8,14,9,8,7
51,Q,3,6,3,4,1,1,0,6,6,0,1,1,0,8,0,8
52,Y,2,15,14,10,2,6,10,1,7,0,4,8,1,12,4,11
53,P,15,5,6,6,5,8,10,3,4,5,7,9,14,14,7,6
54,S,15,9,5,6,2,0,5,12,7,0,2,6,2,14,9,8
55,Q,6,9,7,11,11,8,5,12,15,9,6,9,14,8,6,8
56,Q,3,5,5,4,2,9,3,3,3,0,2,9,14,4,9,8
57,T,2,6,3,4,2,6,4,10,8,10,6,12,14,8,5,8
58,C,6,1,14,12,2,6,9,6,6,11,7,6,2,9,5,9
59,Q,0,1,6,8,5,9,3,2,6,9,8,9,2,1,5,9
60,N,3,9,3,12,2,0,4,13,2,5,6,8,7,8,0,8
