,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,T,7,0,3,6,1,11,6,0,11,13,10,4,0,2,0,0
1,N,12,12,3,7,9,10,15,6,13,10,11,1,4,2,11,10
2,Z,6,11,8,8,6,10,0,15,11,10,11,13,11,8,13,9
3,Y,7,11,8,7,15,5,9,3,11,0,2,10,1,0,15,0
4,F,7,1,3,4,3,11,0,9,11,13,9,1,1,8,0,10
5,M,6,11,14,8,15,11,11,9,9,8,8,10,0,2,9,9
6,V,6,8,14,3,13,11,8,9,11,2,8,10,4,2,7,10
7,A,1,1,3,5,3,11,5,15,2,8,12,4,1,6,15,9
8,W,7,8,6,3,9,10,0,15,11,1,2,4,1,6,12,9
9,S,11,13,13,9,7,13,5,9,2,1,1,1,8,1,12,0
10,X,10,15,14,7,13,11,8,5,6,8,8,4,4,2,6,9
11,I,6,7,6,7,13,9,8,9,4,10,7,1,6,9,0,0
12,F,6,15,8,7,6,5,11,9,2,13,9,11,13,2,7,0
13,S,6,15,1,7,9,5,11,9,14,2,9,4,8,9,8,6
14,C,12,15,14,7,6,9,12,7,4,2,11,1,4,8,0,4
15,X,6,15,14,3,15,10,0,5,14,6,9,13,11,9,6,9
16,I,10,9,6,10,9,11,8,7,14,2,8,4,4,8,13,0
17,J,7,10,14,6,9,9,8,9,6,5,7,11,4,2,0,9
18,T,6,11,8,8,6,9,12,6,11,5,9,4,11,12,15,5
19,W,7,8,3,10,3,10,0,5,11,1,2,1,0,8,12,9
20,W,1,2,2,5,3,11,11,15,14,11,9,4,0,8,9,9
21,D,6,4,14,3,13,5,8,9,11,2,8,4,11,2,13,0
22,M,10,8,3,10,9,11,11,7,14,2,9,13,4,2,9,0
23,I,6,11,2,8,6,5,0,9,11,2,9,1,13,2,0,7
24,W,10,1,6,3,9,9,0,3,13,11,8,12,1,6,12,6
25,J,6,11,2,8,15,5,11,7,11,0,7,14,1,8,11,0
26,S,7,11,11,8,9,3,11,3,14,6,7,10,10,9,0,9
27,W,12,11,12,8,6,0,10,3,4,8,10,13,10,12,15,6
