,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,T,2,8,3,5,1,8,13,0,6,5,10,8,0,13,0,6
1,X,5,12,3,10,2,10,14,2,4,13,3,9,2,8,0,10
2,D,4,11,6,2,12,10,12,2,6,10,3,7,3,7,3,9
3,N,7,11,6,0,3,5,9,10,6,4,4,0,6,10,2,6
4,W,2,1,3,1,1,8,12,6,6,5,5,9,1,7,12,10
5,S,4,11,7,2,3,8,8,6,6,5,5,6,0,8,9,7
6,B,4,2,7,4,4,8,7,6,6,7,5,6,2,8,7,10
7,A,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
8,B,2,2,9,4,2,10,12,2,6,12,4,8,1,6,1,7
9,M,11,15,13,9,10,13,2,6,2,12,1,9,8,1,1,6
10,X,3,9,7,10,4,8,7,3,9,5,5,8,2,8,6,7
11,O,6,13,9,10,4,5,7,6,3,10,7,9,12,9,12,6
12,W,4,9,6,10,12,7,8,6,2,5,5,2,4,8,7,6
13,M,6,9,8,0,9,7,8,6,5,7,5,8,8,9,8,6
14,R,5,9,7,10,12,5,11,7,3,7,3,9,2,7,12,11
15,F,6,9,7,4,3,10,12,3,5,10,5,7,3,9,6,9
16,O,3,4,4,3,2,8,7,7,5,7,5,8,2,8,3,6
17,C,7,10,7,5,2,5,8,6,9,11,7,2,2,8,12,9
18,T,6,11,6,2,4,5,11,2,6,11,9,8,3,12,2,4
19,B,2,2,3,3,1,10,12,3,6,12,4,9,0,7,1,7
20,B,1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7
21,U,4,5,7,4,4,7,7,6,6,7,5,8,3,8,3,6
22,S,3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,6
23,O,6,11,7,2,4,7,12,9,6,7,5,9,4,8,12,5
24,B,3,6,4,4,2,5,12,10,4,14,8,10,1,6,1,6
25,C,6,11,7,2,3,7,8,7,11,4,7,11,1,7,0,6
26,M,7,11,11,2,9,3,8,10,5,10,11,0,10,9,12,7
27,W,12,14,12,2,4,9,10,10,3,5,10,7,10,12,2,6
28,U,6,9,8,10,12,8,12,6,5,7,7,9,6,8,0,6
29,W,3,6,4,4,2,5,12,2,5,5,5,9,2,8,0,6
30,F,2,3,3,4,1,0,1,2,6,0,0,6,0,8,0,6
31,F,1,3,3,1,1,5,4,1,5,8,3,0,0,7,2,9
32,X,8,12,8,0,4,3,10,10,5,12,11,9,3,7,3,4
33,B,5,9,7,10,10,9,8,10,4,5,8,6,6,11,8,7
34,M,6,9,9,10,12,5,12,3,5,10,9,9,8,5,2,7
35,W,4,7,6,5,3,5,12,6,9,5,5,9,3,10,0,6
36,O,4,7,7,5,3,7,7,8,6,7,5,8,3,8,3,6
37,P,3,6,9,4,2,4,14,8,1,11,5,13,0,10,0,6
38,W,4,9,7,0,12,8,14,10,3,7,5,2,6,8,12,11
39,E,3,4,3,0,2,3,8,6,10,7,5,9,0,8,7,6
40,X,5,11,8,2,4,8,8,1,9,10,5,7,3,8,0,6
41,E,3,7,9,5,4,7,7,2,9,8,8,9,3,9,6,9
42,X,4,6,7,4,3,9,7,2,9,11,3,7,3,8,0,9
