,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,G,2,6,3,0,1,5,13,0,7,11,10,13,0,0,0,15
1,I,10,1,13,14,14,10,8,10,15,6,10,0,12,0,12,10
2,A,11,12,8,7,15,10,4,5,7,10,10,5,2,5,0,9
3,O,1,12,8,15,3,7,3,12,7,7,8,10,6,14,2,15
4,K,14,9,13,1,2,5,4,9,7,11,14,0,10,5,8,10
5,B,11,12,6,7,3,5,2,9,9,1,6,1,0,0,9,13
6,B,11,14,6,13,13,5,6,9,7,5,6,1,12,0,7,10
7,A,1,9,13,2,2,5,11,5,2,13,15,13,10,10,2,13
8,J,14,14,0,13,14,10,4,5,7,0,8,13,10,10,13,13
9,L,11,0,13,9,1,13,11,9,2,0,1,0,8,1,13,15
10,X,8,9,6,14,13,5,6,0,14,1,6,13,12,0,4,13
11,T,2,7,0,14,13,1,6,9,6,10,7,0,1,1,8,15
12,K,11,9,8,14,15,0,2,9,2,11,14,6,8,0,7,15
13,L,2,9,4,15,9,0,2,9,4,5,14,13,8,1,9,12
14,M,10,9,6,14,15,1,11,3,6,5,10,0,12,5,8,2
15,S,2,9,6,13,3,10,4,0,4,10,14,5,2,1,4,9
16,T,8,4,0,12,14,5,6,3,4,5,6,13,12,0,0,15
17,P,1,3,6,0,14,1,2,9,14,14,7,6,12,0,8,9
18,G,2,12,8,7,11,1,11,10,7,14,9,10,2,9,2,5
19,J,14,14,13,12,2,10,4,0,7,0,8,0,0,5,13,13
20,J,1,11,2,2,2,5,2,5,4,2,14,13,0,5,0,13
21,Z,11,8,6,13,13,0,6,9,7,5,6,13,2,0,0,15
22,B,8,14,13,12,14,5,2,3,4,5,14,5,12,0,9,15
23,T,2,12,14,7,11,0,4,6,7,5,14,0,8,0,8,3
24,J,8,5,0,13,14,1,4,12,15,2,12,11,10,10,13,12
25,P,2,12,14,7,3,0,2,3,11,7,7,9,10,5,12,15
