speaker,utterance,frame,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,coefficient11,coefficient12
,,,,-0.207383,0.261557,-0.214562,-0.171253,-0.118167,-0.277557,,,-0.306756,,0.088728
,,,,-0.193249,0.235363,,-0.11289,,,-0.027122,,,,
1,,3.0,,-0.239664,0.258561,-0.291458,-0.041053,-0.102034,,0.019013,,,-0.227908,0.074638
,1.0,4.0,,-0.218572,,-0.228186,,-0.137624,-0.403318,-0.009643,,,-0.210105,0.098098
1,,5.0,,-0.279891,0.196583,,,,-0.363134,-0.012571,0.124298,,,0.113899
,1.0,,,-0.311977,0.195453,,,,-0.34194,-0.008826,,,,0.101838
1,,,,,0.152766,-0.223842,,,-0.363866,-0.003117,,,,0.082056
1,,,1.643283,-0.349773,,,,0.023719,,,,,-0.156417,
,1.0,9.0,,-0.382745,,-0.115949,,,-0.364642,-0.06923,,,,
1,1.0,,,-0.527367,,-0.083292,0.031747,,-0.418227,-0.081175,-0.022385,-0.33766,,
1,1.0,,1.51035,,,-0.028036,0.104782,0.092027,,,,,-0.099587,0.103529
1,,12.0,,-0.470988,,0.019166,0.165104,0.09589,-0.416692,-0.159574,,-0.326813,-0.073882,0.141055
1,,,1.299045,-0.495095,,,,,-0.374873,,,,,0.130722
1,1.0,14.0,,-0.50008,-0.002802,0.095565,0.226836,,,-0.233165,-0.064838,,-0.075885,0.091973
1,,15.0,1.181849,,,,,,,,,-0.236504,,0.010373
,1.0,,1.16163,-0.481933,-0.052291,,,,-0.439398,-0.153779,,,-0.068804,-0.041047
,,,,,0.065827,,0.353618,,-0.483034,-0.06115,,-0.220477,,
,,,,,0.162907,0.186745,,,,-0.036123,,-0.204974,,
1,,19.0,,-0.612291,,,,-0.135327,-0.511918,,,-0.212982,,
1,,,1.261441,-0.63835,,0.263384,,,-0.510697,0.020526,-0.217709,,-0.033314,-0.175986
,,1.0,,0.067256,,,,-0.411125,,0.113175,-0.05823,,0.093058,0.099247
,,,,,0.631579,,-0.119216,,-0.078036,0.178121,,,0.093031,0.099183
1,2.0,,,,,-0.347913,-0.053463,-0.421753,-0.028479,0.145073,-0.159488,,0.019092,
1,2.0,,1.43655,-0.206565,0.641775,-0.391073,,-0.227374,,0.138611,,-0.182744,-0.021516,0.065927
1,,5.0,,-0.30888,,-0.283639,,-0.267168,-0.03463,,,-0.220531,-0.061329,
,,,,-0.413803,,,,-0.23451,,,,,-0.038403,
,,7.0,1.731416,,0.624905,-0.241347,-0.158116,-0.18676,,,-0.203755,,,
,2.0,8.0,,,0.366389,,-0.018003,,0.069039,,,-0.13658,,0.052947
1,,,1.560145,-0.309991,,0.015034,,-0.217401,,0.00926,,-0.229586,-0.177976,0.038727
,,,,,0.261975,,0.076403,,,,-0.232117,,-0.192819,0.089435
,2.0,,,-0.471932,0.091516,0.061063,,,,-0.034998,,-0.221234,,0.072476
,2.0,,,-0.471778,,0.048809,,-0.188473,,0.001121,-0.280562,,-0.1194,0.011129
,2.0,13.0,,-0.507225,0.278858,-0.058031,,,-0.104452,,-0.320138,,,0.049713
,2.0,,1.541301,,0.363522,-0.087405,0.251401,,,-0.164929,-0.350866,-0.086459,-0.096591,0.082467
1,,,,-0.596831,0.39001,-0.012749,0.198339,,,-0.209978,,,,0.086401
1,2.0,,1.674087,-0.659717,,,0.221404,-0.180924,,-0.235745,-0.321056,-0.098248,,
,,,1.681482,-0.614351,,0.043964,0.279883,,-0.012821,-0.211565,-0.302557,-0.136598,-0.173016,
,2.0,18.0,1.647909,,,-0.02978,0.314603,-0.15943,,-0.127571,-0.380802,,,0.154534
1,,19.0,,,,0.003514,0.288,-0.130158,,-0.119485,-0.359916,-0.09191,-0.135773,
,,20.0,1.61242,-0.60699,,,0.24054,-0.08176,-0.047219,-0.173372,-0.269674,,,0.075934
,2.0,,,,0.437124,,,-0.006222,,,-0.14869,,-0.245672,0.131027
,,,,,0.443297,,0.323836,,-0.170755,,-0.098999,,,0.127282
,,,,-0.623031,0.527393,,0.268061,,,-0.396988,,-0.04565,-0.18457,
1,2.0,24.0,1.370862,-0.621346,,,0.250333,,,-0.353358,,,,0.119152
1,,,1.307289,-0.600573,0.620979,,,,,-0.305328,-0.014519,-0.167528,,0.088565
1,2.0,,1.334578,-0.542157,,,,-0.263825,-0.251754,,-0.007968,-0.188285,-0.13861,0.054478
1,3.0,,1.462484,,,-0.374302,,-0.400335,,,0.053888,,,0.193254
1,3.0,,1.309815,,0.503046,-0.327562,-0.356789,-0.445498,-0.060423,,0.041605,-0.231087,,0.202386
1,3.0,,1.418207,0.015721,0.589994,-0.310586,,,,,,-0.224317,0.175298,
,,4.0,1.585858,-0.148691,0.696888,,-0.369871,-0.325267,-0.192924,0.12444,,-0.20858,0.129806,
1,3.0,,,,,-0.35244,-0.286346,-0.303667,,0.104599,0.040954,-0.219516,,0.187322
,3.0,6.0,,,,-0.131567,,,,0.043862,,,-0.002587,0.190969
,3.0,7.0,1.612464,,,,-0.22267,-0.244786,,,0.049756,,,0.207889
,3.0,,,,0.417834,-0.246235,,-0.197558,-0.173189,,-0.015199,-0.344519,-0.048362,0.248583
1,,9.0,,-0.580881,0.431328,-0.259862,-0.209985,,,,,-0.451099,-0.077406,
1,,10.0,,,0.488411,-0.281048,,,,0.124482,-0.054817,,-0.132886,0.172822
,3.0,11.0,1.990155,-0.935262,,-0.153762,,0.035063,-0.258664,,,,,0.197983
1,,,2.08031,-1.042286,0.525433,-0.104984,,,,,-0.020054,-0.478964,-0.093402,0.230359
1,,,1.66936,-0.679862,0.256937,,0.122822,,-0.408978,,,,-0.059613,0.247765
1,,14.0,1.882291,-0.885675,0.428198,0.002923,,0.115176,-0.406025,-0.163888,,,,
,,15.0,,-0.70789,0.336811,0.044792,0.34695,0.06619,-0.332076,-0.116821,-0.226604,,,
1,,,1.26019,-0.485673,0.234296,0.141639,,0.124684,-0.332177,,-0.174656,-0.385416,,0.184454
1,3.0,17.0,,-0.546423,,0.152304,,0.194313,-0.420622,-0.18505,,-0.32044,,0.099264
,3.0,18.0,,,,0.242781,,,-0.452417,,,-0.295192,,0.06499
1,,,1.572425,-0.867819,0.452938,,,0.161462,-0.416084,-0.171377,,-0.303018,0.042348,0.079769
,3.0,20.0,1.565221,-0.811536,0.483607,0.264737,0.340265,0.173855,,,,-0.289787,,
,3.0,,1.671099,,0.587177,0.225236,,0.147173,-0.431996,,-0.106379,,0.065611,
1,,,1.633764,,,,0.371818,,,-0.122981,-0.152855,-0.268283,0.095911,
,,1.0,,0.078806,0.237706,-0.010878,-0.393053,,0.173073,-0.012922,,0.028707,0.07482,0.146297
1,,2.0,1.217979,-0.043693,,-0.055125,-0.399601,,,,,0.03897,,0.164537
1,,,,-0.107083,,-0.151549,-0.409837,,0.176855,0.024257,-0.085188,,-0.007566,
,,4.0,1.457268,,0.427336,-0.127365,,,,0.039318,,-0.053426,-0.064975,
,,,1.534783,,,-0.008643,,,,0.032256,-0.135727,-0.158885,-0.070709,
,4.0,,1.505516,,0.317178,,,,,0.006522,,-0.253737,-0.153013,0.116918
,,,1.552154,-0.535885,,-0.182647,,,,0.030157,-0.077588,,,
1,,,1.497978,-0.67432,,,,-0.168635,,,-0.082042,,,
,,,1.543273,-0.853992,0.582981,-0.157712,-0.365579,-0.095108,,0.035963,,,-0.185253,0.16828
,,,,-0.883008,,,,,,,-0.043002,-0.406532,-0.161626,
,,,,-0.844833,,,-0.308894,,,,,-0.340455,,
1,,12.0,1.63463,-0.84696,,,,0.029938,-0.301001,-0.122305,0.014359,,,
,4.0,,1.65847,,0.595335,0.013667,-0.056339,,-0.331172,,-0.097225,-0.266548,-0.025202,
,4.0,,1.653296,,0.733377,,,0.031168,-0.372246,,,-0.25823,,
1,4.0,15.0,,,0.869738,-0.023985,,0.08961,-0.418634,-0.165928,-0.109833,,,
,4.0,16.0,,,,,0.018808,,-0.410164,-0.134829,,-0.244507,0.090128,
1,4.0,17.0,1.421861,-1.056354,0.874371,,,-0.01579,,-0.098065,-0.207248,-0.267319,0.119465,-0.098507
,,,,,,,,,,-0.100748,,-0.27706,,-0.090556
1,4.0,19.0,,,,,,,,,,-0.281225,0.130948,
,4.0,,1.335523,,,,,-0.074302,-0.395826,,,,,-0.098007
,5.0,1.0,,-0.251224,,,,,-0.21593,,,-0.115333,,0.156787
,5.0,,1.685376,,,,,,,,,,-0.036998,
,5.0,3.0,,-0.238987,0.295073,-0.447638,-0.200163,,-0.189373,,,,,
1,5.0,,,,,,,-0.463027,-0.258962,0.179394,0.077287,-0.15946,-0.060428,0.203395
1,5.0,5.0,1.602405,-0.359135,0.370285,-0.490972,,,,,0.008094,,-0.121264,0.271936
,5.0,6.0,1.616784,,0.264209,,-0.06592,,-0.100301,0.046133,,-0.176394,,
,5.0,7.0,,-0.32432,,-0.169021,,,,,,,-0.088907,
