,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,Y,2,8,11,5,1,8,13,7,10,6,10,8,11,8,0,8
1,K,5,3,11,0,1,7,12,5,2,13,3,15,2,5,4,10
2,D,4,1,1,4,6,7,6,2,10,7,4,7,3,7,3,9
3,H,7,1,6,13,5,5,9,4,10,4,6,10,1,10,0,11
4,G,2,1,3,1,1,0,6,10,10,6,5,9,10,7,5,2
5,S,4,11,10,8,3,0,1,6,9,5,6,6,0,5,11,9
6,W,4,8,5,4,10,0,11,6,10,12,3,6,0,8,7,10
7,C,12,1,3,2,1,8,2,2,2,8,2,8,1,11,0,7
8,J,2,2,4,12,1,10,6,2,6,12,6,8,1,6,3,7
9,M,11,2,0,9,13,15,2,10,2,12,8,15,8,3,3,11
10,X,8,9,5,7,10,8,11,3,4,5,6,8,2,8,6,7
11,S,9,13,4,0,4,6,7,10,3,7,7,9,12,9,13,8
12,G,4,7,6,0,15,5,1,10,13,6,5,3,4,5,7,8
13,M,6,9,8,6,9,7,8,6,5,12,5,8,8,14,14,6
14,R,5,9,5,7,15,3,11,7,3,12,3,9,0,7,5,11
15,F,9,7,10,4,3,10,6,5,5,10,5,7,3,9,6,7
16,S,3,13,4,3,1,0,11,7,5,12,6,2,2,8,3,11
17,X,5,10,10,5,2,6,1,10,8,3,7,3,2,8,5,7
18,T,6,11,1,8,5,6,2,5,6,3,9,4,3,12,2,10
19,R,2,2,3,14,6,10,6,3,6,12,6,9,0,7,3,9
20,J,1,14,8,2,6,8,1,2,5,5,5,8,0,15,0,7
21,H,4,5,10,12,4,5,7,6,6,7,3,8,14,5,3,8
22,S,3,2,3,3,2,8,1,7,5,7,5,7,0,8,11,8
23,S,6,1,7,4,4,5,3,9,6,7,5,9,4,5,13,5
24,J,8,6,4,12,1,6,6,4,4,14,8,11,1,6,1,6
25,X,6,1,7,8,3,5,1,7,11,4,14,14,1,15,8,11
26,M,5,1,7,8,9,3,1,4,5,10,12,1,10,9,5,7
27,W,12,14,6,4,5,9,15,6,3,5,9,7,10,12,0,6
28,H,9,9,4,0,15,8,6,10,14,12,14,15,6,8,8,8
29,O,3,6,4,4,1,3,3,3,5,6,6,15,2,8,4,8
30,L,2,3,11,4,1,0,8,3,6,0,0,8,0,8,0,8
31,V,1,3,3,1,1,6,4,1,7,9,4,10,0,7,0,7
32,U,8,3,8,6,4,10,10,6,14,12,12,9,14,7,3,4
33,W,10,9,12,0,10,9,8,4,4,6,0,8,1,4,8,7
34,M,9,9,9,0,15,5,3,3,5,7,13,15,8,5,2,9
35,O,7,7,6,15,5,3,6,6,4,6,5,9,3,10,4,8
36,O,4,6,10,5,5,7,11,8,10,7,6,8,14,5,3,8
37,P,3,6,14,4,2,6,14,8,1,11,3,9,11,10,8,8
38,O,4,9,10,6,6,0,5,6,3,7,5,3,1,8,13,11
39,E,8,4,11,6,1,3,8,6,15,7,3,15,11,5,7,8
40,X,5,11,8,4,4,8,1,1,4,10,5,7,14,8,4,11
41,E,3,6,14,5,10,7,11,5,8,9,8,9,14,14,10,7
42,X,4,6,12,12,3,9,7,2,4,11,3,7,3,5,4,9
43,G,4,5,5,8,5,5,3,11,8,6,3,10,10,8,6,11
44,V,7,7,1,5,1,0,10,6,5,9,10,13,4,12,3,11
45,X,4,10,10,0,5,8,7,3,4,15,6,8,14,8,6,11
46,J,10,7,6,7,8,5,9,5,8,7,13,8,6,5,5,8
