,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,U,14,4,15,13,1,11,8,11,15,1,13,0,15,6,15,2
1,E,5,7,15,3,8,15,13,15,0,4,14,5,12,6,0,4
2,C,11,2,14,10,9,15,4,1,15,0,14,6,7,11,7,15
3,Q,3,2,14,0,10,6,10,6,15,13,8,4,5,15,8,8
4,I,14,9,15,8,5,11,4,10,15,1,4,5,0,11,12,4
5,F,11,2,13,10,10,11,0,10,10,12,1,12,15,6,9,8
6,O,11,10,13,11,3,11,15,10,15,2,1,12,12,6,13,4
7,B,1,9,15,6,5,11,5,1,12,15,15,0,0,8,8,8
8,P,14,10,3,11,8,15,4,1,15,14,8,0,0,8,1,8
9,N,0,1,10,15,6,14,5,10,12,14,9,5,1,13,1,2
10,Z,12,14,13,3,3,11,15,2,7,12,1,0,12,6,11,8
11,R,6,0,3,3,3,5,15,10,9,0,11,5,10,4,12,2
12,I,11,14,14,3,9,3,0,10,12,1,4,14,8,6,13,2
13,N,6,14,2,0,13,3,0,10,11,2,4,0,1,4,3,5
14,A,5,14,13,3,9,5,14,7,9,2,14,5,12,11,12,3
15,X,6,14,13,11,10,15,4,2,11,0,4,6,7,4,11,15
16,R,12,12,3,1,8,11,15,7,11,2,1,0,12,6,7,2
17,D,3,11,13,13,8,5,0,10,7,7,11,14,12,6,12,15
18,U,6,2,14,10,4,6,14,15,15,7,0,9,7,2,8,11
19,P,14,10,15,1,5,15,4,2,15,14,8,5,15,11,1,8
20,P,1,5,4,6,5,11,0,1,11,6,4,0,15,11,15,8
21,M,11,13,13,11,3,3,15,10,15,2,1,0,7,6,7,2
22,F,12,10,15,1,8,11,0,7,11,2,4,6,12,6,9,2
23,R,6,2,1,10,4,3,4,5,15,2,4,5,8,6,12,7
24,P,12,8,3,11,8,5,4,6,0,6,6,8,0,8,1,5
25,D,6,2,1,10,10,3,0,7,1,13,11,15,0,11,0,2
26,N,3,2,0,10,9,10,0,6,11,0,3,4,13,4,12,8
