,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,T,5,14,5,5,8,1,15,0,1,11,12,11,9,8,13,11
1,I,14,12,5,9,2,10,3,4,11,13,0,6,5,8,15,6
2,P,2,3,6,3,9,11,5,6,6,0,0,13,7,3,5,9
3,S,6,3,8,1,2,6,9,4,1,4,11,4,12,2,12,11
4,G,2,4,5,1,8,1,5,9,1,6,9,6,1,7,5,6
5,Z,4,11,12,3,2,1,12,6,9,9,6,14,9,8,1,3
6,O,4,2,12,4,4,1,6,9,1,4,6,6,5,8,7,6
7,A,12,1,3,2,1,1,1,2,2,12,13,8,3,6,12,3
8,J,2,2,10,10,4,11,5,6,1,12,11,11,3,6,4,3
9,T,11,15,13,5,15,13,1,9,14,2,1,6,2,1,1,8
10,C,7,10,12,9,0,8,6,3,8,9,5,11,5,8,6,3
11,H,1,7,10,9,0,3,7,9,5,0,7,9,10,9,0,11
12,G,2,9,8,7,9,7,12,6,14,6,9,11,15,8,10,8
13,T,1,9,13,1,12,7,12,9,5,4,9,11,2,14,11,6
14,K,14,10,12,9,9,3,13,0,5,7,0,9,2,7,0,11
15,F,6,10,12,10,2,10,5,3,2,0,9,13,3,9,9,14
16,O,7,0,10,3,4,1,6,7,2,7,5,8,2,8,5,11
17,C,6,10,12,5,4,3,8,6,15,1,7,8,5,8,0,9
18,D,1,3,6,8,14,3,11,4,1,11,14,4,3,0,12,4
19,E,2,2,5,2,8,11,5,11,6,12,4,6,9,3,1,3
20,E,12,3,3,2,1,1,12,6,2,6,9,8,9,3,13,3
21,H,2,2,12,10,0,7,6,9,6,4,5,11,3,8,3,11
22,Z,7,8,5,2,4,1,12,7,2,4,5,13,5,8,9,8
23,O,6,3,11,8,14,7,5,9,1,4,9,9,4,8,5,1
24,E,3,6,4,4,2,6,6,7,11,6,2,3,1,10,4,0
25,Q,1,3,7,3,3,7,8,0,3,8,7,2,3,7,15,8
26,T,6,11,0,3,12,3,8,7,2,10,6,4,1,9,5,3
27,N,10,11,12,3,14,9,2,7,5,9,10,7,10,0,12,0
28,H,1,9,8,9,6,1,6,6,12,7,7,6,6,8,4,11
29,G,7,1,10,10,4,3,6,5,2,11,5,6,5,8,15,8
30,F,2,15,5,4,1,0,1,4,1,0,3,6,9,8,13,8
31,L,12,15,5,11,8,3,4,12,12,8,0,4,9,3,12,14
32,X,13,12,13,1,0,12,2,4,7,12,6,6,3,3,5,8
33,O,14,10,11,9,10,13,12,7,4,6,2,6,6,9,11,3
34,M,6,10,15,7,9,5,6,11,2,0,9,6,2,7,12,3
35,G,4,7,6,12,3,3,5,6,15,11,9,6,7,2,15,11
36,O,2,12,12,12,3,7,7,8,1,7,5,11,3,8,5,8
37,W,3,1,4,10,4,2,14,8,0,11,5,9,0,2,15,8
38,G,2,9,5,1,6,1,5,7,3,4,5,8,12,8,0,11
39,E,3,0,5,1,4,3,12,9,10,4,5,10,0,8,10,11
40,C,14,3,13,3,0,1,12,12,15,0,9,13,7,8,15,11
41,M,7,12,10,12,0,7,7,5,8,12,8,6,7,14,9,9
42,X,2,6,11,10,2,13,6,2,15,1,3,13,7,8,15,14
43,G,4,2,12,8,2,7,5,8,8,11,5,4,3,8,9,4
44,U,6,9,8,12,4,8,2,7,2,12,12,5,15,0,5,11
45,C,2,10,12,9,14,1,6,11,15,9,6,6,7,8,6,8
46,N,14,10,8,9,6,7,10,5,5,4,9,11,12,8,3,11
47,G,1,15,2,1,8,7,6,4,1,4,9,10,3,14,5,14
48,K,13,6,8,1,9,7,6,11,2,8,11,11,6,10,10,7
49,Z,3,10,4,9,4,7,3,9,4,9,5,4,0,9,1,11
50,B,6,3,15,8,6,9,3,9,4,7,2,11,3,9,11,2
51,L,7,1,5,10,8,8,11,9,1,7,4,7,9,8,13,11
52,B,5,4,4,3,4,6,2,12,7,12,6,8,3,9,2,3
53,E,4,5,8,1,5,8,2,7,11,4,7,6,3,3,7,1
54,S,2,10,12,1,4,7,12,7,12,8,11,7,2,7,1,11
55,V,1,10,7,4,15,1,5,7,5,3,6,6,7,8,6,11
56,V,7,2,12,4,0,9,3,4,5,12,4,6,7,10,15,8
57,D,5,6,3,10,2,3,6,14,15,6,5,14,7,8,5,11
58,C,1,10,10,12,4,3,9,9,1,1,7,13,5,9,0,14
59,F,14,6,8,8,14,9,3,2,6,3,13,9,5,7,5,14
60,S,7,15,5,12,4,7,7,1,14,5,5,11,5,8,13,11
61,Q,2,15,5,1,8,5,10,4,1,1,14,8,1,14,12,11
62,E,1,9,10,10,4,7,7,7,12,0,5,4,1,9,7,9
63,C,2,10,12,6,14,7,5,11,2,6,5,9,5,8,11,11
64,A,7,15,10,1,4,1,7,5,6,7,5,11,10,8,5,3
65,F,5,15,3,10,8,9,4,4,6,7,3,14,9,8,0,11
66,A,3,5,12,10,3,7,8,11,6,10,5,8,7,8,3,11
67,E,5,15,3,2,4,7,7,4,12,7,5,8,5,8,5,6
68,B,5,6,8,9,6,13,6,9,11,4,8,13,6,9,11,2
69,A,8,13,8,1,0,9,8,7,2,12,11,7,12,9,0,9
70,Q,5,10,5,12,4,13,5,5,1,10,5,13,15,8,1,14
71,Q,3,14,12,9,2,1,6,10,1,11,6,6,3,8,0,14
72,V,2,1,8,4,5,1,3,9,4,11,7,4,15,3,0,9
73,J,5,14,3,1,1,13,9,2,11,13,3,8,1,10,13,8
74,J,4,12,5,5,4,8,10,1,12,14,9,14,9,8,4,8
75,D,4,5,5,10,3,7,7,0,12,4,5,5,2,8,5,3
76,K,2,1,4,4,3,3,6,5,5,11,9,13,7,3,0,8
77,T,2,2,11,10,4,3,5,11,11,3,9,4,4,5,2,11
78,L,7,12,12,12,3,15,1,3,2,0,2,6,5,10,5,11
79,S,7,2,10,4,4,7,12,5,4,4,7,13,12,9,2,1
80,T,1,6,15,7,6,12,6,4,2,0,11,4,7,14,5,3
81,W,13,11,7,3,0,6,2,9,5,2,9,4,4,10,4,11
82,C,1,13,12,9,0,1,3,7,5,9,14,11,15,9,11,10
83,W,6,6,8,3,15,1,3,7,2,7,5,14,7,14,11,14
84,S,2,15,5,11,8,5,9,11,5,0,2,11,15,8,13,11
85,N,3,0,10,2,4,13,10,11,14,5,9,13,12,9,0,8
86,U,7,8,12,1,6,1,7,4,0,12,7,11,10,10,15,3
87,U,1,9,9,3,10,1,7,4,2,7,5,11,2,14,1,2
88,T,1,7,15,12,15,4,7,11,2,0,12,8,8,10,5,3
89,M,4,14,5,6,4,7,6,7,8,11,2,6,5,14,0,3
90,S,1,11,8,3,12,6,8,11,11,8,8,6,4,9,0,8
91,Y,8,6,13,9,0,12,10,11,12,1,12,14,3,11,3,1
92,N,4,14,12,1,2,3,12,4,1,4,2,11,8,14,0,8
93,O,1,12,13,1,9,3,5,4,1,12,5,8,7,10,0,0
94,S,2,0,10,1,4,7,6,8,14,5,6,11,12,8,13,11
