,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,T,2,8,3,5,1,8,13,0,13,6,3,8,0,8,0,10
1,I,5,12,3,7,2,10,10,5,4,13,3,9,2,0,4,15
2,D,4,11,6,8,6,10,6,2,6,10,3,7,4,7,3,9
3,B,7,11,6,6,3,5,12,4,6,4,4,13,6,10,2,8
4,G,2,14,7,1,1,8,6,6,6,3,5,9,1,7,5,10
5,S,9,11,5,4,3,8,8,6,9,5,6,6,0,0,6,7
6,B,4,2,5,12,4,8,11,6,6,2,6,6,2,8,7,15
7,A,1,1,3,2,1,8,2,15,2,8,9,7,1,6,2,7
8,Z,2,5,14,4,2,10,6,2,13,12,4,8,1,6,7,2
9,T,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8
10,X,3,9,5,7,4,8,7,3,8,4,6,8,2,0,15,2
11,H,10,13,4,7,4,6,7,6,3,12,7,9,5,9,5,8
12,G,4,11,6,7,14,7,3,6,2,3,5,11,4,8,7,8
13,T,6,9,8,6,9,6,8,6,5,2,5,8,1,9,1,6
14,R,0,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11
15,C,6,9,5,4,3,10,6,3,5,12,5,7,4,9,6,12
16,O,14,4,4,3,2,8,7,12,5,7,6,8,2,8,3,8
17,C,7,10,5,5,9,6,3,6,8,5,7,1,2,0,5,9
18,T,6,11,6,8,5,6,11,1,6,11,14,4,3,12,2,4
19,Z,2,2,3,3,1,10,6,0,6,12,4,9,0,7,1,7
20,J,6,3,2,2,1,8,8,15,5,14,5,8,0,7,0,2
21,H,4,5,5,4,4,7,7,6,6,7,6,8,3,8,11,8
22,S,3,2,3,3,2,8,8,7,5,7,5,7,2,0,6,8
23,O,6,11,1,8,5,6,4,9,6,7,5,9,4,8,5,5
24,J,3,6,4,4,2,6,6,4,4,14,8,12,1,11,1,6
25,M,6,11,7,8,12,7,3,7,2,4,7,9,1,7,4,8
26,T,13,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7
27,W,12,14,12,4,0,10,10,4,14,5,10,7,10,12,2,6
28,H,10,11,4,7,6,8,6,6,8,7,7,12,6,8,4,8
29,G,3,6,4,4,2,6,6,1,5,6,6,9,2,8,4,8
30,L,1,3,3,4,1,0,1,5,6,0,11,6,0,8,0,8
31,L,1,1,3,1,1,14,4,5,7,8,3,10,0,7,2,9
32,X,8,7,8,6,4,7,10,4,8,12,11,9,4,7,3,4
33,B,5,9,7,2,10,9,8,4,4,6,8,6,6,11,8,7
34,M,10,11,9,7,6,5,4,3,5,10,9,9,8,5,2,7
35,G,4,15,6,3,3,6,6,6,8,6,5,12,3,10,4,8
36,O,4,7,5,5,3,7,7,8,13,7,6,8,3,8,3,8
37,A,3,6,4,4,2,4,1,8,0,11,6,3,0,10,4,8
38,G,4,9,5,6,6,8,5,4,3,2,5,11,3,8,5,11
39,E,3,10,3,0,9,3,8,6,9,2,6,15,0,8,7,8
40,F,0,11,8,8,4,8,8,1,8,10,5,7,3,0,4,8
41,E,3,7,14,3,4,6,7,5,8,8,15,12,3,9,6,9
42,X,9,6,7,4,3,10,7,2,8,11,3,2,3,8,4,12
43,G,4,5,5,8,3,7,4,8,3,6,6,10,11,8,6,11
44,V,13,9,6,3,2,8,10,4,5,8,10,4,4,12,3,8
45,F,9,10,5,7,0,8,7,3,3,5,6,0,4,8,6,10
46,W,0,9,6,2,8,7,9,1,3,7,14,8,6,8,3,10
47,G,1,3,2,1,1,7,7,1,13,2,5,10,11,9,11,12
48,R,8,4,4,6,6,7,11,3,5,8,4,8,6,6,7,7
49,S,3,9,4,7,2,7,5,6,10,5,6,13,0,9,9,8
50,Y,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,8
51,L,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8
52,Y,1,4,14,13,2,6,10,1,7,14,11,8,1,11,2,7
53,J,4,5,6,6,5,8,10,4,4,7,12,9,3,7,7,5
54,W,4,9,5,6,4,7,3,7,7,8,4,2,12,1,6,8
55,Q,6,11,7,11,7,8,5,12,5,10,6,9,3,8,6,8
56,Q,3,12,5,4,4,10,2,4,3,8,4,9,3,11,4,8
57,D,1,0,3,4,2,6,7,10,8,3,6,6,3,0,3,8
58,C,6,4,4,5,2,14,12,6,13,11,7,7,12,9,5,9
59,L,5,10,6,8,5,9,3,15,6,9,9,9,2,5,3,9
60,N,3,1,7,5,2,7,11,13,2,5,6,8,13,8,0,8
61,C,2,3,3,1,1,5,9,4,6,11,9,11,11,9,14,8
62,E,6,9,4,4,2,7,7,4,7,10,6,10,1,9,0,12
63,F,9,9,5,6,0,7,6,3,5,6,6,9,2,8,1,8
64,I,3,3,14,1,2,8,11,5,6,7,6,8,5,8,3,2
65,L,1,3,2,4,1,13,1,5,6,13,0,6,0,8,8,8
66,I,3,5,5,4,3,6,8,3,13,10,6,8,3,8,3,8
67,E,2,3,3,9,2,7,7,5,7,7,6,8,2,8,5,10
68,Y,5,4,6,2,6,9,6,9,4,7,8,2,6,9,8,3
69,H,8,12,4,6,4,9,8,4,12,8,4,5,6,9,5,12
70,G,5,4,5,5,4,10,6,5,13,10,6,2,4,8,9,9
71,Q,14,8,5,7,3,8,7,9,6,6,6,9,3,8,5,12
72,G,4,6,6,4,0,8,5,9,4,6,7,10,4,1,5,9
73,J,2,8,7,6,1,13,3,8,4,13,3,11,1,11,0,8
74,J,4,15,5,5,9,8,9,1,7,14,5,0,0,8,7,8
75,D,4,5,5,4,3,6,7,7,8,7,6,4,12,8,3,7
76,R,2,6,4,4,3,6,7,5,5,6,8,7,3,7,5,8
77,M,9,5,7,4,4,14,4,3,4,10,9,10,7,5,2,8
