,usual,proper,complete,1,convenient,convenient.1,nonprob,recommended,recommend
0,great_pret,very_crit,complete,3,critical,convenient,slightly_prob,not_recom,not_recom
1,great_pret,very_crit,complete,3,critical,convenient,slightly_prob,recommended,not_recom
2,usual,very_crit,complete,1,critical,convenient,nonprob,priority,recommend
3,great_pret,proper,complete,3,critical,convenient,nonprob,not_recom,priority
4,great_pret,very_crit,complete,3,critical,convenient,nonprob,not_recom,very_recom
5,usual,very_crit,complete,3,convenient,convenient,problematic,priority,not_recom
6,usual,very_crit,complete,3,critical,convenient,problematic,priority,not_recom
7,great_pret,proper,complete,1,critical,convenient,problematic,not_recom,very_recom
8,great_pret,very_crit,complete,1,convenient,inconv,nonprob,recommended,priority
9,usual,very_crit,complete,1,critical,inconv,nonprob,not_recom,not_recom
10,great_pret,very_crit,complete,3,critical,inconv,slightly_prob,recommended,very_recom
11,great_pret,very_crit,complete,3,critical,inconv,nonprob,priority,priority
12,usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recom
13,great_pret,very_crit,complete,3,convenient,inconv,nonprob,recommended,very_recom
14,usual,proper,complete,3,convenient,inconv,problematic,recommended,priority
15,great_pret,proper,complete,3,convenient,inconv,problematic,not_recom,not_recom
16,great_pret,very_crit,complete,3,critical,inconv,problematic,recommended,very_recom
17,usual,very_crit,complete,3,less_conv,convenient,slightly_prob,priority,priority
18,great_pret,proper,complete,1,less_conv,convenient,nonprob,not_recom,priority
19,usual,proper,complete,3,less_conv,convenient,nonprob,recommended,not_recom
20,great_pret,proper,complete,3,less_conv,convenient,nonprob,priority,priority
21,great_pret,very_crit,complete,3,less_conv,convenient,nonprob,not_recom,not_recom
22,great_pret,proper,complete,1,less_conv,convenient,nonprob,recommended,not_recom
23,great_pret,very_crit,complete,1,less_conv,convenient,problematic,priority,not_recom
24,usual,proper,complete,3,less_conv,convenient,problematic,priority,priority
25,usual,proper,complete,1,less_conv,convenient,problematic,recommended,very_recom
26,great_pret,very_crit,complete,1,less_conv,inconv,slightly_prob,recommended,priority
27,great_pret,proper,complete,3,less_conv,inconv,slightly_prob,priority,not_recom
28,usual,very_crit,complete,3,less_conv,inconv,nonprob,recommended,very_recom
29,great_pret,very_crit,complete,1,less_conv,inconv,nonprob,priority,very_recom
30,great_pret,very_crit,complete,3,less_conv,inconv,nonprob,not_recom,priority
31,great_pret,very_crit,complete,3,less_conv,inconv,slightly_prob,recommended,not_recom
32,usual,very_crit,complete,3,less_conv,inconv,problematic,priority,not_recom
