RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
31200,85475,119370,117960,123472,117905,149571,290919,124002,0
36511,77947,117961,118343,123125,118536,118466,308574,123068,0
78192,4857,119402,118220,117884,135809,267952,19721,117880,1
36135,6859,119370,118343,122722,279482,240983,290919,118982,1
39472,5905,119920,117930,118481,119323,132108,19793,124924,0
32114,134864,117951,118124,118008,120702,270977,19721,118570,1
25993,52734,119370,117933,123476,159116,301534,121620,118982,1
19666,4209,119370,118080,123719,126820,259703,118363,126822,0
31246,12221,117961,118413,120539,121372,153958,118704,128231,1
80641,56683,118079,130600,117878,135809,205243,19721,121145,1
80101,4953,117961,118413,118692,118784,149571,19793,118786,1
15030,94005,118000,119063,118027,120632,138522,120518,119096,0
45690,6822,117929,119921,122636,120773,123148,118960,143185,0
4675,24267,91261,118026,253965,119962,255249,118474,117987,0
16486,18181,117961,118343,118514,279482,117906,19793,118322,0
34210,46556,118219,118220,120059,124775,118282,117887,117888,1
41914,2418,119370,117994,119742,279482,117906,290919,118982,0
35197,57715,119370,117944,118214,118194,135770,118704,118705,1
75033,7002,119370,117933,123125,120097,132715,290919,125753,1
84736,5636,119370,118413,122007,118321,117906,19793,118322,1
37427,25329,117961,118300,118609,119346,303717,118424,126822,0
15672,4308,119370,117960,123173,259173,240983,19793,124002,1
78085,744,117961,118300,121216,117879,279443,143398,147124,0
23089,85475,117961,118300,122298,118321,149571,19793,118982,0
80101,7551,119370,117994,120096,118259,149571,19793,118261,0
41334,73407,117929,118463,123089,179731,128796,19793,118261,1
77385,14829,117961,117994,125440,259173,149571,290919,117908,0
20273,7505,126974,117883,118387,179731,128361,155173,117973,0
72981,15389,118090,120018,118575,120702,121311,19721,118570,0
79328,4219,119370,118300,119734,118995,155743,118424,120315,1
34632,4953,119370,117933,118535,123082,234773,118612,131338,0
34687,53354,119370,118300,123719,117905,117906,290919,124002,0
35896,48993,118000,118041,118660,118563,121024,270488,123047,1
80185,4929,117961,117960,138789,118826,124874,118612,118828,0
80837,41560,119370,118343,122299,120348,121350,155173,239004,0
36511,794,118138,119070,117945,127657,146585,292795,119082,0
38658,19736,117961,118004,118042,131849,174445,118205,119503,0
14354,50368,117926,118266,118575,118568,273803,19721,120529,1
28370,1080,119370,121602,118378,153893,120953,118347,120954,0
27354,1541,117961,118718,123173,120812,137489,118638,120814,1
79999,46805,117929,117930,119031,118568,281735,6725,120529,1
73945,15443,119370,117960,223958,127108,154357,118638,128905,0
42127,58980,119370,117960,118816,118784,130735,290919,119365,0
31613,13781,117961,118327,120318,118777,149333,308574,118779,1
23089,21127,117961,117994,117912,117879,279443,308574,147124,1
32270,3887,119370,118343,118128,120348,142741,121620,130365,0
19629,19645,119370,118413,118481,118784,170431,19793,118786,0
15702,57659,117961,118300,118066,118203,150344,119095,125173,1
112805,5396,117961,117933,119993,130528,221103,118960,143185,0
20279,58689,119343,119762,118458,117879,150827,6725,121145,0
80746,7691,117961,117944,119945,122022,131302,119221,122024,1
80263,160736,119370,118052,120304,155110,135814,118331,149230,1
73753,70062,119370,117954,118746,259173,117906,19793,124002,0
39883,44917,117961,117994,118867,259173,301462,290919,124002,0
25993,7023,117961,130685,119223,118259,164072,290919,120629,1
78106,50613,119691,118150,120995,118568,159905,19721,118570,0
33150,18021,119370,118300,119181,119778,117906,19793,119365,0
237,5899,119370,118327,120318,118641,240982,119095,118644,1
89162,3860,117961,117944,125144,118321,149571,19793,118982,0
33642,27915,117951,118124,117941,117879,117897,19721,117880,0
26430,56310,118212,117976,126955,117896,183957,117887,117898,0
79709,3204,117932,118026,121820,118321,117906,19793,118322,1
30326,6736,119370,117969,121678,119409,310016,123689,133648,1
20293,273476,117926,123999,119031,120702,234301,6725,120529,0
36020,2163,119402,118220,120694,118777,207648,308574,147124,0
31005,16821,117961,118225,120535,146951,247760,130364,118399,1
78820,23262,117961,130685,118352,118784,149571,19793,118786,1
17308,4088,119370,117960,118458,118728,132841,118295,118730,1
15716,18073,117922,117981,118623,133111,286106,149353,118997,0
39883,55956,118582,119179,119262,118293,119727,292795,117948,1
42031,25557,118315,119921,118522,119172,272556,118295,123084,1
28934,2318,117961,118327,119969,117905,117906,290919,124002,0
35498,18454,117961,117933,118535,125171,257115,118612,135742,0
43312,28805,5110,118603,117941,117885,240979,117887,119589,1
2252,82465,119370,118855,119961,119778,170431,290919,119365,0
45603,4378,119370,118225,6104,118321,118448,290919,118322,1
23921,22832,117961,118300,123279,155110,128638,118372,118332,1
312132,70557,118269,118096,118458,118568,270977,19721,118570,1
78844,15645,117961,117994,122392,128903,176103,149353,128905,1
80574,10627,118106,118107,146387,179731,155780,155173,137970,0
80956,4765,117961,130685,122215,127782,230838,19793,127783,1
32541,58406,117975,117976,118575,117885,183957,117887,117888,1
3853,17550,117961,118446,118684,118321,149571,290919,118322,0
75216,7076,117961,118718,118066,119093,232825,119095,119096,0
80005,6454,117961,117933,125316,117905,170431,19793,117908,0
44818,51083,91261,118170,118202,120097,118260,19793,125753,0
115352,5043,117961,118300,118458,119346,310997,118612,126822,0
76844,16572,119370,117994,137996,118523,310608,118372,146952,1
25862,4865,117961,121602,122109,153893,120057,118347,118196,1
75078,4155,117961,117954,120924,120578,309858,119221,126087,0
23089,34461,119370,130685,118840,118641,306399,118643,125795,1
22956,18417,119370,118052,137996,279482,149571,290919,118982,0
78436,50185,117961,117954,118179,259173,149571,19793,117908,1
28943,7547,119370,117994,119969,118784,123046,19793,119365,1
75329,17414,118752,117952,118042,118811,151099,118205,118046,1
41569,25396,91261,118170,118202,117905,117906,19793,124002,1
42367,50806,119370,118446,118522,179731,164072,19793,118261,0
77943,4478,119370,117954,118692,279482,117906,19793,118322,0
38860,15541,118573,118574,118684,127657,127423,149353,128095,0
74142,2371,119370,117962,117970,118792,308462,118131,120704,1
100976,17091,119370,118225,139759,120348,118611,117887,118055,0
79309,994,117961,117960,118344,118396,229576,130364,118399,0
36480,15510,118169,118220,118171,130479,164523,19721,158291,0
