RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
39353,85475,117961,,123472,117905,117906,290919,117908,
17183,,117961,118343,123125,118536,118536,308574,,1
36724,14457,118219,118220,117884,117879,,19721,,1
36135,5396,117961,118343,119993,118321,,290919,118322,1
,5905,117929,117930,,119323,123932,,,1
45333,14561,117951,,,118568,118568,19721,118570,0
25993,17227,,118343,,,301534,118295,,1
19666,4209,117961,117969,,,269034,,,1
31246,783,,118413,120584,128230,302830,,128231,
,56683,118079,118080,117878,,304519,19721,117880,1
4675,3005,117961,,118481,118784,117906,290919,118786,1
15030,94005,117902,118041,119238,,,,,1
79954,,,118463,122636,,123148,118960,120774,
4675,50997,,118026,118202,,168365,118205,119964,
95836,18181,117961,,118514,,117906,290919,,1
19484,6657,118219,,118221,117885,117886,117887,117888,1
114267,23136,,118052,,,,,118322,1
35197,57715,117961,118446,,118702,,118704,118705,1
,7002,,118343,123125,,,290919,118279,
,5636,,118413,122007,118321,117906,290919,118322,1
37427,5220,117961,118300,118458,120006,303717,118424,120008,1
15672,111936,117961,118300,118783,,240983,290919,117908,1
,744,117961,118300,,118777,,308574,118779,1
1020,85475,,118300,120410,,117906,290919,118322,1
4675,7551,117961,,,118259,117906,290919,,
41334,28253,118315,118463,123089,118259,128796,290919,118261,1
77385,14829,117961,,,,117906,,117908,1
,11506,,118587,,179731,128361,117887,,
,46556,,118091,117884,118568,165015,,118570,
79328,4219,,118300,,120313,,118424,120315,1
23921,4953,117961,118343,,120344,310997,118424,120346,
34687,815,117961,118300,123719,117905,117906,,117908,1
43452,169112,,,119781,118563,,,118565,1
33248,4929,,118300,118825,118826,,118424,118828,1
78282,7445,117961,,122299,,,117887,118055,
17183,,,119070,117945,,152940,292795,119082,1
38658,,,,118042,120097,,,120099,
14354,50368,117926,,117884,118568,281735,19721,118570,
45019,1080,,118327,118378,120952,120953,118453,120954,
13878,1541,,,123173,120812,123174,118638,120814,1
,,117929,117930,,118568,281735,,,1
74310,49521,,118300,118301,119849,,118638,119851,0
6977,1398,117961,,120722,,130735,290919,,1
31613,5899,,118327,,118777,296252,,118779,1
,21127,117961,,119408,118777,279443,,118779,1
32270,3887,117961,118343,120347,,265969,,120350,1
19629,19645,117961,118413,,,,290919,118786,
,1938,117961,118300,118066,120560,304465,,120562,1
,,117961,118343,119993,120773,118959,118960,,1
20279,17695,117890,117891,117878,117879,,19721,,
,16690,,118446,119064,,131302,119221,122024,1
,36145,117961,,,307024,311622,118331,118332,
73753,,117961,118386,118746,117905,,,117908,
39883,7551,117961,118052,,,,290919,,1
,7023,117961,117962,119223,118259,,290919,118261,1
78106,50613,,,,118568,159905,19721,118570,0
33150,,117961,118300,,118784,,290919,118786,
34817,,,118327,120318,118641,240982,118643,118644,
28354,3860,117961,,120317,118321,117906,,118322,1
,,117951,117952,117941,117879,,19721,117880,1
,56310,118212,,117895,117896,117913,117887,117898,1
28149,50120,,118026,,118321,117906,,118322,1
40867,,117961,117969,6725,122290,,,122292,1
20293,273476,117926,118266,117920,,310732,19721,118570,1
,,118219,,120694,118777,130218,308574,118779,1
,16821,117961,118225,,,,118398,118399,1
,14800,117961,117962,,118784,117906,290919,,0
,4088,,118300,118458,118728,,118295,,1
15716,18073,118256,,118623,,,292795,,0
39883,55956,118555,118178,,117946,,292795,117948,
,88387,,118463,,119172,,118467,119174,
27124,2318,,,,,117906,290919,117908,
35498,18454,117961,118343,119598,125171,257115,118424,125173,1
79168,58465,118602,118603,,117885,,117887,,
2252,,117961,118413,127522,118784,,290919,,
45652,7338,117961,118225,119924,118321,118448,290919,118322,1
,4145,117961,118300,,307024,303717,118331,118332,1
95247,50690,,118270,,118568,118568,19721,118570,
,,117961,118052,,128903,160695,292795,128905,1
19481,10627,118106,,119565,,155780,117887,,1
,44022,117961,117962,,127782,,290919,127783,1
37734,,,,,,,,117888,1
3853,17550,117961,118446,118684,118321,117906,290919,118322,1
278393,7076,117961,,120323,119093,136840,,119096,
35625,6454,117961,,118856,117905,240983,,117908,1
35066,17465,91261,118026,118202,118278,118260,290919,,1
,5043,117961,,,120006,,,,1
41569,16671,117961,118052,118706,118523,310608,118331,118525,1
25862,46224,117961,118327,,,143223,,,1
75078,45963,117961,118386,118896,122645,309858,119221,122647,1
1020,1483,,117962,118840,118641,,118643,118644,1
22956,,117961,118052,118706,,117906,290919,118322,0
,,117961,,123901,117905,117906,290919,117908,
,,117961,118052,,,213944,290919,118786,1
,17414,,119070,,,151099,,118046,
,70066,91261,118026,118202,117905,,,117908,1
4684,50806,117961,118446,119961,118259,118260,,118261,1
,4478,,118386,,118321,117906,290919,118322,1
,15541,,118574,118556,280788,127423,292795,,1
74142,,117961,,,,,118504,120704,
58928,,,118225,118403,118054,287351,117887,,1
79309,,117961,,119984,118396,300044,118398,,1
36480,,,118170,118171,130479,185784,,,0
,,117961,117962,117904,119949,,290919,119951,1
,14810,117961,118413,,,117906,,,
80550,,117961,,124725,,117906,290919,118322,
25814,1065,117961,118327,121589,118641,306399,118643,118644,
15805,,117961,118386,,118777,279443,,118779,1
4675,,118555,118178,,,117906,290919,,1
56665,4636,117902,,119181,,130134,118453,,1
73756,,117902,118041,118042,118043,118044,,118046,1
,7252,117961,117962,118352,117905,117906,290919,117908,1
80501,,117961,117962,118352,118321,117906,290919,118322,0
81480,,117910,117911,,117879,117886,19721,117880,1
,,117961,118300,119181,,130134,118453,118454,1
79021,,121785,121786,,132692,174445,,,1
33642,50323,,,117941,,281735,19721,,1
23553,20899,,118340,117970,179731,179731,117887,117973,
42085,5715,,118026,,119363,,,,
38655,17614,117902,118041,,118043,,270488,118046,1
25330,19702,118269,118270,117878,117879,117879,,117880,1
,6993,117961,118343,118514,117905,240983,,117908,1
,29762,,,,122067,130238,118424,122069,
34433,,,118413,119968,117905,,,,1
,7560,117961,118343,119181,118321,117906,290919,,
79121,225257,120342,120343,119076,,124426,118424,118425,
,98689,117902,117903,132530,,117906,,,1
34575,,117961,118300,118514,118321,240983,290919,,1
,4311,119062,119091,118514,118777,,308574,,
103462,15413,117961,118343,120270,311867,130382,118478,,1
,51748,118315,,225010,,279443,308574,118687,1
16333,,117961,118300,118783,,240983,290919,117908,
15007,,117961,118300,120722,118451,,118453,118454,1
