median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,binaryClass
,,41.0,,,,126.0,,
358500.0,8.3014,,7099.0,1106.0,2401.0,1138.0,37.86,P
352100.0,7.2574,52.0,,,,177.0,37.85,
,5.6431,52.0,1274.0,235.0,558.0,219.0,37.85,P
342200.0,3.8462,52.0,1627.0,280.0,565.0,259.0,37.85,P
269700.0,4.0368,52.0,919.0,213.0,413.0,193.0,37.85,
,3.6591,52.0,2535.0,489.0,,514.0,37.84,
241400.0,,,3104.0,,,,37.84,P
,2.0804,42.0,2555.0,665.0,,595.0,37.84,
261100.0,,52.0,3549.0,707.0,1551.0,714.0,,P
281500.0,3.2031,52.0,2202.0,434.0,910.0,402.0,37.85,P
241800.0,,,,752.0,,734.0,37.85,P
,3.075,52.0,2491.0,474.0,1098.0,468.0,37.85,P
191300.0,2.6736,,,191.0,345.0,174.0,,
159200.0,1.9167,52.0,2643.0,,1212.0,620.0,37.85,P
,2.125,,1120.0,,697.0,,,P
,,,,347.0,,331.0,,
155500.0,2.1202,52.0,1228.0,,648.0,303.0,37.85,P
158700.0,,50.0,,,,419.0,37.84,P
162900.0,2.6033,52.0,1503.0,,690.0,275.0,37.84,
147500.0,,40.0,751.0,184.0,409.0,166.0,,P
159800.0,1.7135,,1639.0,,929.0,366.0,37.85,
113900.0,1.725,52.0,,541.0,,478.0,37.84,P
,2.1806,52.0,1688.0,,,325.0,37.84,
132600.0,2.6,52.0,2224.0,437.0,1006.0,422.0,37.84,P
107500.0,2.4038,41.0,535.0,,,119.0,,P
,2.4597,49.0,1130.0,,607.0,239.0,,
105500.0,1.808,52.0,1898.0,,1102.0,397.0,37.85,P
,1.6424,50.0,2082.0,492.0,1131.0,473.0,,P
132000.0,1.6875,,,,,155.0,37.84,P
122300.0,1.9274,49.0,1916.0,,863.0,378.0,,P
,,52.0,2153.0,481.0,1168.0,441.0,37.84,
,1.7969,48.0,1922.0,,1026.0,,37.84,P
104900.0,1.375,,1655.0,366.0,,329.0,37.83,P
,2.7303,51.0,2665.0,,1258.0,536.0,37.83,P
,1.4861,,1215.0,282.0,,264.0,,P
,1.0972,48.0,,432.0,,374.0,37.83,P
103900.0,1.4103,,1511.0,,901.0,,37.83,P
191400.0,3.48,52.0,1470.0,330.0,,309.0,37.83,
176000.0,2.5898,52.0,,715.0,,696.0,37.83,P
155400.0,,52.0,1665.0,419.0,,395.0,,
,,51.0,,311.0,517.0,249.0,37.83,
,1.025,49.0,713.0,202.0,,,37.84,P
188800.0,3.9643,52.0,950.0,202.0,,198.0,37.84,P
,3.0125,,1443.0,,660.0,292.0,,P
182300.0,2.6768,,1656.0,420.0,718.0,382.0,,P
,,,1125.0,,616.0,,,
137500.0,,43.0,1007.0,,558.0,,37.82,P
187500.0,0.9506,,624.0,195.0,423.0,160.0,,P
112500.0,1.775,40.0,946.0,375.0,700.0,352.0,37.82,
,,,896.0,453.0,735.0,,37.82,P
93800.0,1.5045,43.0,1868.0,,1061.0,407.0,37.82,P
97500.0,,,3221.0,853.0,1959.0,720.0,37.82,P
104200.0,1.2475,52.0,,,1162.0,,37.82,
87500.0,,52.0,1170.0,235.0,701.0,233.0,37.82,P
83100.0,,52.0,,243.0,576.0,220.0,37.82,P
87500.0,,52.0,1238.0,288.0,,259.0,37.82,P
,0.8172,52.0,,335.0,,,37.82,P
80300.0,1.2171,52.0,1387.0,341.0,1074.0,304.0,,
60000.0,2.5625,,158.0,,94.0,57.0,37.82,
75700.0,3.3929,52.0,1121.0,211.0,554.0,187.0,37.83,P
75000.0,6.1183,49.0,135.0,29.0,,,,P
86100.0,0.9011,50.0,,190.0,,,37.81,P
76100.0,1.191,52.0,1224.0,237.0,521.0,159.0,37.81,P
73500.0,,48.0,828.0,,392.0,,37.81,
78400.0,,52.0,1010.0,,604.0,187.0,37.81,P
84400.0,0.8056,48.0,1455.0,354.0,788.0,,37.81,P
81300.0,2.6094,52.0,,244.0,492.0,,37.8,P
85000.0,,,,,,82.0,37.81,P
129200.0,,46.0,,644.0,1823.0,611.0,37.81,P
82500.0,1.7719,26.0,,152.0,392.0,127.0,37.81,P
95200.0,0.7286,46.0,935.0,297.0,,277.0,37.81,
75000.0,1.75,49.0,844.0,,,152.0,37.81,P
67500.0,,46.0,,4.0,18.0,7.0,37.81,P
137500.0,2.483,20.0,835.0,161.0,290.0,,37.81,P
,0.9241,,1237.0,,762.0,439.0,,
102100.0,2.4464,,2914.0,562.0,1236.0,,37.81,P
108300.0,,,,,721.0,,37.81,P
,0.8026,23.0,1745.0,374.0,1054.0,325.0,37.81,
131300.0,,38.0,684.0,,,155.0,,P
,,17.0,,,609.0,289.0,,P
112500.0,1.1667,52.0,210.0,56.0,,56.0,37.81,
112500.0,1.5208,52.0,340.0,97.0,200.0,87.0,37.81,P
137500.0,,52.0,386.0,,346.0,155.0,37.81,P
,,35.0,,,467.0,,37.81,P
,2.4083,,,,,115.0,37.81,P
118800.0,0.977,,880.0,451.0,582.0,380.0,37.81,P
162500.0,,,875.0,348.0,546.0,330.0,37.81,P
137500.0,0.9722,,105.0,42.0,125.0,,,
500001.0,1.2434,,249.0,,396.0,,37.8,P
162500.0,2.0938,16.0,,392.0,,362.0,37.8,
137500.0,0.8668,52.0,,,904.0,88.0,37.8,
,0.75,52.0,96.0,,191.0,34.0,37.8,P
187500.0,2.6354,27.0,1055.0,347.0,,,,P
,1.8477,39.0,,623.0,1327.0,,37.8,
130000.0,,36.0,,2477.0,3469.0,2323.0,37.8,
,,31.0,4596.0,,2048.0,1180.0,37.82,
125000.0,,29.0,,107.0,,91.0,,P
170000.0,1.2185,22.0,3682.0,,2024.0,1250.0,,P
,,,,1085.0,,,37.82,P
257800.0,2.4912,,4656.0,1414.0,,1250.0,37.81,P
273400.0,3.2177,,5806.0,1603.0,2563.0,1497.0,37.81,P
,,,,242.0,389.0,228.0,,
350000.0,2.5795,52.0,2155.0,701.0,895.0,613.0,37.81,P
